coupling_function,device_count,k,run_index,run_id,selected_start_times,cycle_count,expected_packets,actual_packets,successful_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,ttu_reached,max_convergence_cycle,max_converged,mingap_convergence_cycle,mingap_converged,aux_mean_convergence_cycle,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
KURAMOTO,5,1,0,019f65ba-d6a9-75f0-981a-83ea824bee8e_0000,985;1917;585;4920;1663,180,900,900,900,0,0.0,10.0,True,,False,1.0,True,1.0,True,0.9919736216329277,2.4788545179668464,0.3955626021687324,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,1,019f65ba-d6aa-7f6f-af1e-87bc6d454b4e_0001,1238;2262;4169;479;4830,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,1.0,True,0.4679716416787357,1.1397698147223772,0.8155574528719098,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,2,019f65ba-d6ab-7da4-b4ef-b56f6745b0e5_0002,805;4634;3299;1343;4785,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,1.0,True,0.6315877909548386,1.127335175766277,0.23585655200908873,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,3,019f65ba-d6ac-7c6d-9cf0-0277abcc9ed9_0003,2703;2809;2042;2109;1792,180,900,900,900,0,0.0,10.0,True,,False,1.0,True,,False,1.5013026923824468,3.73091166371657,0.1047894815673544,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,4,019f65ba-d6ad-7093-8ccb-4863ea354e4c_0004,1492;42;140;3419;3392,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,1.0,True,0.9265468923685555,1.2143967353775882,0.0422400598976469,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,5,019f65ba-d6ae-7124-9fd1-476ee54a1902_0005,525;459;1377;4058;4949,180,900,900,900,0,0.0,10.0,True,,False,1.0,True,1.0,True,0.8346709025763503,2.1124069002737764,0.10329119381394847,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,6,019f65ba-d6af-7a85-8aa5-72dd1eecfaae_0006,3161;3509;433;2021;1936,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,1.0,True,0.7362182182164073,1.123720576537057,0.13291565620603418,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,7,019f65ba-d6b0-7d2d-b563-00812ecb6b0f_0007,1754;4088;2624;2606;2354,180,900,720,720,0,20.0,,False,,False,1.0,True,1.0,True,1.040416760373649,2.1259478006407013,0.38499561562584694,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,8,019f65ba-d6b1-7c4e-a2be-4b8dd6ab4731_0008,1910;174;253;200;2692,180,900,900,900,0,0.0,10.0,True,,False,1.0,True,1.0,True,1.0679630791693566,1.8624020351847197,0.04070131924378195,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
KURAMOTO,5,1,9,019f65ba-d6b2-7cb3-a6be-451b654d386c_0009,600;1242;4882;4617;3008,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,1.0,True,0.673428036316284,0.9580383430831183,0.4125269490891075,1.224537524338598,0.03209953709731907,5.0,20.544,25.544
