coupling_function,coupling_parameter,alpha,window_mode,device_count,run_count,overall_per_percent_median,ttu_reach_rate_percent,max_convergence_rate_percent,mingap_convergence_rate_percent,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,ttu_cycle_censored_median,max_convergence_cycle_censored_median,mingap_convergence_cycle_censored_median
PCO_D,0.5,0.5,fixed_r_025,50,50,86.05,0.0,0.0,0.0,0.9874465572265348,0.0,,,
PCO_D,0.5,0.5,original_r_1_over_n,5,50,0.5555555555555556,100.0,100.0,100.0,0.017210901193421613,1.2394261602424956,12.0,2.0,1.0
PCO_D,0.5,0.5,original_r_1_over_n,10,50,0.5,100.0,100.0,100.0,0.02112246964647877,0.6071960610714799,13.0,5.0,1.0
PCO_D,0.5,0.5,original_r_1_over_n,20,50,0.5555555555555556,100.0,100.0,100.0,0.05022494780188156,0.2908016021062476,14.0,10.0,3.0
PCO_D,0.5,0.5,original_r_1_over_n,50,50,2.011111111111111,90.0,100.0,88.0,0.03897063776369584,0.10293295755396747,99.5,22.0,92.0
PCO_D,0.7,0.7,fixed_r_025,5,50,8.11111111111111,0.0,100.0,100.0,0.6324636965767869,0.8239408214278505,,2.0,1.0
PCO_D,0.7,0.7,fixed_r_025,10,50,45.55555555555556,0.0,0.0,0.0,0.7860145379325645,0.00040914721577145485,,,
PCO_D,0.7,0.7,fixed_r_025,20,50,72.25,0.0,0.0,0.0,1.1021759832392173,1.4803889786252356e-07,,,
PCO_D,0.7,0.7,fixed_r_025,50,50,95.98888888888888,0.0,0.0,0.0,1.6349954515027727,0.0,,,
PCO_D,0.7,0.7,original_r_1_over_n,5,50,0.8888888888888888,100.0,100.0,100.0,0.03285717500564962,1.2237798864303773,12.0,2.5,1.0
PCO_D,0.7,0.7,original_r_1_over_n,10,50,0.9444444444444444,100.0,100.0,100.0,0.09848632811170717,0.5843609587509486,17.5,3.0,3.0
PCO_D,0.7,0.7,original_r_1_over_n,20,50,1.2916666666666665,100.0,100.0,100.0,0.09411973016672955,0.2629118804621102,22.0,7.0,10.0
PCO_D,0.7,0.7,original_r_1_over_n,50,50,12.633333333333333,0.0,96.0,0.0,0.03288359049216591,0.003561143621795493,,22.0,
PCO_D,0.9,0.9,fixed_r_025,5,50,15.055555555555555,0.0,100.0,60.0,0.655620442938152,1.4751928153175304,,2.0,3.0
PCO_D,0.9,0.9,fixed_r_025,10,50,56.44444444444444,0.0,0.0,0.0,1.1234934875376865,2.7681298592208137e-06,,,
PCO_D,0.9,0.9,fixed_r_025,20,50,78.59722222222223,0.0,0.0,0.0,1.4378294393930406,1.3166828738420122e-12,,,
PCO_D,0.9,0.9,fixed_r_025,50,50,98.29444444444445,0.0,0.0,0.0,1.6202836995838876,0.0,,,
PCO_D,0.9,0.9,original_r_1_over_n,5,50,1.5555555555555556,100.0,100.0,100.0,0.1804312524412297,1.1902521568327193,14.5,2.0,1.0
PCO_D,0.9,0.9,original_r_1_over_n,10,50,2.3055555555555554,0.0,100.0,100.0,0.19414497615533302,0.51825934677059,,3.0,7.0
PCO_D,0.9,0.9,original_r_1_over_n,20,50,6.361111111111111,0.0,38.0,0.0,0.0877678313219726,0.004649233494665117,,,
PCO_D,0.9,0.9,original_r_1_over_n,50,50,16.53333333333333,0.0,100.0,0.0,0.03855070478318742,0.0003023716450132885,,15.0,
