coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
PCO_D,0.05,0.05,fixed_r_025,5,19,pco_d_0019,900,896,896,896,0,0.4444444444444444,11.0,9.0,1.0,1.0,True,True,True,0.03709026304317167,0.1386817992170088,1.2407190408260722,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,20,pco_d_0020,900,896,896,896,0,0.4444444444444444,16.0,13.0,1.0,1.0,True,True,True,0.035917760197370814,0.13593197316294986,1.2443103404184632,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,21,pco_d_0021,900,896,896,896,0,0.4444444444444444,11.0,2.0,1.0,1.0,True,True,True,0.005352953164325673,0.01338238291081426,1.2432535708594172,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,22,pco_d_0022,900,896,896,896,0,0.4444444444444444,11.0,1.0,1.0,1.0,True,True,True,0.0056499578268003735,0.0141248945670009,1.2425118222384497,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,23,pco_d_0023,900,897,897,897,0,0.3333333333333333,11.0,14.0,1.0,1.0,True,True,True,0.006143797945825287,0.01535949486456314,1.2412963287025924,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,24,pco_d_0024,900,897,897,897,0,0.3333333333333333,10.0,13.0,1.0,1.0,True,True,True,0.005588186191884614,0.013970465479711614,1.2427024036469185,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,25,pco_d_0025,900,895,895,895,0,0.5555555555555556,11.0,11.0,1.0,2.0,True,True,True,0.036382507317423256,0.13729881817891715,1.2428704621512847,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,26,pco_d_0026,900,896,896,896,0,0.4444444444444444,11.0,2.0,1.0,1.0,True,True,True,0.006711781812701223,0.016779454531753047,1.2398511170405206,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,27,pco_d_0027,900,894,894,894,0,0.6666666666666666,12.0,12.0,3.0,2.0,True,True,True,0.005970470298132695,0.014923686957836501,1.2416649174094827,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,28,pco_d_0028,900,894,894,894,0,0.6666666666666666,11.0,29.0,2.0,2.0,True,True,True,0.007269622086460603,0.01817405521615152,1.2384505080435337,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,29,pco_d_0029,900,896,896,896,0,0.4444444444444444,11.0,24.0,1.0,2.0,True,True,True,0.006435483997332058,0.01608870999333014,1.240505209684084,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,30,pco_d_0030,900,895,895,895,0,0.5555555555555556,11.0,6.0,1.0,1.0,True,True,True,0.0058196546953461015,0.01454913673836522,1.2420654471546033,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,31,pco_d_0031,900,896,896,896,0,0.4444444444444444,14.0,5.0,1.0,1.0,True,True,True,0.005558535557037954,0.013896338892594961,1.2427190492560602,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,32,pco_d_0032,900,896,896,896,0,0.4444444444444444,14.0,5.0,1.0,1.0,True,True,True,0.005392593273676147,0.013481483184190336,1.243150481058826,1.224537524338598,0.03209953709731907,5,20.544,25.544
PCO_D,0.05,0.05,fixed_r_025,5,33,pco_d_0033,900,895,895,895,0,0.5555555555555556,11.0,4.0,1.0,2.0,True,True,True,0.036966768872352694,0.1383873383865634,1.2410996224729827,1.224537524338598,0.03209953709731907,5,20.544,25.544
