time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
138.0,0,1,158.544,20.544
211.772,7,1,232.316,20.544
403.0,18,1,423.544,20.544
481.772,26,1,502.316,20.544
564.158,27,1,584.702,20.544
692.0,12,1,712.544,20.544
784.2719999999999,33,1,804.8159999999999,20.544
1003.0,37,1,1023.544,20.544
1092.772,22,1,1113.316,20.544
1176.158,9,1,1196.702,20.544
1260.351,42,1,1280.8950000000002,20.544
1352.4475000000002,23,1,1372.9915000000003,20.544
1424.2195000000002,48,1,1444.7635000000002,20.544
1496.379625,5,1,1516.9236250000001,20.544
1579.6526875,24,1,1600.1966875,20.544
1692.59834375,16,1,1713.14234375,20.544
1822.0,14,1,1842.544,20.544
1901.772,47,1,1922.316,20.544
2004.158,25,1,2024.702,20.544
2131.0,35,1,2151.544,20.544
2215.772,46,1,2236.316,20.544
2294.658,17,1,2315.2019999999998,20.544
2436.0,28,1,2456.544,20.544
2591.0,44,1,2611.544,20.544
2670.272,36,1,2690.816,20.544
2878.0,40,1,2898.544,20.544
2964.272,38,1,2984.816,20.544
3050.408,4,1,3070.9519999999998,20.544
3564.0,45,1,3584.544,20.544
3655.272,29,1,3675.816,20.544
3751.408,8,1,3771.9519999999998,20.544
3844.9759999999997,39,1,3865.5199999999995,20.544
3933.2599999999998,34,1,3953.8039999999996,20.544
4029.902,3,1,4050.446,20.544
4120.723,2,1,4141.267,20.544
4253.0,15,1,4273.544,20.544
4359.772,32,1,4380.316,20.544
4857.0,21,1,4877.544,20.544
4950.772,13,1,4971.316,20.544
5042.657999999999,43,1,5063.201999999999,20.544
5126.101,1,1,5146.6449999999995,20.544
5198.623,0,2,5219.1669999999995,20.544
5274.187749999999,7,2,5294.731749999999,20.544
5403.0,18,2,5423.544,20.544
5502.657999999999,26,2,5523.201999999999,20.544
5577.986999999999,30,1,5598.530999999999,20.544
5695.2654999999995,12,2,5715.809499999999,20.544
5800.04075,33,2,5820.58475,20.544
6003.0,37,2,6023.544,20.544
6108.157999999999,22,2,6128.701999999999,20.544
6202.43,9,2,6222.974,20.544
6291.6625,42,2,6312.2065,20.544
6382.327,23,2,6402.871,20.544
6463.54525,48,2,6484.08925,20.544
6541.857281250001,5,2,6562.4012812500005,20.544
6615.567859375,31,1,6636.111859375,20.544
6693.646703125,49,1,6714.190703125,20.544
6764.27290234375,16,2,6784.8169023437495,20.544
6853.408451171875,14,2,6873.952451171875,20.544
6937.862225585937,47,2,6958.406225585937,20.544
7011.009225585937,20,1,7031.553225585937,20.544
7131.276612792968,35,2,7151.820612792968,20.544
7233.7963063964835,46,2,7254.340306396483,20.544
7324.499153198241,17,2,7345.043153198241,20.544
7440.521576599121,28,2,7461.0655765991205,20.544
7591.0,44,2,7611.544,20.544
7685.272,11,1,7705.816,20.544
7773.044,19,1,7793.588,20.544
7885.794,40,2,7906.338,20.544
7985.305,38,2,8005.849,20.544
8064.8105,10,1,8085.3544999999995,20.544
8564.0,45,2,8584.544,20.544
8669.908,29,2,8690.452,20.544
8770.93,8,2,8791.474,20.544
8868.224999999999,39,2,8888.768999999998,20.544
8961.0145,34,2,8981.5585,20.544
9055.73025,3,2,9076.27425,20.544
9148.498625,2,2,9169.042625,20.544
9261.021312500001,15,2,9281.5653125,20.544
9370.66865625,32,2,9391.21265625,20.544
9857.0,21,2,9877.544,20.544
9964.158,13,2,9984.702,20.544
10063.68,43,2,10084.224,20.544
10141.690999999999,6,1,10162.234999999999,20.544
10230.429,0,3,10250.973,20.544
