time,oscillator_id,send_count,cycle_index,phase_ms,selected_run_index,selection
1665.0,2,1,1,0.0,3,"KURAMOTO N=5 K=10, PER=0"
1728.0,3,1,1,63.0,3,"KURAMOTO N=5 K=10, PER=0"
2518.0,0,1,1,853.0,3,"KURAMOTO N=5 K=10, PER=0"
2987.0,1,1,1,1322.0,3,"KURAMOTO N=5 K=10, PER=0"
3586.0,4,1,1,1921.0,3,"KURAMOTO N=5 K=10, PER=0"
6664.6045726908305,2,2,1,4999.6045726908305,3,"KURAMOTO N=5 K=10, PER=0"
6728.3954273091695,3,2,2,63.39542730916946,3,"KURAMOTO N=5 K=10, PER=0"
7515.220842902592,0,2,2,850.2208429025923,3,"KURAMOTO N=5 K=10, PER=0"
7989.779157097408,1,2,2,1324.7791570974077,3,"KURAMOTO N=5 K=10, PER=0"
8589.418152583396,4,2,2,1924.4181525833956,3,"KURAMOTO N=5 K=10, PER=0"
11664.20419205561,2,3,2,4999.204192055609,3,"KURAMOTO N=5 K=10, PER=0"
11728.79580794439,3,3,3,63.79580794439062,3,"KURAMOTO N=5 K=10, PER=0"
12512.412721754963,0,3,3,847.4127217549631,3,"KURAMOTO N=5 K=10, PER=0"
12992.587278245037,1,3,3,1327.587278245037,3,"KURAMOTO N=5 K=10, PER=0"
13592.839234271787,4,3,3,1927.839234271787,3,"KURAMOTO N=5 K=10, PER=0"
16663.79879644935,2,4,3,4998.798796449351,3,"KURAMOTO N=5 K=10, PER=0"
16729.20120355065,3,4,4,64.20120355064864,3,"KURAMOTO N=5 K=10, PER=0"
17509.575473851088,0,4,4,844.5754738510877,3,"KURAMOTO N=5 K=10, PER=0"
17995.424526148912,1,4,4,1330.4245261489123,3,"KURAMOTO N=5 K=10, PER=0"
18596.263123650177,4,4,4,1931.2631236501766,3,"KURAMOTO N=5 K=10, PER=0"
21663.388323475254,2,5,4,4998.388323475254,3,"KURAMOTO N=5 K=10, PER=0"
21729.611676524746,3,5,5,64.61167652474614,3,"KURAMOTO N=5 K=10, PER=0"
22506.70894061115,0,5,5,841.7089406111518,3,"KURAMOTO N=5 K=10, PER=0"
22998.29105938885,1,5,5,1333.2910593888482,3,"KURAMOTO N=5 K=10, PER=0"
