time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
650703.955243359,16,79.0,131,send,,,,,,,,,,0,20
650750.3309044371,2,59.0,131,send,,,,,,,,,,0,20
650836.624781848,6,131.0,131,send,,,,,,,,,,0,20
650921.4668857858,39,131.0,131,send,,,,,,,,,,0,20
651012.6396744797,41,131.0,131,send,,,,,,,,,,0,20
651111.1955170988,24,91.0,131,send,,,,,,,,,,0,20
651201.2100274808,12,131.0,131,send,,,,,,,,,,0,20
651299.0148979777,49,124.0,131,send,,,,,,,,,,0,20
651402.0901557615,37,107.0,131,send,,,,,,,,,,0,20
651502.9289736067,46,100.0,131,send,,,,,,,,,,0,20
651603.6076441776,26,131.0,131,send,,,,,,,,,,0,20
651704.3159594607,33,131.0,131,send,,,,,,,,,,0,20
651805.4422315218,0,131.0,131,send,,,,,,,,,,0,20
651909.9357545704,3,129.0,131,send,,,,,,,,,,0,20
652005.3243224409,8,131.0,131,send,,,,,,,,,,0,20
652116.9386187672,19,131.0,131,send,,,,,,,,,,0,20
652220.0234895687,42,131.0,131,send,,,,,,,,,,0,20
652333.6633140666,31,130.0,131,send,,,,,,,,,,0,20
652438.621842396,27,131.0,131,send,,,,,,,,,,0,20
652553.5132411674,7,131.0,131,send,,,,,,,,,,0,20
652650.2094960011,17,131.0,131,send,,,,,,,,,,0,20
652760.7971762514,14,131.0,131,send,,,,,,,,,,0,20
652862.3430936467,38,131.0,131,send,,,,,,,,,,0,20
652979.5547489864,23,78.0,131,send,,,,,,,,,,0,20
653087.8328684291,10,131.0,131,send,,,,,,,,,,0,20
653206.7577062057,48,131.0,131,send,,,,,,,,,,0,20
653315.8944756244,34,131.0,131,send,,,,,,,,,,0,20
653434.2080690672,1,131.0,131,send,,,,,,,,,,0,20
