time,oscillator_id,send_count,cycle_index,phase_rad,run_index,cumulative_per_percent,record_type
1665.0,2,1.0,1,0.0,3.0,,
1728.0,3,1.0,1,0.07916813487046279,3.0,,
2518.0,0,1.0,1,1.0719114134048373,3.0,,
2987.0,1,1.0,1,1.6612741952182828,3.0,,
3586.0,4,1.0,1,2.413999795018397,3.0,,
6664.6045726908305,2,2.0,1,6.28268839856778,3.0,,
6728.3954273091695,3,2.0,2,0.07966504348226902,3.0,,
7515.220842902592,0,2.0,2,1.0684190215966822,3.0,,
7989.779157097408,1,2.0,2,1.664766587026438,3.0,,
8589.418152583396,4,2.0,2,2.418295172236335,3.0,,
11664.20419205561,2,3.0,2,6.28218526542288,3.0,,
11728.79580794439,3,3.0,3,0.08016817662716917,3.0,,
12512.412721754963,0,3.0,3,1.0648902324895693,3.0,,
12992.587278245037,1,3.0,3,1.6682953761335506,3.0,,
13592.839234271787,4,3.0,3,2.422594230276167,3.0,,
16663.79879644935,2,4.0,3,6.281675830279513,3.0,,
16729.20120355065,3,4.0,4,0.08067761177053628,3.0,,
17509.575473851088,0,4.0,4,1.0613248416210783,3.0,,
17995.424526148912,1,4.0,4,1.6718607670020418,3.0,,
18596.263123650177,4,4.0,4,2.4268968165633082,3.0,,
21663.388323475254,2,5.0,4,6.281160014727544,3.0,,
21729.611676524746,3,5.0,5,0.08119342732250504,3.0,,
22506.70894061115,0,5.0,5,1.0577226497139367,3.0,,
22998.29105938885,1,5.0,5,1.6754629589091834,3.0,,
23599.689698260587,4,5.0,5,2.431202777212525,3.0,,
26662.97270997611,2,6.0,5,6.280637739401288,3.0,,
26730.02729002389,3,6.0,6,0.08171570264876074,3.0,,
27503.81296778617,0,6.0,6,1.054083462933152,3.0,,
28001.18703221383,1,6.0,6,1.6791021456899682,3.0,,
28603.118834609017,4,6.0,6,2.435511957036679,3.0,,
31662.551892025665,2,7.0,6,6.2801089239686405,3.0,,
31730.448107974335,3,7.0,7,0.08224451808140841,3.0,,
32500.887405666843,0,7.0,7,1.050407093148474,3.0,,
33004.11259433316,1,7.0,7,1.6827785154746464,3.0,,
33606.55040817289,4,7.0,7,2.439824199556082,3.0,,
36662.125804919866,2,8.0,7,6.279573487120093,3.0,,
36730.874195080134,3,8.0,8,0.08277995492995606,3.0,,
37497.93210929659,0,8.0,8,1.0466933582020885,3.0,,
38007.06789070341,1,8.0,8,1.6864922504210318,3.0,,
38609.98429340897,4,8.0,8,2.44413934700846,3.0,,
41661.69438316808,2,9.0,8,6.279031346557685,3.0,,
41731.30561683192,3,9.0,9,0.08332209549236429,3.0,,
42494.94693868865,0,9.0,9,1.0429420821814386,3.0,,
43010.05306131135,1,9.0,9,1.6902435264416813,3.0,,
43613.42036376184,4,9.0,9,2.448457240359581,3.0,,
46661.25756048418,2,10.0,9,6.27848241898382,3.0,,
46731.74243951582,3,10.0,10,0.08387102306622853,3.0,,
47491.93175904717,0,10.0,10,1.0391530956970687,3.0,,
48013.06824095283,1,10.0,10,1.6940325129260512,3.0,,
48616.858491672894,4,10.0,10,2.4527777193145672,3.0,,
51660.81526977763,2,11.0,10,6.277926620090047,3.0,,
51732.18473022237,3,11.0,11,0.08442682196000223,3.0,,
52488.886440992246,0,11.0,11,1.0353262361653925,3.0,,
53016.113559007754,1,11.0,11,1.6978593724577276,3.0,,
53620.29854858988,4,11.0,11,2.457100622329904,3.0,,
56660.367443144445,2,12.0,11,6.277363864545687,3.0,,
56732.632556855555,3,12.0,12,0.08498957750436206,3.0,,
57485.810860788704,0,12.0,12,1.0314613480962032,3.0,,
58019.189139211296,1,12.0,12,1.701724260526917,3.0,,
58623.740404977085,4,12.0,12,2.4614257866262026,3.0,,
61659.914011858076,2,13.0,12,6.276794065986421,3.0,,
61733.085988141924,3,13.0,13,0.08555937606362775,3.0,,
62482.704900578545,0,13.0,13,1.0275582833847714,3.0,,
63022.295099421455,1,13.0,13,1.7056273252383485,3.0,,
63627.183930326064,4,13.0,13,2.4657530482017234,3.0,,
66659.45490636026,2,14.0,13,6.2762171370027575,3.0,,
66733.54509363974,3,14.0,14,0.08613630504729165,3.0,,
67479.56844861695,0,14.0,14,1.023616901608416,3.0,,
68025.43155138305,1,14.0,14,1.7095687070147039,3.0,,
68630.62899316705,4,14.0,14,2.470082241846679,3.0,,
71658.99005625176,2,15.0,14,6.2756329891283995,3.0,,
71734.00994374824,3,15.0,15,0.08672045292164905,3.0,,
72476.40139951164,0,15.0,15,1.0196370703272981,3.0,,
73028.59860048836,1,15.0,15,1.7135485382958218,3.0,,
73634.07546108101,4,15.0,15,2.474413201158415,3.0,,
76658.51939028305,2,16.0,15,6.275041532828566,3.0,,
76734.48060971695,3,16.0,16,0.08731190922148313,3.0,,
77473.20365446543,0,16.0,16,1.0156186653892019,3.0,,
78031.79634553457,1,16.0,16,1.7175669432339182,3.0,,
78637.5232007124,4,16.0,16,2.4787457585573995,3.0,,
81658.04283634496,2,17.0,16,6.274442677488189,3.0,,
81734.95716365504,3,17.0,17,0.08791076456185981,3.0,,
82469.97512152178,0,17.0,17,1.011561571238155,3.0,,
83035.02487847822,1,17.0,17,1.721624037384965,3.0,,
