cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
1,0.0025132741228718336,0.2890265241302609,0.08062318831002017,KURAMOTO,500,9,True
2,0.0037855605211687404,0.2486757258980254,0.06487497040483974,KURAMOTO,500,9,True
3,0.0013190179850930406,0.19338286521933185,0.056192461096870296,KURAMOTO,500,9,True
4,0.016944929818934362,0.19760322801519176,0.04829400071939134,KURAMOTO,500,9,True
5,0.009187914597617919,0.18961533419549265,0.04969819191355468,KURAMOTO,500,9,True
6,0.03434914324698202,0.11757029443041417,0.04088029946760999,KURAMOTO,500,9,True
7,0.03761471969662855,0.17030353743739085,0.04471528032918558,KURAMOTO,500,9,True
8,0.03543440783331686,0.21804689919721593,0.04339238822335071,KURAMOTO,500,9,True
9,0.04303854968316401,0.1395311928667506,0.03879172466746866,KURAMOTO,500,9,True
10,0.02679687540561293,0.10900196870004314,0.043194426213581626,KURAMOTO,500,9,True
11,0.01667382187958566,0.1292499480662565,0.036227162004005276,KURAMOTO,500,9,True
12,0.041533170590991375,0.1330554287646894,0.04318627195873082,KURAMOTO,500,9,True
13,0.02313015334211066,0.10678894510674158,0.04026211895962005,KURAMOTO,500,9,True
14,0.009168251288898865,0.14189481985249314,0.03993427879143647,KURAMOTO,500,9,True
15,0.03703742035537516,0.11394929072388654,0.03435036156362182,KURAMOTO,500,9,True
16,0.04701038909376902,0.18902342619597062,0.04335386179546927,KURAMOTO,500,9,True
17,0.06409168560823328,0.11593932689443082,0.03946419284585389,KURAMOTO,500,9,True
18,0.03564290731430775,0.12913816669018646,0.03648877208923208,KURAMOTO,500,9,True
19,0.058033264917893596,0.14253245228405914,0.03748903144382833,KURAMOTO,500,9,True
20,0.042325065850463216,0.12275801500409161,0.03829742038475436,KURAMOTO,500,9,True
21,0.05056439049436845,0.1651343616850986,0.03948995119596627,KURAMOTO,500,9,True
22,0.033393013674317656,0.10476540150876196,0.03999852872332068,KURAMOTO,500,9,True
23,0.054370563800686895,0.1391007466112954,0.035193204013363635,KURAMOTO,500,9,True
24,0.04721214368750015,0.10610334614732103,0.043716404438677775,KURAMOTO,500,9,True
25,0.049022920415159515,0.11830168320072992,0.0339056510327696,KURAMOTO,500,9,True
26,0.054957729871347144,0.11231122348717587,0.03902271733401334,KURAMOTO,500,9,True
27,0.04126589811775919,0.08439780802583255,0.03484244089528936,KURAMOTO,500,9,True
28,0.047161968236339114,0.1369507722110483,0.040448365719508314,KURAMOTO,500,9,True
29,0.037564785382378396,0.1189690144329269,0.03631908709019127,KURAMOTO,500,9,True
30,0.05101216733938829,0.1301426987057403,0.02991664919346162,KURAMOTO,500,9,True
31,0.0509914434658518,0.10736670127437281,0.037863970452322905,KURAMOTO,500,9,True
32,0.038388927473746254,0.1300541924327307,0.03733461932880102,KURAMOTO,500,9,True
33,0.05867215630084477,0.11263994592172749,0.031051632306064524,KURAMOTO,500,9,True
34,0.035354960415514516,0.14470150285532596,0.0383004645281541,KURAMOTO,500,9,True
35,0.057564509632226396,0.09306143072467615,0.032587140770750415,KURAMOTO,500,9,True
36,0.05012265114349601,0.07554105500009572,0.03497151674944479,KURAMOTO,500,9,True
37,0.04740518690815469,0.1037270199859967,0.03496729815248844,KURAMOTO,500,9,True
38,0.0565322558252217,0.08402234447202844,0.03143675883680316,KURAMOTO,500,9,True
39,0.047681694965985066,0.13038286422096718,0.03631349747595909,KURAMOTO,500,9,True
40,0.06391308369531057,0.10474999214199981,0.03180502401087383,KURAMOTO,500,9,True
41,0.05639468865148611,0.08763511312125155,0.03124689061544766,KURAMOTO,500,9,True
42,0.04247486751070184,0.11985909613326146,0.035756994993488375,KURAMOTO,500,9,True
43,0.049492212035596894,0.11260699380844058,0.03486733130297917,KURAMOTO,500,9,True
44,0.05859753929373834,0.07702871450718168,0.0362561963108919,KURAMOTO,500,9,True
45,0.048118443279594636,0.11770518883160203,0.03239487914995925,KURAMOTO,500,9,True
46,0.060560220064779124,0.08088012177144072,0.03272897312614363,KURAMOTO,500,9,True
47,0.059755532335598716,0.08876116505733139,0.03187500937492942,KURAMOTO,500,9,True
48,0.05308515097943678,0.10251323309519761,0.036841296667273635,KURAMOTO,500,9,True
49,0.0494013884602289,0.07626231768336283,0.02936282991249276,KURAMOTO,500,9,True
50,0.06514102948712619,0.08291839935839035,0.031221359950619695,KURAMOTO,500,9,True
51,0.05255319343278053,0.09536557903124637,0.03256831437149374,KURAMOTO,500,9,True
52,0.05862458282291616,0.0895296464740944,0.03375328572557107,KURAMOTO,500,9,True
53,0.04972351781808659,0.07594018832550514,0.028753003355651553,KURAMOTO,500,9,True
54,0.05799451638399855,0.10041276294501494,0.03405918737442486,KURAMOTO,500,9,True
55,0.04624823607195605,0.08811860496417995,0.029772090843559182,KURAMOTO,500,9,True
56,0.06322314516599192,0.07186937998777426,0.032228845093435037,KURAMOTO,500,9,True
57,0.062254666215035837,0.09217414647477201,0.0331503052791807,KURAMOTO,500,9,True
58,0.04406302467858758,0.09518114369170466,0.03633014511068083,KURAMOTO,500,9,True
59,0.06292904838491964,0.08909002773333635,0.03154196887285447,KURAMOTO,500,9,True
60,0.04433542122790479,0.08132828491568694,0.03675744516688023,KURAMOTO,500,9,True
61,0.042818544878933495,0.08284516126465824,0.029951086261986077,KURAMOTO,500,9,True
