function,internal_function,N,a,b,used_k_values,k_min,k_max,r_squared,K_cross
Kuramoto based,KURAMOTO,5,-0.0003750820640350242,1.139007537124444,10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,10.0,2000.0,0.9384391853797683,-228.03006439190224
Kuramoto based,KURAMOTO,10,0.00042305448650728153,0.1109575384580733,50;70;100;150;200;300;500;700;1000;1500;2000,50.0,2000.0,0.9697420435388296,1147.0424511245883
Kuramoto based,KURAMOTO,20,0.00037953558928788283,0.03249855784669155,70;100;150;200;300;500;700,70.0,700.0,0.9995113876426117,657.5435280870939
Kuramoto based,KURAMOTO,50,0.00016775052097012068,0.02300199304095115,150;200;300;500,150.0,500.0,0.9995573135257145,420.63759681491473
frog chorus based,LINEAR,5,-0.00047138205063606897,1.1394552823359554,10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,10.0,2000.0,0.842733613320024,-180.49529439620207
frog chorus based,LINEAR,10,0.0008164188979451816,0.04843364088499316,10;15;20;30;50;70;100;150;200;300;500;700,10.0,700.0,0.9452777238020461,670.9611378599267
frog chorus based,LINEAR,20,0.0008333308123616532,0.06852184902576945,10;15;20;30;50;70;100;150;200;300,10.0,300.0,0.9670698727631163,256.2462302704565
frog chorus based,LINEAR,50,0.0019454632825110618,0.03741738163484413,10;15;20,10.0,20.0,0.9936277417531192,28.86036858992187
