coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
LINEAR_4,44.0,500,0,0.0,93.6,,,,5.0,3.0,9.25,,,,1.5811111111111116,3.561232351705907,,,,
LINEAR_4,45.0,500,0,0.0,93.4,,,,5.0,3.5,11.0,,,,1.5501777777777783,3.4474873563178017,,,,
LINEAR_4,46.0,500,0,0.0,93.2,,,,5.0,4.0,11.0,,,,1.4925555555555556,3.2707445630595626,,,,
LINEAR_4,47.0,500,0,0.0,93.2,,,,5.0,4.0,12.0,,,,1.5462666666666671,3.408429253773745,,,,
LINEAR_4,48.0,500,0,0.0,92.6,,,,5.0,4.0,12.0,,,,1.673088888888889,3.719757205893738,,,,
LINEAR_4,49.0,500,0,0.0,92.4,,,,6.0,4.0,13.0,,,,1.5792222222222225,3.4402895674743625,,,,
LINEAR_4,50.0,500,0,0.0,93.2,,,,6.0,4.0,13.0,,,,1.5243999999999998,3.281691061791569,,,,
LINEAR_4,51.0,500,0,0.0,91.4,,,,7.0,4.0,15.0,,,,1.612488888888889,3.534207941396139,,,,
LINEAR_4,52.0,500,0,0.0,93.2,,,,7.0,4.0,16.75,,,,1.6700666666666668,3.5969003627430007,,,,
LINEAR_4,53.0,500,0,0.0,92.6,,,,7.0,4.0,17.0,,,,1.7186,3.771260632035932,,,,
LINEAR_4,54.0,500,0,0.0,91.8,,,,7.0,4.0,20.0,,,,1.7028,3.5899536488057873,,,,
LINEAR_4,55.0,500,0,0.0,91.8,,,,8.0,4.0,21.0,,,,1.7216666666666667,3.635853190758771,,,,
LINEAR_4,56.0,500,0,0.0,91.0,,,,9.0,5.0,22.5,,,,1.8141111111111112,3.799850853757207,,,,
LINEAR_4,57.0,500,0,0.0,91.2,,,,9.0,4.75,22.0,,,,1.8466222222222222,3.9927389250742604,,,,
LINEAR_4,58.0,500,0,0.0,90.8,,,,10.0,5.0,22.0,,,,1.865822222222222,4.048069093290287,,,,
LINEAR_4,59.0,500,0,0.0,91.0,,,,10.0,5.0,22.0,,,,1.8266444444444445,3.803399817134656,,,,
LINEAR_4,60.0,500,0,0.0,90.0,,,,10.0,5.0,22.0,,,,1.8424444444444448,3.8677109452697254,,,,
LINEAR_4,61.0,500,0,0.0,88.6,,,,10.0,5.0,22.0,,,,1.885133333333334,3.87966523555688,,,,
LINEAR_4,62.0,500,0,0.0,90.4,,,,11.0,6.0,25.0,,,,1.934911111111111,4.057399065451655,,,,
LINEAR_4,63.0,500,0,0.0,90.2,,,,11.0,6.0,25.0,,,,1.9608,4.06780705769592,,,,
LINEAR_4,64.0,500,0,0.0,90.4,,,,12.0,6.0,27.0,,,,2.0197555555555557,4.188287860658675,,,,
LINEAR_4,65.0,500,0,0.0,90.2,,,,13.0,6.0,28.5,,,,1.9293111111111112,3.8967134909535854,,,,
LINEAR_4,66.0,500,0,0.0,88.8,,,,14.0,6.0,29.0,,,,2.022422222222222,4.184444456210468,,,,
LINEAR_4,67.0,500,0,0.0,90.0,,,,15.0,7.0,29.0,,,,1.9416000000000004,4.023982916782821,,,,
LINEAR_4,68.0,500,0,0.0,89.8,,,,14.0,7.0,30.0,,,,2.069466666666667,4.1965949943966745,,,,
LINEAR_4,69.0,500,0,0.0,90.2,,,,16.0,7.0,28.0,,,,2.111933333333334,4.351368593333351,,,,
LINEAR_4,70.0,500,0,0.0,91.0,,,,16.0,8.0,30.0,,,,2.1298888888888894,4.318861324310254,,,,
LINEAR_4,71.0,500,0,0.0,91.2,,,,16.0,8.0,31.0,,,,2.1012,4.228610941031446,,,,
LINEAR_4,72.0,500,0,0.0,90.8,,,,17.0,8.0,32.0,,,,2.176555555555556,4.296486053972998,,,,
LINEAR_4,73.0,500,0,0.0,89.4,,,,17.0,9.0,35.5,,,,2.1957333333333335,4.333429600926694,,,,
LINEAR_4,74.0,500,0,0.0,90.8,,,,17.5,9.0,37.5,,,,2.2104222222222223,4.500099349263832,,,,
LINEAR_4,75.0,500,0,0.0,89.4,,,,19.0,9.0,34.5,,,,2.2600222222222226,4.46069247224552,,,,
LINEAR_4,76.0,500,0,0.0,88.8,,,,18.0,10.0,36.0,,,,2.264977777777778,4.408941095592384,,,,
LINEAR_4,77.0,500,0,0.0,90.2,,,,20.0,10.0,37.0,,,,2.278511111111112,4.4189210574871804,,,,
LINEAR_4,78.0,500,0,0.0,90.6,,,,20.0,10.0,37.0,,,,2.279244444444445,4.481455207834981,,,,
LINEAR_4,79.0,500,0,0.0,88.6,,,,22.0,11.0,37.0,,,,2.315888888888889,4.456602457340952,,,,
LINEAR_4,80.0,500,0,0.0,89.4,,,,22.0,11.0,39.0,,,,2.3440222222222222,4.471898568831378,,,,
LINEAR_4,81.0,500,0,0.0,89.2,,,,23.5,12.0,40.0,,,,2.3087777777777783,4.383322558355148,,,,
LINEAR_4,82.0,500,0,0.0,90.0,,,,25.0,13.0,42.0,,,,2.4076444444444443,4.589759752558892,,,,
LINEAR_4,83.0,500,0,0.0,89.8,,,,25.0,14.0,46.0,,,,2.4414222222222226,4.6012203416136215,,,,
LINEAR_4,84.0,500,0,0.0,88.8,,,,27.0,13.0,46.0,,,,2.2907555555555557,4.187751620549981,,,,
LINEAR_4,85.0,500,0,0.0,89.4,,,,27.0,13.0,43.0,,,,2.445666666666667,4.532906668844281,,,,
LINEAR_4,86.0,500,0,0.0,90.6,,,,26.0,13.0,46.0,,,,2.497866666666667,4.583798045791805,,,,
LINEAR_4,87.0,500,0,0.0,90.0,,,,28.5,14.0,49.0,,,,2.511266666666667,4.601711395517328,,,,
LINEAR_4,88.0,500,0,0.0,90.0,,,,28.5,14.0,48.75,,,,2.3743555555555558,4.253812972460246,,,,
LINEAR_4,89.0,500,0,0.0,89.4,,,,30.0,15.5,52.0,,,,2.5,4.473566966669852,,,,
LINEAR_4,90.0,500,0,0.0,89.6,,,,31.0,17.0,50.0,,,,2.4874666666666663,4.471523656991818,,,,
LINEAR_4,91.0,500,0,0.0,90.0,,,,31.0,16.0,49.0,,,,2.6208444444444443,4.731432602019543,,,,
LINEAR_4,92.0,500,0,0.0,90.2,,,,32.0,16.0,52.0,,,,2.540688888888889,4.474013524868703,,,,
LINEAR_4,93.0,500,0,0.0,90.2,,,,32.0,18.0,52.5,,,,2.6079555555555554,4.670190684989971,,,,
LINEAR_4,94.0,500,0,0.0,90.0,,,,34.0,20.0,52.0,,,,2.603644444444445,4.580058854946381,,,,
LINEAR_4,95.0,500,0,0.0,90.2,,,,35.0,20.0,53.0,,,,2.6535555555555557,4.627720173883532,,,,
LINEAR_4,96.0,500,0,0.0,90.0,,,,35.0,20.25,56.0,,,,2.748266666666667,4.784992942379429,,,,
LINEAR_4,97.0,500,0,0.0,89.6,,,,35.0,21.0,56.0,,,,2.761355555555556,4.842817645004764,,,,
LINEAR_4,98.0,500,0,0.0,89.8,,,,37.0,22.0,58.0,,,,2.8112888888888894,4.833839270811964,,,,
LINEAR_4,99.0,500,0,0.0,89.8,,,,38.0,22.0,54.0,,,,2.8302222222222224,4.794870926733869,,,,
LINEAR_4,100.0,500,0,0.0,89.8,,,,39.0,24.0,61.0,,,,2.881377777777778,4.8236632281204175,,,,
LINEAR_4,101.0,500,0,0.0,90.0,,,,40.0,25.0,64.0,,,,2.942355555555556,5.0175182935463125,,,,
LINEAR_4,102.0,500,0,0.0,89.2,,,,38.0,24.0,60.0,,,,2.934311111111111,4.816976474801559,,,,
LINEAR_4,103.0,500,0,0.0,89.4,,,,41.0,23.5,64.5,,,,2.923955555555555,4.794530184413803,,,,
LINEAR_4,104.0,500,0,0.0,89.0,,,,42.0,24.0,63.0,,,,2.927688888888889,4.766697496629058,,,,
LINEAR_4,105.0,500,0,0.0,90.0,,,,43.0,27.0,70.75,,,,2.926711111111111,4.544535072829763,,,,
LINEAR_4,106.0,500,0,0.0,89.6,,,,42.0,27.0,65.0,,,,3.040977777777778,5.021739604739521,,,,
LINEAR_4,107.0,500,0,0.0,88.0,,,,44.0,27.0,68.0,,,,3.0116,4.718220003138973,,,,
LINEAR_4,108.0,500,0,0.0,90.2,,,,44.0,26.0,69.0,,,,3.113866666666667,4.87078196971103,,,,
LINEAR_4,109.0,500,0,0.0,91.4,,,,48.0,26.0,74.0,,,,3.2719333333333336,5.221239565634458,,,,
LINEAR_4,110.0,500,0,0.0,89.4,,,,45.0,28.0,68.0,,,,3.250333333333333,5.108613200563788,,,,
LINEAR_4,111.0,500,0,0.0,89.4,,,,46.0,28.5,71.0,,,,3.404200000000001,5.338170437804377,,,,
LINEAR_4,112.0,500,0,0.0,89.6,,,,50.5,29.75,79.0,,,,3.3204888888888893,5.042711259288331,,,,
LINEAR_4,113.0,500,0,0.0,89.2,,,,48.0,32.0,75.75,,,,3.4078000000000004,5.088956092187909,,,,
LINEAR_4,114.0,500,0,0.0,89.0,,,,55.0,36.0,79.0,,,,3.3108888888888894,4.637831992263289,,,,
LINEAR_4,115.0,500,0,0.0,89.8,,,,54.0,35.0,84.0,,,,3.509933333333334,5.150684258113383,,,,
LINEAR_4,116.0,500,0,0.0,88.8,,,,54.0,34.0,79.0,,,,3.5650666666666666,5.189207542412571,,,,
LINEAR_4,117.0,500,0,0.0,88.8,,,,53.0,34.75,81.0,,,,3.593933333333333,5.177173146110161,,,,
LINEAR_4,118.0,500,0,0.0,89.2,,,,55.0,36.0,85.75,,,,3.658,5.240368747352499,,,,
LINEAR_4,119.0,500,0,0.0,89.6,,,,57.0,38.0,87.0,,,,3.6299555555555556,5.083039721058515,,,,
LINEAR_4,120.0,500,0,0.0,88.6,,,,62.0,39.0,91.5,,,,3.8318222222222222,5.301620178211156,,,,
LINEAR_4,121.0,500,0,0.0,89.4,,,,61.0,39.0,94.0,,,,3.8844222222222227,5.282041503330934,,,,
LINEAR_4,122.0,500,0,0.0,89.6,,,,62.0,42.0,92.0,,,,3.8525999999999994,5.090457374679711,,,,
LINEAR_4,123.0,500,0,0.0,88.2,,,,67.0,42.0,99.0,,,,3.9325777777777775,5.101590119676155,,,,
LINEAR_4,124.0,500,0,0.0,86.8,,,,65.0,42.25,101.0,,,,4.088955555555556,5.266032800669805,,,,
LINEAR_4,125.0,500,0,0.0,86.4,,,,72.5,44.0,99.25,,,,4.171755555555555,5.26931138054083,,,,
LINEAR_4,126.0,500,0,0.0,85.2,,,,71.0,44.25,106.0,,,,4.233088888888888,5.210122775991371,,,,
LINEAR_4,127.0,500,0,0.0,85.2,,,,75.0,47.0,104.0,,,,4.351266666666667,5.217335663944572,,,,
LINEAR_4,128.0,500,0,0.0,80.6,,,,69.0,44.0,109.0,,,,4.439533333333332,5.235958315951356,,,,
LINEAR_4,129.0,500,0,0.0,79.4,,,,77.0,49.0,117.0,,,,4.605711111111112,5.303524675442529,,,,
LINEAR_4,130.0,500,0,0.0,84.0,,,,83.5,52.0,115.25,,,,4.526177777777777,5.00746563136321,,,,
LINEAR_4,131.0,500,0,0.0,79.8,,,,79.0,52.0,114.0,,,,4.742133333333333,5.4954783355608745,,,,
LINEAR_4,132.0,500,0,0.0,76.2,,,,89.0,55.0,131.0,,,,4.880333333333333,5.162759254202251,,,,
LINEAR_4,133.0,500,0,0.0,72.8,,,,89.0,58.0,123.5,,,,4.899688888888888,5.285737147916349,,,,
LINEAR_4,134.0,500,0,0.0,77.0,,,,95.0,58.0,124.0,,,,4.9372444444444445,5.143263570859557,,,,
