k,residual_median,residual_q1,residual_q3,n_runs
1.0,0.0403850076546017,0.03422747693720979,0.04777664095744852,499
2.0,0.023590015380636223,0.018017889243266118,0.03277618228747452,500
3.0,0.016170388885847837,0.010777713172469651,0.024635968580681296,500
4.0,0.012540278444033144,0.009080623739723924,0.019125820019831045,500
5.0,0.012816702339003965,0.009605371054832397,0.016801108231026783,500
6.0,0.013806186720573328,0.010583480200095936,0.01754368564171968,500
7.0,0.014847059690549573,0.011644177918744555,0.019294907738114958,500
8.0,0.015728106561770885,0.012354998975861817,0.020789022238746194,500
9.0,0.016650679137341064,0.013482779677339117,0.022138095780963735,499
10.0,0.017265526614310613,0.014120389587451366,0.023660322316332444,498
11.0,0.01826163186249268,0.014832509485042177,0.024098850752569248,497
12.0,0.01877562685198733,0.015357223565731958,0.025156938009322685,499
13.0,0.01921618406829868,0.0158904122378056,0.026379361095602523,499
14.0,0.02013256437139977,0.01631124577685239,0.02687997984062967,499
15.0,0.020587842944417168,0.017079174800968957,0.027388606230508768,496
16.0,0.02138607359053576,0.01717661053556572,0.028439305487046443,499
17.0,0.021689356328202014,0.017566118096781,0.028488369392120762,496
18.0,0.021929271306524098,0.018175719331614135,0.028762647084095042,498
19.0,0.022674538848173838,0.018348856886372507,0.029341323487465727,497
20.0,0.022940806640991795,0.018589924011536734,0.029456935152703846,496
21.0,0.02351256320787774,0.018980099866520203,0.02983842141302263,494
22.0,0.023868893701902774,0.019643924263727755,0.03057780963911807,494
23.0,0.023911695175837314,0.019835648181490827,0.03016368341283441,493
24.0,0.02441866358734805,0.020293111401126936,0.03062797052191421,491
25.0,0.024571383618705384,0.020207732315314697,0.03094383428847727,492
26.0,0.025299416120063277,0.020786990179172717,0.03160071572435305,492
27.0,0.025715876715509615,0.021302592020110315,0.0316303064046877,494
28.0,0.025850762223411934,0.021205038746327697,0.03176753388752792,492
29.0,0.02581646925174535,0.021482809098918705,0.03239421117868339,489
30.0,0.026241534488776287,0.021800437033573206,0.03255947532567839,494
31.0,0.026388152619113876,0.022133703886496603,0.03280660773665804,489
32.0,0.026522377936005436,0.02266231948328972,0.033424770478641105,489
33.0,0.027034590515410788,0.02299867608268033,0.03349804476141035,491
34.0,0.026997625071924637,0.023122042641375316,0.03342055229709745,484
35.0,0.027392159146861904,0.02360415167256467,0.033880070847591676,491
36.0,0.02781541587306908,0.023790238352586784,0.033588827286620715,486
37.0,0.027982059957999343,0.024137645442537017,0.03380264961191791,488
38.0,0.028231651269441122,0.02443287908397083,0.03373928740724998,485
39.0,0.028310096194738555,0.02471172852819869,0.03416382223378622,488
40.0,0.02909016596532284,0.025116884849722885,0.03447065830011824,490
41.0,0.029061197259978792,0.025424576211759142,0.03476019948238679,489
42.0,0.029192224952952508,0.0257924938959738,0.0349064871820117,488
