k,residual_median,residual_q1,residual_q3,residual_3min_median,residual_3min_q1,residual_3min_q3,n_runs
1.0,0.08206492915846927,0.07550490813002175,0.08913675474585464,0.08718628166834665,0.08110636606911462,0.0941312506363253,499
11.0,0.04344804823387517,0.035706945382097136,0.05152610729438901,0.08316557780618535,0.07675229302923404,0.09019229649698696,500
21.0,0.02589558516370407,0.019263911204865283,0.035067229839937104,0.07950985023284957,0.07282408047491738,0.08656494593938711,500
31.0,0.017257888200355797,0.011310446949563763,0.025513806188630878,0.07601689366807034,0.06905151048225887,0.08309120540440817,500
41.0,0.012868071681692145,0.009047361481863364,0.01931389962381771,0.07250119737609842,0.0654056945762952,0.0799954435366518,498
51.0,0.011528314206839268,0.008543278949674344,0.01630430998795914,0.06928881897411472,0.062021194222083964,0.07680913976619697,499
61.0,0.010725391009476023,0.00796262362200529,0.01476538730917654,0.06637750674787828,0.05891189371853447,0.07391228027365353,499
71.0,0.010530724063119728,0.007864226754759432,0.014322095783863674,0.06326938643377214,0.055927925094629516,0.07111044731485854,500
81.0,0.010254467488742113,0.008015548241112266,0.013669476541869435,0.0604163660956102,0.05314655135484231,0.06831050540227507,500
91.0,0.010349882875747264,0.008110387639313883,0.013608416468460748,0.05733737031679738,0.05055943643607931,0.06543795277750025,500
101.0,0.01045234927915966,0.008436960881262213,0.013306469770214666,0.055101063767980185,0.04861014574489809,0.06329539510277506,500
111.0,0.010422276675588872,0.008814335056624241,0.013420446068270305,0.0529478626729223,0.045977469742868135,0.06101979689459347,500
121.0,0.010695096225508391,0.009260856279920395,0.01339680617741619,0.05083352490751414,0.0439027143965449,0.058724046509075034,500
131.0,0.01099631733502672,0.009662026642242517,0.013345350961807702,0.04893607065694166,0.041850270576394434,0.056807128637181147,500
141.0,0.01131767538525202,0.010095151130742278,0.0135040569327737,0.047629384113688764,0.04036278880079404,0.05510815994154897,500
151.0,0.011851747916232952,0.010535045669719304,0.01375716526853723,0.04633012293144154,0.03894166848912019,0.05357442579542984,500
161.0,0.01221654092785277,0.01097311695166389,0.014228667699966337,0.044747310694474046,0.03790966982396802,0.051804386713838545,500
171.0,0.012601834630172271,0.011555935964646631,0.014607581144122934,0.04352784179082776,0.03701945766876548,0.050459346995465504,500
181.0,0.013110075892370232,0.012115353051168743,0.015076601372579268,0.04220660937824172,0.036181075405435845,0.04957614463877448,500
191.0,0.013761987975453938,0.012674544311711255,0.015461480340392596,0.04115807584951084,0.03512669740589726,0.04812887575854209,500
201.0,0.01416856088072905,0.01319673128174956,0.015994148819534003,0.040251365489696544,0.03455064198440019,0.04745510788163491,500
211.0,0.014842278256279581,0.013807081276348646,0.016628775970623948,0.039513838914314536,0.03408971891377309,0.04713966756049805,500
221.0,0.015350865043054034,0.014395112985083261,0.01715917946637993,0.038886672763829636,0.03337718222920123,0.046249445185541437,500
231.0,0.015854850935990913,0.015046804124621753,0.017585118479449508,0.03850206760393465,0.03301029183471139,0.045591785167729756,500
241.0,0.01645406503626707,0.015594591212006752,0.018138393906615615,0.038368495572336216,0.03275307008219996,0.04538072059011836,500
251.0,0.017101290332852813,0.016237183905808087,0.018815782196246182,0.0377140664239136,0.03243275054366983,0.04442352229344077,500
261.0,0.017653871352452728,0.016764009094243637,0.019295952661927084,0.037429668803639876,0.032375412381194124,0.044388126591358594,500
271.0,0.01821893382509318,0.01738915112199307,0.01982610925133292,0.03737407803858887,0.03208645068336628,0.04432750592734966,500
281.0,0.018911956203801004,0.017901071748894867,0.02048142662861824,0.037369109674242396,0.03213126786044731,0.04342801359569652,500
291.0,0.01943608823575447,0.01855945523624391,0.02108660896922041,0.03693642768571474,0.03196832710456415,0.04332067989449177,500
301.0,0.02009649737622113,0.019174072263096323,0.02166052877745537,0.037008442828140184,0.0321932675563439,0.04301397527638211,500
311.0,0.020559628477047863,0.019680131883501647,0.02217134152816457,0.037140946457151006,0.03248374236410432,0.043417363824157985,500
321.0,0.021205092954712165,0.020258384323362164,0.022611002112358676,0.03716098243389332,0.03262169315397094,0.04319473121949847,500
331.0,0.021769702164140224,0.02090436961273106,0.023373970907269156,0.03749255895050134,0.03250031347133285,0.04284496881349906,500
341.0,0.022261355757164005,0.021398878825749076,0.023669143039578427,0.03727975894153341,0.032781350204042194,0.04335464372786115,500
351.0,0.022829842568426635,0.021994701219952686,0.02446866950383664,0.03708978212550321,0.03292650260853256,0.0431455262788544,500
361.0,0.023258917206816512,0.022509732345358406,0.02499418614256002,0.037609702763448105,0.033251005677989706,0.043173890956242786,500
371.0,0.0240790666129405,0.02323857271175144,0.02546755521975715,0.03774748035081539,0.03332825142381682,0.04323973779011453,500
381.0,0.024536684518878832,0.023735152165568305,0.026040054981883203,0.0379532937453468,0.03354135878964484,0.04332649516637296,500
391.0,0.025152656088722133,0.02423212320847145,0.026432489741229557,0.03819398275269345,0.03406702338800639,0.043536567785780564,500
401.0,0.02565961772516022,0.024879279526732245,0.02695949436081506,0.038572665389539434,0.03416334124546973,0.043795906368982736,500
411.0,0.026123454832027354,0.025397951517144277,0.027645874717350243,0.03888237141158034,0.034153805919826426,0.044167677058642094,500
421.0,0.02676778471867823,0.02605941649691078,0.027937481633517523,0.03890410957836332,0.034770340474555475,0.04405240271981242,500
431.0,0.027448763967057213,0.026626628078697378,0.0286205603591768,0.039117091130208885,0.03507910076123823,0.04424311915232007,500
441.0,0.027980368012418596,0.027160074789778974,0.029322430545180876,0.03945145765250292,0.03565117843326885,0.044650657735171566,500
