k,residual_median,residual_q1,residual_q3,n_runs
1.0,0.039882357309447516,0.0333982671763381,0.047246702279177155,499
2.0,0.023006755565564467,0.017533807139400375,0.03218714978754469,500
3.0,0.015600967802486695,0.010305698253102992,0.02354069378978358,500
4.0,0.01247502808485676,0.009271612415797123,0.018464826722855765,500
5.0,0.013073171324871045,0.009869292662371503,0.016770855262660922,500
6.0,0.013994701479285282,0.010731492507097047,0.01813335222619129,500
7.0,0.015090792047725288,0.011853939147083534,0.019446614279481786,500
8.0,0.016006054582655138,0.012486021827806275,0.021260570200085583,500
9.0,0.017051466231483507,0.013504410214308996,0.022401896316881435,500
10.0,0.01748221628293905,0.014304794407175244,0.023723570950366524,500
11.0,0.018733310988551036,0.014975690012036788,0.025455184966064755,499
12.0,0.019510388070295342,0.015984427128485666,0.02559492389426438,500
13.0,0.019985693825643108,0.016626006370435455,0.026427204614670848,500
14.0,0.020732405311318862,0.016886649684062144,0.027291626659635772,500
15.0,0.02150363958936197,0.017419732131393115,0.02756594989156344,500
16.0,0.02172978442620562,0.017590412767702627,0.028094288932204097,499
17.0,0.022347341098521274,0.01843697269335532,0.028473743513751853,500
18.0,0.022930695997704087,0.018519499154245465,0.029194559440707393,500
19.0,0.02343557702080668,0.019034088004722425,0.029206885181664186,500
20.0,0.023881543388554877,0.019677770267744366,0.02906337549834419,500
21.0,0.02437761597497987,0.019772813727739768,0.030021718462130854,500
22.0,0.024511412615354645,0.020409392864302826,0.0306982523888384,500
23.0,0.025072543557890552,0.02088365757208661,0.030378770318409666,500
24.0,0.024971002834317964,0.020997739111184445,0.03114435782082783,500
25.0,0.025473120071859798,0.021169085231515488,0.031869900476306376,500
26.0,0.026166206809436713,0.02202716743958626,0.03149665676160846,500
27.0,0.026247596944860965,0.02206251136451213,0.03138098635375565,500
28.0,0.026547326784079818,0.021953173372552693,0.03242917285826705,500
29.0,0.026966635461182692,0.022255467997151224,0.03250966727749696,500
30.0,0.02700614044517924,0.022999321261877842,0.032445947701857804,500
31.0,0.02745707242247806,0.023182027019072016,0.033090064599529255,500
32.0,0.027436471638162048,0.02343067320332516,0.03342156027315086,500
33.0,0.02775640092265365,0.02394568846901525,0.03300406186447755,500
34.0,0.02819697263741335,0.02437351777257623,0.03371451248391251,500
35.0,0.028422773428692146,0.024557960500067075,0.03391149953830938,500
36.0,0.02898480354469879,0.024786154835671738,0.03369717440537591,500
37.0,0.028822206085242337,0.02520196094421453,0.03404693747799964,500
38.0,0.029486105786012323,0.025629211424544406,0.034330377421967734,500
39.0,0.029527471752990832,0.025835611688896493,0.034563681937348115,500
40.0,0.029738559933430976,0.026307069130827015,0.035019921467404805,500
41.0,0.029982943066574022,0.026793249464990038,0.03524549580253425,500
42.0,0.030291857128576804,0.02677739049937365,0.03540195733554697,500
43.0,0.030650145174693135,0.027186823292548262,0.03555429994101032,500
44.0,0.03093763693437504,0.027617086921424585,0.03544567741664871,500
45.0,0.031055897809609538,0.02814144116274372,0.03544906459964893,500
46.0,0.031530671295113624,0.028430883095190006,0.036110268627776866,500
47.0,0.03181501621436317,0.028585610882253653,0.0363409560540669,500
48.0,0.03197417054736469,0.02893591554995428,0.036382183579266106,500
49.0,0.03227635722703648,0.02946080882046293,0.037028680714205155,500
50.0,0.03246613741906061,0.029719004370297265,0.0369721138437299,500
51.0,0.03284493454924853,0.03011728847150861,0.03704222788760562,500
52.0,0.03305627289254974,0.03051323310500634,0.037083775357322324,500
53.0,0.033275907757556775,0.03105332052497621,0.037257806112931155,500
54.0,0.03357890774873526,0.03137624968964388,0.037432137374619784,500
55.0,0.034223900516809416,0.03181850827156865,0.03793171831698935,499
56.0,0.03434880829358568,0.03222501016617487,0.03792103682923116,500
57.0,0.03475986811750477,0.03262097128846368,0.03785409329314747,500
58.0,0.03519262916288653,0.03311561330101953,0.0382187932130345,500
59.0,0.03556023421582611,0.03368907956321013,0.03851623319945274,500
60.0,0.03589416156786241,0.034151356421108024,0.03900160774442403,500
61.0,0.036296702194941396,0.03468704706534679,0.0394432293539791,500
62.0,0.03671434825249266,0.03523663610563493,0.04004816331143975,500
63.0,0.037021490638067964,0.03580093534924512,0.03976463011267721,500
64.0,0.037606980170764484,0.03630720103004014,0.040421620799673694,500
65.0,0.03817089389057278,0.03688394447290251,0.040833499258918535,500
66.0,0.03853894288478827,0.037456219784812984,0.04135211547944857,500
67.0,0.03899873956301376,0.03800908489958394,0.041009297720661204,500
68.0,0.039531797419346454,0.03856302383006136,0.04173076032448875,500
69.0,0.04002193426823937,0.03909476654555251,0.04222065576790959,500
70.0,0.04058544493309364,0.03969708459863613,0.04270416787929776,500
71.0,0.04106786336535338,0.04025681824121658,0.04296931603304316,500
72.0,0.0415324697123217,0.04090073429686446,0.043609386789788866,500
73.0,0.042062277530359155,0.04145671971069356,0.04424354548816918,500
74.0,0.04258843377526729,0.04195486674067502,0.04445477722651068,500
75.0,0.04314570938287063,0.0425643880109466,0.044973070518566846,500
76.0,0.04370488677771939,0.04313662658633281,0.04540835672758688,500
77.0,0.044274255461733754,0.043696342582164684,0.04578348852962678,500
78.0,0.04479812689983538,0.04427988802444653,0.046074128352040056,500
79.0,0.04536284170071322,0.0448525195545601,0.04657854532461983,500
80.0,0.045952711034598824,0.045401461046552974,0.0470545649597444,500
81.0,0.046551191133061734,0.046043671513755643,0.04755193960200413,500
82.0,0.04717188403352622,0.046583345842877245,0.04809332945287027,500
83.0,0.04768999692790605,0.04718348500600198,0.04842391951770157,500
84.0,0.04826601122264287,0.04771811340522996,0.049118181311010055,500
85.0,0.048837339486014625,0.04832641360913312,0.049553722947532776,500
86.0,0.0494082093996754,0.0488992520516401,0.05024027887667486,500
87.0,0.04998515144601407,0.049419975472935904,0.05067372099318152,500
88.0,0.050489371150495344,0.050035484074807915,0.051224143512311256,500
89.0,0.051217076956092886,0.05066950609892497,0.05187385728946195,500
90.0,0.051751075104877385,0.051226934400560475,0.05239279981222912,500
91.0,0.05228647059065257,0.051836196615613714,0.05295165348854723,500
92.0,0.052927816973083644,0.05244798668448478,0.05352500229415297,500
93.0,0.05344341520858613,0.05286197092807402,0.05402127704973428,500
94.0,0.05404326697730334,0.05353585941787698,0.05465511547277351,500
95.0,0.05469892465252853,0.054106856108825624,0.05526473413465863,500
96.0,0.05521848235404428,0.054684582154313016,0.055810995241386954,500
97.0,0.055861864315869564,0.0553120613387759,0.056442162203386124,500
98.0,0.05640757913023994,0.055902559756638034,0.05703655181127454,500
99.0,0.057021154872049735,0.056487310756247806,0.057604354516526624,500
100.0,0.0576325987326162,0.05716323209577304,0.05816565489403438,500
101.0,0.058257125811231256,0.0577321881559934,0.05873733157810976,500
102.0,0.05886721262788261,0.058291891973227414,0.05945925866686554,500
103.0,0.059510994239873494,0.05893197028197679,0.060052259144035856,500
104.0,0.06010781698068654,0.05950755144071085,0.060703983486722984,500
105.0,0.06076964545815711,0.06020748050547012,0.06132065530230615,500
106.0,0.06138112053614543,0.06078908132603816,0.06192275652116428,500
107.0,0.06204633858564028,0.06141863788373065,0.06254577515095708,500
108.0,0.06259435780998426,0.062032881338936786,0.06317941693368667,500
109.0,0.06325359713659966,0.06253038327309024,0.06383917065116136,500
110.0,0.06380831249408525,0.06318585739145324,0.064344821035234,500
111.0,0.06439222473765568,0.06370588589558611,0.0649981478155015,500
112.0,0.06498988233591765,0.06428725732393173,0.06564198241685139,499
113.0,0.06568303964427939,0.0650703559087712,0.06618134627194588,500
114.0,0.06628383418068165,0.06543654085797501,0.06685818910061955,500
115.0,0.06684406672810576,0.06581314044021658,0.06745659538645855,500
116.0,0.06728587100670438,0.06632806547729476,0.0678653620662539,500
117.0,0.06782213650149876,0.06677810023695692,0.06851235059647395,500
118.0,0.0684125058817357,0.06733703301387785,0.0690752426905647,500
119.0,0.069125159082428,0.06806350332944544,0.06981843285587633,499
120.0,0.06945638779807206,0.06827971794840831,0.07021596065126764,499
121.0,0.06983798735494792,0.06880711397300189,0.07083358269820238,499
122.0,0.07054627652088383,0.06950412878718287,0.0715436304321313,499
123.0,0.07106522168573273,0.06972922549749457,0.0721242259231652,500
124.0,0.07136644895624333,0.07011975521023779,0.07265342983399697,499
125.0,0.07210862790145628,0.07068926384450211,0.07327741103516279,500
126.0,0.07239562057850985,0.07111668231638744,0.07362127154851646,500
127.0,0.07281886482276209,0.07145024406800109,0.07426911895761203,500
128.0,0.0735558333550687,0.07228212413221917,0.07488388297508736,500
129.0,0.07420534715249438,0.07253808073286011,0.07549342290637427,500
130.0,0.07450600955063164,0.07303178322138605,0.07595161245526608,500
131.0,0.07501332817944309,0.07347334771226874,0.07643653585271402,500
132.0,0.0753853402921908,0.07370459290481692,0.07675506539192509,500
133.0,0.07580523353064231,0.07437948132860099,0.07736359277463117,500
134.0,0.07603656053573181,0.07449953280713217,0.07767142153389661,499
135.0,0.07670317817575,0.07513845475866886,0.07830267244482941,499
136.0,0.07683979436011606,0.07531589159356664,0.07837243777108528,500
137.0,0.07757040311775268,0.07589796335451701,0.0790446397913087,500
138.0,0.07778584304037045,0.07610584148877492,0.07940562813155597,500
139.0,0.07831166412018983,0.07672098388239065,0.08002697494152625,499
140.0,0.0789364209674511,0.07709104209712772,0.08054686986431761,499
141.0,0.07913681417523086,0.0773791384179069,0.08075218693084024,499
142.0,0.07936234168019596,0.07786091866050272,0.08115972207640189,500
143.0,0.07992724282827943,0.0782719056778166,0.08172276163605346,500
144.0,0.08010928949980159,0.07852760064677591,0.08185466342777598,500
145.0,0.08069411272692167,0.07877444930885158,0.08246379376211413,500
146.0,0.08095645924418275,0.07943325537671458,0.0828194345353333,500
147.0,0.08143882366384662,0.07984704138167077,0.08318494327011682,499
148.0,0.08210627213384969,0.08042575090704177,0.08379709040120424,500
149.0,0.08213460042416423,0.08042773121797474,0.08394093177671644,500
150.0,0.08272964071846567,0.08086874259063857,0.0845528471794978,500
