coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
KURAMOTO,431.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.21160000000000012,0.114962241969273,,,,
KURAMOTO,441.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.20444444444444457,0.11152894050260302,,,,
KURAMOTO,451.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.19991111111111126,0.10765726102178987,,,,
KURAMOTO,461.0,500,0,0.0,100.0,,,,4.0,3.0,7.0,,,,0.19577777777777788,0.10709254956136335,,,,
KURAMOTO,471.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.1925777777777778,0.10518708672802925,,,,
KURAMOTO,481.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18815555555555563,0.09763377535923642,,,,
KURAMOTO,491.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18611111111111114,0.09746502429429148,,,,
KURAMOTO,501.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18364444444444458,0.09695199969411128,,,,
KURAMOTO,511.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18008888888888894,0.09483085711906354,,,,
KURAMOTO,521.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.17922222222222223,0.09437604763971748,,,,
KURAMOTO,531.0,500,0,0.0,100.0,,,,4.0,3.0,5.0,,,,0.17708888888888905,0.09379296173723076,,,,
KURAMOTO,541.0,500,0,0.0,100.0,,,,4.0,2.75,5.0,,,,0.17515555555555584,0.09170304804912337,,,,
KURAMOTO,551.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.1730000000000004,0.08975109283724139,,,,
KURAMOTO,561.0,500,0,0.0,100.0,,,,4.0,3.0,5.0,,,,0.17380000000000023,0.09345714714910636,,,,
KURAMOTO,571.0,500,0,0.0,100.0,,,,4.0,3.0,5.0,,,,0.17137777777777802,0.0868106415343718,,,,
KURAMOTO,581.0,500,0,0.0,100.0,,,,4.0,3.0,5.0,,,,0.1720222222222223,0.0901420762122611,,,,
KURAMOTO,591.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.17324444444444448,0.09218017139073287,,,,
KURAMOTO,601.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.1748888888888892,0.09464260715001273,,,,
KURAMOTO,611.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.17473333333333366,0.0954511839827779,,,,
KURAMOTO,621.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.17746666666666694,0.09796363987280479,,,,
KURAMOTO,631.0,500,0,0.0,100.0,,,,4.0,2.0,5.0,,,,0.18355555555555578,0.09873992718508089,,,,
KURAMOTO,641.0,500,0,0.0,100.0,,,,4.0,2.0,6.0,,,,0.189888888888889,0.10440571916714797,,,,
KURAMOTO,651.0,500,0,0.0,100.0,,,,4.0,2.0,6.0,,,,0.20188888888888926,0.10849349276450068,,,,
KURAMOTO,661.0,500,0,0.0,100.0,,,,4.0,2.75,6.0,,,,0.22295555555555596,0.11689554798313156,,,,
KURAMOTO,671.0,500,0,0.0,100.0,,,,4.0,2.0,6.0,,,,0.24995555555555574,0.1333676494101968,,,,
KURAMOTO,681.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.2799333333333336,0.1333576222959494,,,,
KURAMOTO,691.0,500,0,0.0,100.0,,,,4.0,3.0,8.0,,,,0.3276000000000004,0.1505056109904467,,,,
KURAMOTO,701.0,500,0,0.0,100.0,,,,5.0,3.0,8.0,,,,0.3832222222222224,0.16221468032724196,,,,
KURAMOTO,711.0,500,0,0.0,100.0,,,,5.0,3.0,9.0,,,,0.46637777777777784,0.17212875693388996,,,,
KURAMOTO,721.0,500,0,0.0,100.0,,,,6.0,3.0,10.0,,,,0.5489333333333338,0.1744769778211549,,,,
KURAMOTO,731.0,500,0,0.0,100.0,,,,7.0,4.0,11.0,,,,0.6578222222222224,0.1843228439702272,,,,
KURAMOTO,741.0,500,0,0.0,100.0,,,,8.0,5.0,14.0,,,,0.774888888888889,0.18494126294315405,,,,
KURAMOTO,751.0,500,0,0.0,100.0,,,,10.0,6.0,17.0,,,,0.9146666666666665,0.19792010870605972,,,,
KURAMOTO,761.0,500,0,0.0,100.0,,,,13.0,6.0,22.0,,,,1.0724444444444443,0.19988665483633977,,,,
KURAMOTO,771.0,500,0,0.0,100.0,,,,15.0,8.0,27.0,,,,1.2354444444444441,0.20024784242731242,,,,
KURAMOTO,781.0,500,0,0.0,99.8,,,,20.0,10.0,35.0,,,,1.3924444444444444,0.21573749228650516,,,,
KURAMOTO,791.0,500,0,0.0,99.8,,,,28.0,14.0,45.0,,,,1.572466666666667,0.21791798934555112,,,,
KURAMOTO,801.0,500,0,0.0,97.4,,,,41.0,21.0,69.0,,,,1.7734666666666672,0.22513715467488232,,,,
KURAMOTO,811.0,500,0,0.0,92.0,,,,59.0,29.75,99.25,,,,1.9697555555555557,0.22073223375457293,,,,
KURAMOTO,821.0,500,0,0.0,78.0,,,,67.5,41.0,115.0,,,,2.1693777777777776,0.23250865919915273,,,,
KURAMOTO,831.0,500,0,0.0,54.2,,,,85.0,49.0,131.0,,,,2.378577777777778,0.23489968896509836,,,,
KURAMOTO,841.0,500,0,0.0,42.0,,,,95.5,52.0,143.0,,,,2.5748,0.2396526800622847,,,,
KURAMOTO,851.0,500,0,0.0,22.2,,,,106.0,63.5,158.0,,,,2.8049111111111107,0.24979435268796746,,,,
KURAMOTO,861.0,500,0,0.0,10.8,,,,131.5,83.25,170.0,,,,3.020311111111111,0.25102043554526116,,,,
KURAMOTO,871.0,500,0,0.0,8.6,,,,170.0,110.5,170.0,,,,3.242022222222222,0.27321310171007585,,,,
KURAMOTO,881.0,500,0,0.0,5.6,,,,170.0,160.75,170.0,,,,3.467133333333334,0.2601919932029051,,,,
KURAMOTO,891.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,3.6896444444444443,0.27470970442926235,,,,
KURAMOTO,901.0,500,0,0.0,3.4,,,,170.0,170.0,170.0,,,,3.926133333333333,0.288678154815559,,,,
KURAMOTO,911.0,500,0,0.0,4.4,,,,170.0,170.0,170.0,,,,4.15471111111111,0.2948711368673289,,,,
KURAMOTO,921.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,4.375733333333334,0.279592412571709,,,,
KURAMOTO,931.0,500,0,0.0,4.2,,,,170.0,170.0,170.0,,,,4.5648888888888886,0.2961730055966736,,,,
KURAMOTO,941.0,500,0,0.0,3.0,,,,170.0,170.0,170.0,,,,4.780511111111111,0.2920983453917333,,,,
KURAMOTO,951.0,500,0,0.0,4.0,,,,170.0,170.0,170.0,,,,4.962777777777778,0.2941691322422114,,,,
KURAMOTO,961.0,500,0,0.0,5.4,,,,170.0,170.0,170.0,,,,5.148311111111111,0.30111228524881994,,,,
KURAMOTO,971.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,5.299022222222222,0.2966641722791614,,,,
KURAMOTO,981.0,500,0,0.0,4.0,,,,170.0,170.0,170.0,,,,5.438866666666667,0.31953129641345684,,,,
KURAMOTO,991.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,5.607111111111111,0.3367975557842223,,,,
KURAMOTO,1001.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,5.715577777777777,0.33231425830572986,,,,
KURAMOTO,1011.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,5.851466666666666,0.3175668151042688,,,,
KURAMOTO,1021.0,500,0,0.0,6.0,,,,170.0,170.0,170.0,,,,5.960733333333334,0.3391405455800731,,,,
KURAMOTO,1031.0,500,0,0.0,4.4,,,,170.0,170.0,170.0,,,,6.062333333333333,0.3425696349988228,,,,
KURAMOTO,1041.0,500,0,0.0,5.2,,,,170.0,170.0,170.0,,,,6.148488888888889,0.3560672364730873,,,,
KURAMOTO,1051.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,6.2517555555555555,0.3481948365882601,,,,
KURAMOTO,1061.0,500,0,0.0,5.0,,,,170.0,170.0,170.0,,,,6.311555555555555,0.3404216281038453,,,,
KURAMOTO,1071.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,6.406977777777778,0.3625354497144533,,,,
KURAMOTO,1081.0,500,0,0.0,3.6,,,,170.0,170.0,170.0,,,,6.509622222222222,0.36523983770054297,,,,
KURAMOTO,1091.0,500,0,0.0,5.6,,,,170.0,170.0,170.0,,,,6.549111111111111,0.3667371038192707,,,,
KURAMOTO,1101.0,500,0,0.0,6.8,,,,170.0,170.0,170.0,,,,6.6522,0.3741714906447199,,,,
KURAMOTO,1111.0,500,0,0.0,7.0,,,,170.0,170.0,170.0,,,,6.714577777777778,0.3706224167245122,,,,
KURAMOTO,1121.0,500,0,0.0,5.8,,,,170.0,170.0,170.0,,,,6.782799999999999,0.37996076681580676,,,,
KURAMOTO,1131.0,500,0,0.0,4.4,,,,170.0,170.0,170.0,,,,6.828488888888889,0.37461409653025834,,,,
KURAMOTO,1141.0,500,0,0.0,7.0,,,,170.0,170.0,170.0,,,,6.8783111111111115,0.38161270421490073,,,,
