coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
LINEAR,47.0,500,0,0.0,89.4,,,,9.0,5.0,48.5,,,,2.0200000000000005,3.921829821986956,,,,
LINEAR,48.0,500,0,0.0,87.2,,,,11.0,5.0,50.25,,,,2.059488888888889,3.7958148768976963,,,,
LINEAR,49.0,500,0,0.0,88.4,,,,12.0,6.0,52.75,,,,2.0457333333333336,3.703511475186672,,,,
LINEAR,50.0,500,0,0.0,88.6,,,,14.0,6.0,52.0,,,,2.0537333333333336,3.6633956568243953,,,,
LINEAR,51.0,500,0,0.0,86.8,,,,15.0,6.0,57.0,,,,2.0487111111111114,3.600756449770567,,,,
LINEAR,52.0,500,0,0.0,85.4,,,,18.0,6.5,61.5,,,,2.0962,3.5873359298653593,,,,
LINEAR,53.0,500,0,0.0,86.4,,,,23.0,7.0,67.0,,,,2.234866666666667,3.888603147500919,,,,
LINEAR,54.0,500,0,0.0,85.0,,,,26.0,7.0,73.0,,,,2.2348666666666674,3.7498077002905843,,,,
LINEAR,55.0,500,0,0.0,82.0,,,,24.0,7.0,62.75,,,,2.223333333333333,3.6112708116031853,,,,
LINEAR,56.0,500,0,0.0,82.2,,,,30.0,8.0,76.0,,,,2.337355555555556,3.795565073603942,,,,
LINEAR,57.0,500,0,0.0,81.4,,,,34.0,8.0,77.5,,,,2.3882,3.7867764215608677,,,,
LINEAR,58.0,500,0,0.0,81.8,,,,42.0,10.0,88.0,,,,2.451955555555555,3.9263472407807893,,,,
LINEAR,59.0,500,0,0.0,80.6,,,,42.0,12.0,86.0,,,,2.491511111111111,3.860322031283132,,,,
LINEAR,60.0,500,0,0.0,80.6,,,,43.0,15.0,88.0,,,,2.592488888888889,4.050281753604248,,,,
LINEAR,61.0,500,0,0.0,79.0,,,,45.0,15.5,89.0,,,,2.601488888888889,3.8676503745271367,,,,
LINEAR,62.0,500,0,0.0,78.4,,,,48.0,17.0,92.0,,,,2.6894444444444443,4.027877992288252,,,,
LINEAR,63.0,500,0,0.0,74.4,,,,52.0,17.0,93.0,,,,2.7407111111111115,3.9032799714142117,,,,
LINEAR,64.0,500,0,0.0,74.6,,,,53.0,19.0,102.0,,,,2.7974666666666668,3.9574892261115613,,,,
LINEAR,65.0,500,0,0.0,73.4,,,,54.0,19.5,100.0,,,,2.8634,4.06157265651466,,,,
LINEAR,66.0,500,0,0.0,72.6,,,,57.0,22.0,109.0,,,,2.877666666666666,3.919501263317285,,,,
LINEAR,67.0,500,0,0.0,72.4,,,,63.0,26.0,112.0,,,,2.965044444444444,3.927913567744376,,,,
LINEAR,68.0,500,0,0.0,72.6,,,,67.0,30.0,112.0,,,,2.993266666666667,3.9014219705405533,,,,
LINEAR,69.0,500,0,0.0,69.4,,,,70.0,33.0,115.0,,,,3.090844444444445,3.931283581916956,,,,
LINEAR,70.0,500,0,0.0,70.2,,,,75.0,41.0,114.5,,,,3.0860222222222222,3.884598190229254,,,,
LINEAR,71.0,500,0,0.0,66.8,,,,67.0,38.0,108.0,,,,3.1542222222222227,3.896171658324731,,,,
LINEAR,72.0,500,0,0.0,66.6,,,,66.0,37.0,110.0,,,,3.1868,3.909283238938119,,,,
LINEAR,73.0,500,0,0.0,66.4,,,,68.0,36.0,116.0,,,,3.244133333333333,3.9852436193734992,,,,
LINEAR,74.0,500,0,0.0,64.0,,,,75.0,44.75,121.0,,,,3.290222222222223,3.8543283079879425,,,,
LINEAR,75.0,500,0,0.0,65.0,,,,82.0,42.0,121.0,,,,3.434022222222222,4.000331856084755,,,,
LINEAR,76.0,500,0,0.0,60.4,,,,85.5,47.0,120.75,,,,3.4840666666666666,3.940476639929556,,,,
LINEAR,77.0,500,0,0.0,59.8,,,,89.0,51.0,134.0,,,,3.5987111111111107,3.9441960610622746,,,,
LINEAR,78.0,500,0,0.0,55.2,,,,94.5,52.25,132.0,,,,3.5758444444444444,3.7325718075706753,,,,
LINEAR,79.0,500,0,0.0,58.8,,,,97.0,54.0,134.75,,,,3.6496444444444442,3.820567343302713,,,,
LINEAR,80.0,500,0,0.0,58.0,,,,101.5,52.5,136.0,,,,3.647844444444445,3.785909234455727,,,,
LINEAR,81.0,500,0,0.0,54.0,,,,87.0,52.0,125.75,,,,3.7045777777777777,3.735438973427884,,,,
LINEAR,82.0,500,0,0.0,55.4,,,,86.0,55.0,130.0,,,,3.785288888888889,3.8608459758163063,,,,
LINEAR,83.0,500,0,0.0,51.2,,,,89.5,56.0,131.0,,,,3.927133333333334,3.9666150323436753,,,,
LINEAR,84.0,500,0,0.0,50.2,,,,102.0,62.5,140.5,,,,3.888888888888889,3.6123752647415395,,,,
LINEAR,85.0,500,0,0.0,52.0,,,,102.5,60.75,141.25,,,,4.026977777777778,3.746870120915718,,,,
LINEAR,86.0,500,0,0.0,48.8,,,,105.0,65.75,143.0,,,,4.118311111111112,3.837390997762645,,,,
LINEAR,87.0,500,0,0.0,54.0,,,,115.0,68.0,143.0,,,,4.253466666666666,3.953243713569687,,,,
LINEAR,88.0,500,0,0.0,50.2,,,,102.0,65.0,145.0,,,,4.259399999999999,3.8583031457945625,,,,
LINEAR,89.0,500,0,0.0,47.4,,,,104.0,58.0,144.0,,,,4.2966444444444445,3.845321030377786,,,,
LINEAR,90.0,500,0,0.0,49.8,,,,108.0,68.0,150.0,,,,4.3056,3.690450148615158,,,,
LINEAR,91.0,500,0,0.0,47.2,,,,117.0,72.5,156.25,,,,4.481888888888888,3.831402207854102,,,,
LINEAR,92.0,500,0,0.0,46.8,,,,108.0,74.75,142.75,,,,4.3967777777777775,3.689351396413449,,,,
LINEAR,93.0,500,0,0.0,46.0,,,,114.0,77.0,148.75,,,,4.5504444444444445,3.9122640112166507,,,,
LINEAR,94.0,500,0,0.0,44.6,,,,122.0,79.0,155.0,,,,4.704244444444445,3.8918230505471763,,,,
LINEAR,95.0,500,0,0.0,43.8,,,,125.0,85.0,156.5,,,,4.667066666666667,3.851075292433117,,,,
LINEAR,96.0,500,0,0.0,42.6,,,,124.0,84.0,156.0,,,,4.649844444444445,3.5386572005001735,,,,
LINEAR,97.0,500,0,0.0,44.0,,,,135.0,94.75,160.25,,,,4.773244444444445,3.5196388849851727,,,,
LINEAR,98.0,500,0,0.0,41.0,,,,136.0,88.0,162.0,,,,5.037911111111111,3.85437947741164,,,,
LINEAR,99.0,500,0,0.0,41.2,,,,123.0,83.25,152.0,,,,4.997,3.7691443436610235,,,,
LINEAR,100.0,500,0,0.0,38.4,,,,121.0,82.0,151.75,,,,5.045266666666667,3.7146978675806728,,,,
LINEAR,101.0,500,0,0.0,39.8,,,,123.0,83.5,163.0,,,,5.148333333333333,3.6659807780043385,,,,
LINEAR,102.0,500,0,0.0,37.4,,,,115.0,84.0,154.5,,,,5.156755555555556,3.8346317870339486,,,,
LINEAR,103.0,500,0,0.0,38.0,,,,126.0,91.0,157.75,,,,5.266155555555555,3.664474218243675,,,,
LINEAR,104.0,500,0,0.0,36.8,,,,134.0,86.75,162.0,,,,5.261044444444444,3.4833880314201724,,,,
LINEAR,105.0,500,0,0.0,38.4,,,,119.0,80.75,155.5,,,,5.254266666666666,3.5776544535076797,,,,
LINEAR,106.0,500,0,0.0,37.0,,,,121.0,88.0,159.0,,,,5.3552,3.6252043126449176,,,,
LINEAR,107.0,500,0,0.0,31.8,,,,125.0,87.5,156.0,,,,5.516488888888889,3.5956587625514373,,,,
LINEAR,108.0,500,0,0.0,38.6,,,,129.0,94.0,159.0,,,,5.558577777777778,3.5409481659229964,,,,
LINEAR,109.0,500,0,0.0,36.2,,,,127.0,88.0,158.0,,,,5.6806222222222225,3.672422802215119,,,,
LINEAR,110.0,500,0,0.0,33.6,,,,128.5,89.75,159.5,,,,5.877044444444445,3.6463542966361815,,,,
LINEAR,111.0,500,0,0.0,29.8,,,,135.0,94.0,162.0,,,,5.987844444444445,3.7892901779812798,,,,
LINEAR,112.0,500,0,0.0,32.6,,,,140.0,111.0,167.0,,,,5.980266666666666,3.4487227834994134,,,,
LINEAR,113.0,500,0,0.0,29.4,,,,135.0,91.0,166.0,,,,6.1796,3.670614345268249,,,,
LINEAR,114.0,500,0,0.0,28.8,,,,135.5,92.25,167.0,,,,6.086644444444445,3.4612804432515856,,,,
