time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
2068.0,0,1,2088.544,20.544
3260.7896,6,1,3281.3336,20.544
4414.3002400000005,8,1,4434.84424,20.544
5560.57984,2,1,5581.12384,20.544
6709.0774376,1,1,6729.6214376,20.544
7858.09043944,3,1,7878.63443944,20.544
9004.61692488,0,2,9025.16092488,20.544
10151.8298279416,6,2,10172.3738279416,20.544
11298.91282438664,5,1,11319.45682438664,20.544
12446.13058486272,2,2,12466.67458486272,20.544
13593.129838971245,4,1,13613.673838971245,20.544
14740.172242087765,9,1,14760.716242087765,20.544
15887.421432635201,0,3,15907.965432635201,20.544
17034.651649438994,6,3,17055.195649438996,20.544
18181.882101676132,5,2,18202.426101676134,20.544
19328.891539265896,8,2,19349.435539265898,20.544
20476.141632879873,4,2,20496.685632879875,20.544
21623.14876651313,7,1,21643.692766513133,20.544
22770.17907754207,3,2,22790.723077542072,20.544
23917.429635268436,6,4,23937.973635268438,20.544
25064.66016973714,5,3,25085.204169737142,20.544
26211.890295330246,8,3,26232.434295330248,20.544
27358.90036513163,2,3,27379.444365131632,20.544
28506.150502863322,7,2,28526.694502863324,20.544
29653.156543021592,1,2,29673.700543021594,20.544
30800.186988088608,0,4,30820.73098808861,20.544
31947.437539849063,5,4,31967.981539849065,20.544
33094.66807774544,8,4,33115.21207774544,20.544
34241.89821220863,2,4,34262.44221220863,20.544
35388.908284558885,4,3,35409.45228455889,20.544
36536.15842063199,1,3,36556.70242063199,20.544
37683.16447143254,9,2,37703.70847143254,20.544
38830.19491504946,6,5,38850.738915049464,20.544
39977.4454667509,8,5,39997.9894667509,20.544
41124.67600455235,2,5,41145.22000455235,20.544
42271.90613895028,4,4,42292.450138950284,20.544
43418.9162112951,7,3,43439.4602112951,20.544
44566.16634738544,9,3,44586.710347385444,20.544
45713.17239818887,3,3,45733.71639818887,20.544
46860.202841810125,5,5,46880.74684181013,20.544
48007.453393511634,2,6,48027.997393511636,20.544
49154.68393131289,4,5,49175.22793131289,20.544
