coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k
KURAMOTO,5,1500.0,1000,0.0,10.0,100.0,2.0,99.1,1.0,100.0,1.0,100.0,0.2749269819000436,0.5172288702183387,0.8909612277855568,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0
KURAMOTO,5,2000.0,1000,0.0,10.0,100.0,3.0,99.7,1.0,100.0,1.0,100.0,0.2860131383290599,0.522382982459315,0.8858694676194698,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0
KURAMOTO,10,1.0,1000,0.0,10.0,74.8,,10.8,1.0,74.9,1.0,96.6,0.40953255771184993,1.1072688767639054,0.061009930064004125,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,2.0,1000,0.0,10.0,77.7,,15.0,1.0,77.7,1.0,97.2,0.38203131027154513,1.0561570535605216,0.0759244238153185,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,3.0,1000,0.0,10.0,79.3,,18.7,1.0,79.4,1.0,98.3,0.3559122859001346,0.9859985849429073,0.09445037882279161,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,5.0,1000,0.0,10.0,81.3,,28.299999999999997,1.0,81.3,1.0,98.9,0.30481473710496443,0.8672449824058539,0.14099232324254252,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,7.0,1000,0.0,10.0,82.8,,39.4,1.0,82.8,1.0,99.5,0.2647044985251995,0.7363978953099353,0.199736804766729,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,10.0,1000,0.0,10.0,84.5,153.5,54.7,1.0,84.5,1.0,99.9,0.20009359200764087,0.5493177498743713,0.2992808897303699,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,15.0,1000,0.0,10.0,86.7,103.0,76.7,1.0,86.7,1.0,99.9,0.1034953911473939,0.25301605623663903,0.4721145834521923,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,20.0,1000,0.0,10.0,87.9,78.0,89.2,1.0,87.8,1.0,100.0,0.023729624287398866,0.09260362176542737,0.6053602881137448,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,30.0,1000,0.0,10.0,92.2,52.0,98.2,1.0,92.2,1.0,100.0,0.016498786464088363,0.081558130315839,0.6086826772042526,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,50.0,1000,0.0,10.0,99.4,32.0,100.0,1.0,99.4,1.0,100.0,0.02167042875019057,0.09290498350557186,0.5969304472296526,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,70.0,1000,0.0,10.0,99.8,24.0,100.0,1.0,99.8,1.0,100.0,0.027681908892460177,0.10652795989011998,0.5849233932960998,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,100.0,1000,0.0,10.0,100.0,18.0,100.0,1.0,100.0,1.0,100.0,0.037242605160329706,0.12689653364489287,0.5666725617863662,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,150.0,1000,0.0,10.0,100.0,13.0,100.0,1.0,100.0,1.0,100.0,0.05152030407130137,0.15852540214690689,0.536863005948752,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,200.0,1000,0.0,10.0,100.0,11.0,100.0,1.0,100.0,1.0,100.0,0.06572435840986263,0.19091382839383741,0.5084151025930678,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,300.0,1000,0.0,10.0,100.0,9.0,100.0,1.0,100.0,1.0,100.0,0.09280528232931376,0.24395242526933233,0.457736630793374,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,500.0,1000,0.0,10.0,100.0,8.0,100.0,1.0,100.0,1.0,100.0,0.14681561309645566,0.3478243431259992,0.36663816528415416,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,700.0,1000,0.0,10.0,100.0,18.0,99.9,1.0,100.0,1.0,100.0,0.20145657630711444,0.4707642899919712,0.26876178399923434,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,1000.0,1000,1.7777777777777777,13.0,100.0,,14.299999999999999,10.0,100.0,1.0,100.0,0.27242416747355214,0.6241848797401097,0.12401405534916077,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,1500.0,1000,2.2222222222222223,18.0,100.0,,0.0,20.0,99.7,1.0,100.0,0.3217605880043456,0.7630207857133404,0.09890607065534074,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,10,2000.0,1000,2.388888888888889,19.0,99.9,,0.0,22.0,99.5,1.0,100.0,0.3502684323014694,0.8744854679695644,0.08925750704506481,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0
KURAMOTO,20,1.0,1000,5.680555555555555,10.0,27.500000000000004,,0.6,,27.500000000000004,1.0,98.0,0.2037255209006692,0.7099228634797579,0.011446427187699004,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,2.0,1000,5.0,28.0,34.9,,1.3,,34.9,1.0,98.9,0.19109731155215398,0.6572260763672191,0.007265370734436227,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,3.0,1000,5.0,29.0,39.1,,4.2,,39.1,1.0,99.3,0.17885451608255148,0.6096885589908237,0.00409699913086331,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,5.0,1000,5.0,26.0,43.4,,14.899999999999999,,43.3,1.0,99.7,0.15653789896493925,0.4975509034928025,0.003467536648568137,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,7.0,1000,5.0,24.0,45.800000000000004,,26.8,,45.800000000000004,1.0,99.9,0.1361059271317358,0.3973039512129056,0.00881813417071553,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,10.0,1000,5.0,22.0,49.7,169.5,50.7,,49.6,1.0,100.0,0.10983128928450718,0.2898717520613065,0.032862027159048346,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,15.0,1000,3.638888888888889,21.0,56.00000000000001,114.0,75.8,121.0,56.00000000000001,1.0,100.0,0.07775791474860952,0.20483185610583193,0.09071774584407089,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,20.0,1000,2.6805555555555554,21.0,61.9,86.0,91.2,86.5,61.9,1.0,100.0,0.04894513589243102,0.13552747788190772,0.16565776446062097,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,30.0,1000,1.7638888888888888,19.0,66.8,58.5,98.8,58.0,66.7,1.0,100.0,0.01692944493966004,0.07348911698620669,0.2793509733318421,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,50.0,1000,1.0277777777777777,22.0,83.2,36.0,99.9,34.0,83.1,1.0,100.0,0.011753765817595793,0.0545462342218492,0.2926126235250232,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,70.0,1000,0.7222222222222222,29.0,98.6,27.0,100.0,24.0,98.4,1.0,100.0,0.013508821341501123,0.05819049327657426,0.28793790057408686,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,100.0,1000,0.4166666666666667,22.0,100.0,20.0,100.0,14.0,100.0,1.0,100.0,0.017702723951902456,0.0691533837544597,0.2795390430108008,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,150.0,1000,0.2222222222222222,16.0,100.0,16.0,100.0,7.0,100.0,1.0,100.0,0.025571687539673697,0.08939645938609754,0.26425538426842254,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,200.0,1000,0.1388888888888889,13.0,100.0,13.0,100.0,5.0,100.0,1.0,100.0,0.03300886075679986,0.10903014992071747,0.24856523424053284,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,300.0,1000,0.08333333333333333,12.0,100.0,12.0,100.0,3.0,100.0,1.0,100.0,0.04780227836123725,0.15014098529194453,0.21719790931184285,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,500.0,1000,0.05555555555555555,11.0,100.0,26.0,99.9,2.0,100.0,1.0,100.0,0.07709962071288894,0.2198850668765265,0.1589848854026502,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,700.0,1000,0.05555555555555555,11.0,100.0,,31.8,3.0,100.0,1.0,100.0,0.10734233052442632,0.298355256782044,0.10065181521619326,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,1000.0,1000,3.4166666666666665,98.5,67.0,,0.0,,7.7,1.0,100.0,0.1428891373613979,0.4106007752040165,0.031167377579608732,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,1500.0,1000,4.916666666666667,180.0,29.099999999999998,,0.0,,0.3,1.0,100.0,0.17030198550991113,0.548934546610127,0.02125609214397639,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,2000.0,1000,5.194444444444445,180.0,29.4,,0.0,,0.1,1.0,100.0,0.18297669671224756,0.630427611691768,0.020564436756052074,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,50,1.0,1000,18.0,165.0,0.1,,0.0,,0.1,1.0,93.5,0.07885668329050982,0.38816600960319225,3.218661967779868e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,2.0,1000,16.55,86.0,0.1,,0.0,,0.1,1.0,97.8,0.07314304475322153,0.3601789802700795,3.550380635475303e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,3.0,1000,15.494444444444444,108.0,0.2,,0.0,,0.2,1.0,99.4,0.06816387184380357,0.3329847786346768,3.962002162444245e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,5.0,1000,14.1,67.5,0.2,,0.3,,0.2,1.0,99.9,0.05874549560845488,0.2797114760327467,4.4795569119959744e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,7.0,1000,13.166666666666666,94.5,0.2,,1.4000000000000001,,0.2,1.0,100.0,0.05097894833989707,0.23255258626501962,4.4848978576483844e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,10.0,1000,12.194444444444443,82.0,0.4,,11.5,,0.4,1.0,100.0,0.04245703290788154,0.17571459998832228,2.256825920832206e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,15.0,1000,10.855555555555556,152.5,1.0,,41.199999999999996,,1.0,1.0,100.0,0.032626801716654455,0.11329541143237262,2.7956727481681654e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,20.0,1000,9.844444444444445,140.0,1.7999999999999998,142.0,69.6,,1.6,1.0,100.0,0.02585907666573083,0.08623228934037493,8.056290528157817e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
