time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1530.0,3,1,1550.544,20.544
2776.4896,6,1,2797.0335999999998,20.544
3955.6302399999995,9,1,3976.1742399999994,20.544
5101.699839999999,5,1,5122.243839999999,20.544
6248.265137599999,4,1,6268.809137599999,20.544
7419.928223839999,3,2,7440.472223839999,20.544
8599.073961455999,6,2,8619.617961455999,20.544
9778.219189310399,9,2,9798.763189310399,20.544
10952.96989437936,0,1,10973.513894379359,20.544
12123.989488941423,1,1,12144.533488941423,20.544
13292.61165380728,8,1,13313.15565380728,20.544
14466.747484572152,6,3,14487.291484572152,20.544
15641.384255045976,9,3,15661.928255045976,20.544
16816.032418979314,0,2,16836.576418979315,20.544
17985.82446251932,5,2,18006.36846251932,20.544
19155.64436516153,7,1,19176.18836516153,20.544
20325.343894026108,2,1,20345.88789402611,20.544
21500.437530128096,9,4,21520.981530128098,20.544
22675.48661901322,0,3,22696.03061901322,20.544
23850.01000336383,5,3,23870.55400336383,20.544
25020.030375625,1,2,25040.574375625,20.544
26189.599989876253,4,2,26210.143989876255,20.544
27359.20727337748,3,3,27379.751273377482,20.544
28534.324807941055,0,4,28554.868807941057,20.544
29709.382927483333,5,4,29729.926927483335,20.544
30883.937272297502,1,3,30904.481272297504,20.544
32053.939449022113,7,2,32074.483449022115,20.544
33223.53672574263,8,2,33244.080725742635,20.544
34393.13805502826,6,4,34413.682055028265,20.544
35568.25214227377,5,5,35588.79614227377,20.544
36743.31025527614,1,4,36763.85425527614,20.544
37917.86277465074,7,3,37938.40677465074,20.544
39087.86541159121,4,3,39108.40941159121,20.544
40257.46249411873,2,2,40278.00649411873,20.544
41427.06484346271,9,5,41447.60884346271,20.544
42602.17898464405,1,5,42622.72298464405,20.544
43777.236963644726,7,4,43797.78096364473,20.544
44951.78940843938,4,4,44972.33340843938,20.544
46121.79204457143,8,3,46142.336044571435,20.544
47291.38884547208,3,4,47311.93284547208,20.544
48460.99119673519,0,5,48481.53519673519,20.544
49636.105373426144,7,5,49656.649373426146,20.544
50811.16337692747,4,5,50831.70737692747,20.544
51985.71584369187,8,4,52006.25984369187,20.544
53155.718491023414,2,3,53176.262491023415,20.544
54325.315308691854,6,5,54345.859308691855,20.544
55494.9176445045,5,6,55515.4616445045,20.544
56670.0318177468,4,6,56690.5758177468,20.544
57845.08982034131,8,5,57865.63382034131,20.544
59019.64228740952,2,4,59040.186287409524,20.544
60189.64493305556,3,5,60210.188933055564,20.544
61359.24175318672,9,6,61379.78575318672,20.544
62528.84409024421,1,6,62549.38809024421,20.544
63703.958263253924,8,6,63724.502263253926,20.544
64879.01626566949,2,5,64899.56026566949,20.544
66053.5687324081,3,6,66074.11273240809,20.544
67223.57137812105,6,6,67244.11537812105,20.544
68393.16819789988,0,6,68413.71219789988,20.544
69562.77053504834,7,6,69583.31453504834,20.544
70737.88470811045,2,6,70758.42870811044,20.544
71912.9427105402,3,7,71933.4867105402,20.544
73087.49517729827,6,7,73108.03917729827,20.544
74257.49782301704,9,7,74278.04182301703,20.544
75427.09464278823,5,7,75447.63864278822,20.544
76596.69697991681,4,7,76617.24097991681,20.544
77771.81115297915,3,8,77792.35515297914,20.544
78946.86915541106,6,8,78967.41315541105,20.544
80121.42162217165,9,8,80141.96562217164,20.544
81291.42426789032,0,7,81311.96826789032,20.544
82461.02108766616,1,7,82481.56508766615,20.544
83630.62342479483,8,7,83651.16742479482,20.544
84805.73759785645,6,9,84826.28159785645,20.544
85980.79560028797,9,9,86001.33960028796,20.544
87155.3480670482,0,8,87175.89206704819,20.544
88325.3507127667,5,8,88345.89471276669,20.544
89494.94753254236,7,7,89515.49153254235,20.544
