function,label,k,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,time_to_usable_median_min,time_to_usable_q1_min,time_to_usable_q3_min
KURAMOTO,Kuramoto,601.0,13.0,11.0,14.0,2.1666666666666665,1.8333333333333333,2.3333333333333335
KURAMOTO,Kuramoto,611.0,13.0,11.0,14.0,2.1666666666666665,1.8333333333333333,2.3333333333333335
KURAMOTO,Kuramoto,621.0,13.0,11.0,14.0,2.1666666666666665,1.8333333333333333,2.3333333333333335
KURAMOTO,Kuramoto,631.0,13.0,11.0,14.0,2.1666666666666665,1.8333333333333333,2.3333333333333335
KURAMOTO,Kuramoto,641.0,13.0,11.0,15.0,2.1666666666666665,1.8333333333333333,2.5
KURAMOTO,Kuramoto,651.0,13.0,11.0,15.0,2.1666666666666665,1.8333333333333333,2.5
KURAMOTO,Kuramoto,661.0,13.0,11.75,15.0,2.1666666666666665,1.9583333333333333,2.5
KURAMOTO,Kuramoto,671.0,13.0,11.0,15.0,2.1666666666666665,1.8333333333333333,2.5
KURAMOTO,Kuramoto,681.0,13.0,12.0,15.0,2.1666666666666665,2.0,2.5
KURAMOTO,Kuramoto,691.0,13.0,12.0,17.0,2.1666666666666665,2.0,2.8333333333333335
KURAMOTO,Kuramoto,701.0,14.0,12.0,17.0,2.3333333333333335,2.0,2.8333333333333335
KURAMOTO,Kuramoto,711.0,14.0,12.0,18.0,2.3333333333333335,2.0,3.0
KURAMOTO,Kuramoto,721.0,15.0,12.0,19.0,2.5,2.0,3.1666666666666665
KURAMOTO,Kuramoto,731.0,16.0,13.0,20.0,2.6666666666666665,2.1666666666666665,3.3333333333333335
KURAMOTO,Kuramoto,741.0,17.0,14.0,23.0,2.8333333333333335,2.3333333333333335,3.8333333333333335
KURAMOTO,Kuramoto,751.0,19.0,15.0,26.0,3.1666666666666665,2.5,4.333333333333333
KURAMOTO,Kuramoto,761.0,22.0,15.0,31.0,3.6666666666666665,2.5,5.166666666666667
KURAMOTO,Kuramoto,771.0,24.0,17.0,36.0,4.0,2.8333333333333335,6.0
KURAMOTO,Kuramoto,781.0,29.0,19.0,44.0,4.833333333333333,3.1666666666666665,7.333333333333333
KURAMOTO,Kuramoto,791.0,37.0,23.0,54.0,6.166666666666667,3.8333333333333335,9.0
KURAMOTO,Kuramoto,801.0,50.0,30.0,78.0,8.333333333333334,5.0,13.0
KURAMOTO,Kuramoto,811.0,68.0,38.75,108.25,11.333333333333334,6.458333333333333,18.041666666666668
KURAMOTO,Kuramoto,821.0,76.5,50.0,124.0,12.75,8.333333333333334,20.666666666666668
KURAMOTO,Kuramoto,831.0,94.0,58.0,140.0,15.666666666666666,9.666666666666666,23.333333333333332
KURAMOTO,Kuramoto,841.0,104.5,61.0,152.0,17.416666666666668,10.166666666666666,25.333333333333332
KURAMOTO,Kuramoto,851.0,115.0,72.5,167.0,19.166666666666668,12.083333333333334,27.833333333333332
KURAMOTO,Kuramoto,861.0,140.5,92.25,179.0,23.416666666666668,15.375,29.833333333333332
KURAMOTO,Kuramoto,871.0,179.0,119.5,179.0,29.833333333333332,19.916666666666668,29.833333333333332
KURAMOTO,Kuramoto,881.0,179.0,169.75,179.0,29.833333333333332,28.291666666666668,29.833333333333332
KURAMOTO,Kuramoto,891.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,901.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,911.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,921.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,931.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,941.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,951.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,961.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,971.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,981.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,991.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1001.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1011.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1021.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1031.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
KURAMOTO,Kuramoto,1041.0,179.0,179.0,179.0,29.833333333333332,29.833333333333332,29.833333333333332
