condition,function,label,reference_device_id,reference_initial_event_time_ms,cycle_index,device_id,device_event_time_ms,phase_diff_rad,reference_phase_diff_rad,phase_diff_rebased_rad
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,42,1292.0,0.0263893782901542,0.0157079632679489,0.010681415022205432
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,43,1293.0,0.0270176968208722,0.0157079632679489,0.011309733552923085
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,44,1294.0,0.0276460153515901,0.0157079632679489,0.011938052083641182
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,45,1295.0,0.0282743338823081,0.0157079632679489,0.012566370614359279
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,46,1296.0,0.028902652413026,0.0157079632679489,0.013194689145076932
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,47,1297.0,0.029530970943744,0.0157079632679489,0.01382300767579503
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,48,1298.0,0.030159289474462,0.0157079632679489,0.014451326206513126
uniform_1ms,LINEAR,frog chorus based,25,1275.0,1,49,1299.0,0.0307876080051799,0.0157079632679489,0.01507964473723078
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,0,11240.06,0.0,0.0156765473414135,-0.01567654734141355
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,1,11260.998,0.0131557333961726,0.0156765473414135,-0.0025208139452410627
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,2,11261.996,0.0137827952898289,0.0156765473414135,-0.0018937520515844852
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,3,11262.994,0.0144098571834863,0.0156765473414135,-0.0012666901579270196
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,4,11263.992,0.0150369190771426,0.0156765473414135,-0.0006396282642708861
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,5,11264.99,0.0156639809707988,0.0156765473414135,-1.2566370614752742e-05
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,6,11265.988,0.0162910428644551,0.0156765473414135,0.0006144955230413807
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,7,11266.986,0.0169181047581125,0.0156765473414135,0.0012415574166988463
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,8,11267.984,0.0175451666517688,0.0156765473414135,0.0018686193103554238
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,9,11268.982,0.0181722285454251,0.0156765473414135,0.0024956812040115572
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,10,11269.98,0.0187992904390813,0.0156765473414135,0.0031227430976676906
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,11,11270.978,0.0194263523327376,0.0156765473414135,0.003749804991324268
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,12,11271.976,0.020053414226395,0.0156765473414135,0.00437686688498129
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,13,11272.974,0.0206804761200513,0.0156765473414135,0.005003928778637867
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,14,11273.972,0.0213075380137075,0.0156765473414135,0.005630990672294001
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,15,11274.97,0.0219345999073638,0.0156765473414135,0.006258052565950134
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,16,11256.028,0.0100329902985048,0.0156765473414135,-0.005643557042908753
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,17,11257.026,0.0106600521921611,0.0156765473414135,-0.00501649514925262
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,18,11258.024,0.0112871140858173,0.0156765473414135,-0.0043894332555960425
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,19,11259.022,0.0119141759794747,0.0156765473414135,-0.003762371361939021
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,20,11260.02,0.012541237873131,0.0156765473414135,-0.0031353094682824434
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,21,11261.018,0.0131682997667873,0.0156765473414135,-0.00250824757462631
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,22,11262.016,0.0137953616604435,0.0156765473414135,-0.0018811856809701766
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,23,11263.014,0.0144224235540998,0.0156765473414135,-0.001254123787313599
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,24,11264.012,0.0150494854477572,0.0156765473414135,-0.0006270618936561334
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,25,11265.01,0.0156765473414135,0.0156765473414135,0.0
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,26,11266.008,0.0163036092350697,0.0156765473414135,0.0006270618936561334
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,27,11267.006,0.016930671128726,0.0156765473414135,0.001254123787312711
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,28,11268.004,0.0175577330223834,0.0156765473414135,0.0018811856809697325
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,29,11269.002,0.0181847949160397,0.0156765473414135,0.00250824757462631
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,30,11289.94,0.0313405283122124,0.0156765473414135,0.015663980970798796
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,31,11290.998,0.0320052893177114,0.0156765473414135,0.016328741976297856
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,32,11291.996,0.0326323512113677,0.0156765473414135,0.01695580386995399
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,33,11292.994,0.0332594131050251,0.0156765473414135,0.017582865763611455
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,34,11293.992,0.0338864749986813,0.0156765473414135,0.01820992765726759
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,35,11294.99,0.0345135368923376,0.0156765473414135,0.018836989550924166
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,36,11295.988,0.0351405987859939,0.0156765473414135,0.0194640514445803
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,37,11296.986,0.0357676606796513,0.0156765473414135,0.020091113338237765
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,38,11297.984,0.0363947225733075,0.0156765473414135,0.0207181752318939
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,39,11298.982,0.0370217844669638,0.0156765473414135,0.021345237125550476
uniform_1ms,LINEAR,frog chorus based,25,1275.0,2,40,11299.98,0.0376488463606201,0.0156765473414135,0.02197229901920661
