function,label,delta_rad,coupling_value
KURAMOTO,Kuramoto based,-3.141592653589793,-1.2246467991473532e-16
KURAMOTO,Kuramoto based,-3.1328660073298216,-0.008726535498373959
KURAMOTO,Kuramoto based,-3.12413936106985,-0.01745240643728344
KURAMOTO,Kuramoto based,-3.115412714809878,-0.026176948307873423
KURAMOTO,Kuramoto based,-3.1066860685499065,-0.03489949670250114
KURAMOTO,Kuramoto based,-3.097959422289935,-0.04361938736533607
KURAMOTO,Kuramoto based,-3.0892327760299634,-0.05233595624294381
KURAMOTO,Kuramoto based,-3.0805061297699914,-0.06104853953485719
KURAMOTO,Kuramoto based,-3.07177948351002,-0.06975647374412552
KURAMOTO,Kuramoto based,-3.0630528372500483,-0.07845909572784507
KURAMOTO,Kuramoto based,-3.0543261909900767,-0.0871557427476582
KURAMOTO,Kuramoto based,-3.045599544730105,-0.09584575252022391
KURAMOTO,Kuramoto based,-3.036872898470133,-0.10452846326765373
KURAMOTO,Kuramoto based,-3.0281462522101616,-0.11320321376790689
KURAMOTO,Kuramoto based,-3.01941960595019,-0.12186934340514755
KURAMOTO,Kuramoto based,-3.0106929596902186,-0.13052619222005157
KURAMOTO,Kuramoto based,-3.0019663134302466,-0.13917310096006574
KURAMOTO,Kuramoto based,-2.993239667170275,-0.14780941112961082
KURAMOTO,Kuramoto based,-2.9845130209103035,-0.15643446504023098
KURAMOTO,Kuramoto based,-2.975786374650332,-0.16504760586067765
KURAMOTO,Kuramoto based,-2.9670597283903604,-0.17364817766693028
KURAMOTO,Kuramoto based,-2.9583330821303884,-0.18223552549214772
KURAMOTO,Kuramoto based,-2.949606435870417,-0.19080899537654497
KURAMOTO,Kuramoto based,-2.9408797896104453,-0.19936793441719725
KURAMOTO,Kuramoto based,-2.9321531433504737,-0.20791169081775931
KURAMOTO,Kuramoto based,-2.9234264970905017,-0.21643961393810318
KURAMOTO,Kuramoto based,-2.91469985083053,-0.2249510543438652
KURAMOTO,Kuramoto based,-2.9059732045705586,-0.23344536385590553
KURAMOTO,Kuramoto based,-2.897246558310587,-0.24192189559966773
KURAMOTO,Kuramoto based,-2.888519912050615,-0.2503800040544418
KURAMOTO,Kuramoto based,-2.8797932657906435,-0.258819045102521
KURAMOTO,Kuramoto based,-2.871066619530672,-0.267238376078257
KURAMOTO,Kuramoto based,-2.8623399732707004,-0.2756373558169992
KURAMOTO,Kuramoto based,-2.853613327010729,-0.2840153447039226
KURAMOTO,Kuramoto based,-2.844886680750757,-0.29237170472273705
KURAMOTO,Kuramoto based,-2.8361600344907854,-0.30070579950427334
KURAMOTO,Kuramoto based,-2.827433388230814,-0.3090169943749475
