condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_wrapped_rad
uniform_1ms,KURAMOTO,Kuramoto based,2,19,0.0162206848899516,0.016220684889951542
uniform_1ms,KURAMOTO,Kuramoto based,2,20,0.0170744202757636,0.017074420275763558
uniform_1ms,KURAMOTO,Kuramoto based,2,21,0.0179281565515005,0.017928156551500596
uniform_1ms,KURAMOTO,Kuramoto based,2,22,0.018781893628168,0.018781893628168067
uniform_1ms,KURAMOTO,Kuramoto based,2,23,0.0196356314167772,0.019635631416777155
uniform_1ms,KURAMOTO,Kuramoto based,2,24,0.0204893698283346,0.020489369828334603
uniform_1ms,KURAMOTO,Kuramoto based,2,25,0.021343108773849,0.02134310877384893
uniform_1ms,KURAMOTO,Kuramoto based,2,26,0.0221968481643261,0.02219684816432599
uniform_1ms,KURAMOTO,Kuramoto based,2,27,0.0230505879107756,0.023050587910775633
uniform_1ms,KURAMOTO,Kuramoto based,2,28,0.0239043279242043,0.02390432792420416
uniform_1ms,KURAMOTO,Kuramoto based,2,29,0.0247580681156175,0.024758068115617426
uniform_1ms,KURAMOTO,Kuramoto based,2,30,0.0323740608705096,0.032374060870509425
uniform_1ms,KURAMOTO,Kuramoto based,2,31,0.0264655486764308,0.026465548676430917
uniform_1ms,KURAMOTO,Kuramoto based,2,32,0.0273192888678441,0.027319288867844183
uniform_1ms,KURAMOTO,Kuramoto based,2,33,0.0281730288812727,0.02817302888127271
uniform_1ms,KURAMOTO,Kuramoto based,2,34,0.0290267686277223,0.029026768627722355
uniform_1ms,KURAMOTO,Kuramoto based,2,35,0.0298805080181993,0.029880508018199414
uniform_1ms,KURAMOTO,Kuramoto based,2,36,0.0307342469637138,0.03073424696371374
uniform_1ms,KURAMOTO,Kuramoto based,2,37,0.0315879853752712,0.03158798537527119
uniform_1ms,KURAMOTO,Kuramoto based,2,38,0.0324417231638803,0.032441723163880276
uniform_1ms,KURAMOTO,Kuramoto based,2,39,0.0332954602405478,0.03329546024054775
uniform_1ms,KURAMOTO,Kuramoto based,2,40,0.0341491965162848,0.034149196516284785
uniform_1ms,KURAMOTO,Kuramoto based,2,41,0.0350029319020967,0.0350029319020968
uniform_1ms,KURAMOTO,Kuramoto based,2,42,0.0358566663089947,0.035856666308994534
uniform_1ms,KURAMOTO,Kuramoto based,2,43,0.0367103996479877,0.036710399647987835
uniform_1ms,KURAMOTO,Kuramoto based,2,44,0.0375641318300844,0.037564131830084335
uniform_1ms,KURAMOTO,Kuramoto based,2,45,0.0384178627662973,0.03841786276629744
uniform_1ms,KURAMOTO,Kuramoto based,2,46,0.0392715923676351,0.03927159236763522
uniform_1ms,KURAMOTO,Kuramoto based,2,47,0.0401253205451102,0.0401253205451102
uniform_1ms,KURAMOTO,Kuramoto based,2,48,0.0409790472097337,0.040979047209733555
