function,label,k,overall_per_mean
KURAMOTO,Kuramoto based,1111.0,6.714577777777778
KURAMOTO,Kuramoto based,1121.0,6.782799999999999
KURAMOTO,Kuramoto based,1131.0,6.828488888888889
KURAMOTO,Kuramoto based,1141.0,6.878311111111112
KURAMOTO,Kuramoto based,1151.0,6.942977777777778
KURAMOTO,Kuramoto based,1161.0,6.995911111111111
KURAMOTO,Kuramoto based,1171.0,7.039866666666667
KURAMOTO,Kuramoto based,1181.0,7.090555555555556
KURAMOTO,Kuramoto based,1191.0,7.137488888888889
KURAMOTO,Kuramoto based,1201.0,7.191044444444445
KURAMOTO,Kuramoto based,1211.0,7.252355555555556
KURAMOTO,Kuramoto based,1221.0,7.262399999999999
KURAMOTO,Kuramoto based,1231.0,7.304600000000001
KURAMOTO,Kuramoto based,1241.0,7.335644444444444
KURAMOTO,Kuramoto based,1251.0,7.373088888888889
KURAMOTO,Kuramoto based,1261.0,7.410133333333334
KURAMOTO,Kuramoto based,1271.0,7.435333333333333
KURAMOTO,Kuramoto based,1281.0,7.481266666666666
KURAMOTO,Kuramoto based,1291.0,7.474733333333334
KURAMOTO,Kuramoto based,1301.0,7.5177555555555555
KURAMOTO,Kuramoto based,1311.0,7.514555555555556
KURAMOTO,Kuramoto based,1321.0,7.532155555555556
KURAMOTO,Kuramoto based,1331.0,7.524511111111111
KURAMOTO,Kuramoto based,1341.0,7.562177777777777
KURAMOTO,Kuramoto based,1351.0,7.575644444444444
KURAMOTO,Kuramoto based,1361.0,7.576444444444444
KURAMOTO,Kuramoto based,1371.0,7.585133333333333
KURAMOTO,Kuramoto based,1381.0,7.567311111111111
KURAMOTO,Kuramoto based,1391.0,7.587266666666666
KURAMOTO,Kuramoto based,1401.0,7.603111111111112
KURAMOTO,Kuramoto based,1411.0,7.598733333333334
KURAMOTO,Kuramoto based,1421.0,7.603422222222221
KURAMOTO,Kuramoto based,1431.0,7.622622222222223
KURAMOTO,Kuramoto based,1441.0,7.579377777777777
KURAMOTO,Kuramoto based,1451.0,7.577866666666667
KURAMOTO,Kuramoto based,1461.0,7.584911111111111
KURAMOTO,Kuramoto based,1471.0,7.606133333333333
KURAMOTO,Kuramoto based,1481.0,7.588666666666666
KURAMOTO,Kuramoto based,1491.0,7.606199999999999
LINEAR,frog chorus based,1.0,4.269511111111111
LINEAR,frog chorus based,2.0,2.712822222222222
LINEAR,frog chorus based,3.0,1.9540444444444447
LINEAR,frog chorus based,4.0,1.485911111111111
LINEAR,frog chorus based,5.0,1.2020666666666666
LINEAR,frog chorus based,6.0,1.018288888888889
LINEAR,frog chorus based,7.0,0.8841777777777781
LINEAR,frog chorus based,8.0,0.7921555555555556
LINEAR,frog chorus based,9.0,0.7417555555555561
LINEAR,frog chorus based,10.0,0.7156
LINEAR,frog chorus based,11.0,0.7296000000000001
LINEAR,frog chorus based,12.0,0.7677333333333336
LINEAR,frog chorus based,13.0,0.7700444444444448
LINEAR,frog chorus based,14.0,0.8127555555555556
LINEAR,frog chorus based,15.0,0.7903111111111116
LINEAR,frog chorus based,16.0,0.8100222222222223
LINEAR,frog chorus based,17.0,0.8858444444444447
LINEAR,frog chorus based,18.0,0.8918444444444448
LINEAR,frog chorus based,19.0,0.9830000000000002
LINEAR,frog chorus based,20.0,0.9834444444444448
LINEAR,frog chorus based,21.0,1.0427777777777778
LINEAR,frog chorus based,22.0,1.095577777777778
