function,label,k,overall_per_mean
NewSIN,1-sin based,59.0,0.7872222222222224
NewSIN,1-sin based,60.0,0.8135777777777777
NewSIN,1-sin based,61.0,0.8259333333333332
NewSIN,1-sin based,62.0,0.8289777777777783
NewSIN,1-sin based,63.0,0.8446222222222225
NewSIN,1-sin based,64.0,0.8608000000000002
NewSIN,1-sin based,65.0,0.8636444444444447
NewSIN,1-sin based,66.0,0.9130888888888888
NewSIN,1-sin based,67.0,0.9420222222222224
NewSIN,1-sin based,68.0,0.9364444444444444
NewSIN,1-sin based,69.0,0.9676222222222224
NewSIN,1-sin based,70.0,0.9878444444444446
NewSIN,1-sin based,71.0,0.9960666666666668
NewSIN,1-sin based,72.0,1.0164666666666669
NewSIN,1-sin based,73.0,1.032355555555556
NewSIN,1-sin based,74.0,1.0415111111111115
NewSIN,1-sin based,75.0,1.0919777777777782
NewSIN,1-sin based,76.0,1.0866888888888888
NewSIN,1-sin based,77.0,1.0928888888888886
NewSIN,1-sin based,78.0,1.1348888888888886
NewSIN,1-sin based,79.0,1.1552888888888888
NewSIN,1-sin based,80.0,1.1930000000000005
NewSIN,1-sin based,81.0,1.224511111111111
NewSIN,1-sin based,82.0,1.235311111111111
NewSIN,1-sin based,83.0,1.254888888888889
NewSIN,1-sin based,84.0,1.2796666666666665
NewSIN,1-sin based,85.0,1.3027777777777776
NewSIN,1-sin based,86.0,1.3063333333333331
NewSIN,1-sin based,87.0,1.323088888888889
NewSIN,1-sin based,88.0,1.3810222222222224
NewSIN,1-sin based,89.0,1.4127555555555555
NewSIN,1-sin based,90.0,1.4213111111111112
NewSIN,1-sin based,91.0,1.4373111111111112
NewSIN,1-sin based,92.0,1.4649555555555558
NewSIN,1-sin based,93.0,1.4583555555555558
NewSIN,1-sin based,94.0,1.4852888888888889
NewSIN,1-sin based,95.0,1.5602222222222224
NewSIN,1-sin based,96.0,1.5758666666666667
NewSIN,1-sin based,97.0,1.5922666666666667
NewSIN,1-sin based,98.0,1.6294000000000002
NewSIN,1-sin based,99.0,1.6628444444444443
NewSIN,1-sin based,100.0,1.649222222222222
NewSIN,1-sin based,101.0,1.6897111111111107
NewSIN,1-sin based,102.0,1.7506000000000002
NewSIN,1-sin based,103.0,1.7678666666666665
NewSIN,1-sin based,104.0,1.8022888888888888
NewSIN,1-sin based,105.0,1.7944
NewSIN,1-sin based,106.0,1.821911111111111
NewSIN,1-sin based,107.0,1.887155555555556
NewSIN,1-sin based,108.0,1.910177777777778
NewSIN,1-sin based,109.0,1.9442000000000004
NewSIN,1-sin based,110.0,2.013377777777778
NewSIN,1-sin based,111.0,2.010222222222222
NewSIN,1-sin based,112.0,2.1162444444444444
NewSIN,1-sin based,113.0,2.133
NewSIN,1-sin based,114.0,2.2197777777777774
NewSIN,1-sin based,115.0,2.2724444444444445
NewSIN,1-sin based,116.0,2.3199111111111117
NewSIN,1-sin based,117.0,2.353111111111111
NewSIN,1-sin based,118.0,2.4094000000000007
NewSIN,1-sin based,119.0,2.4936888888888884
NewSIN,1-sin based,120.0,2.5525333333333338
NewSIN,1-sin based,121.0,2.6150222222222217
NewSIN,1-sin based,122.0,2.6576
NewSIN,1-sin based,123.0,2.7696222222222224
NewSIN,1-sin based,124.0,2.8222
NewSIN,1-sin based,125.0,2.8956222222222223
NewSIN,1-sin based,126.0,2.945288888888889
NewSIN,1-sin based,127.0,3.0744
NewSIN,1-sin based,128.0,3.091644444444444
NewSIN,1-sin based,129.0,3.177177777777778
NewSIN,1-sin based,130.0,3.241666666666667
NewSIN,1-sin based,131.0,3.356177777777778
NewSIN,1-sin based,132.0,3.4472444444444443
NewSIN,1-sin based,133.0,3.554533333333333
NewSIN,1-sin based,134.0,3.735622222222222
NewSIN,1-sin based,135.0,3.831777777777778
NewSIN,1-sin based,136.0,3.9645777777777775
NewSIN,1-sin based,137.0,4.046288888888889
NewSIN,1-sin based,138.0,4.1588666666666665
NewSIN,1-sin based,139.0,4.211355555555556
NewSIN,1-sin based,140.0,4.373755555555555
NewSIN,1-sin based,141.0,4.529511111111111
NewSIN,1-sin based,142.0,4.682777777777777
NewSIN,1-sin based,143.0,4.803644444444444
NewSIN,1-sin based,144.0,4.932555555555555
NewSIN,1-sin based,145.0,4.961022222222222
NewSIN,1-sin based,146.0,5.230511111111111
NewSIN,1-sin based,147.0,5.298688888888889
NewSIN,1-sin based,148.0,5.421555555555555
NewSIN,1-sin based,149.0,5.620844444444445
NewSIN,1-sin based,150.0,5.80611111111111
