function,label,delta_rad,coupling_value
LINEAR_4,modified frog chorus based,-2.356194490192345,0.0
LINEAR_4,modified frog chorus based,-2.3474678439323733,-0.011111111111111072
LINEAR_4,modified frog chorus based,-2.3387411976724017,-0.022222222222222143
LINEAR_4,modified frog chorus based,-2.3300145514124297,-0.03333333333333366
LINEAR_4,modified frog chorus based,-2.321287905152458,-0.04444444444444429
LINEAR_4,modified frog chorus based,-2.3125612588924866,-0.05555555555555536
LINEAR_4,modified frog chorus based,-2.3038346126325147,-0.06666666666666687
LINEAR_4,modified frog chorus based,-2.2951079663725436,-0.0777777777777775
LINEAR_4,modified frog chorus based,-2.2863813201125716,-0.08888888888888902
LINEAR_4,modified frog chorus based,-2.2776546738526,-0.10000000000000009
LINEAR_4,modified frog chorus based,-2.2689280275926285,-0.11111111111111116
LINEAR_4,modified frog chorus based,-2.2602013813326565,-0.12222222222222268
LINEAR_4,modified frog chorus based,-2.251474735072685,-0.1333333333333333
LINEAR_4,modified frog chorus based,-2.2427480888127134,-0.14444444444444438
LINEAR_4,modified frog chorus based,-2.234021442552742,-0.15555555555555545
LINEAR_4,modified frog chorus based,-2.2252947962927703,-0.16666666666666652
LINEAR_4,modified frog chorus based,-2.2165681500327983,-0.17777777777777803
LINEAR_4,modified frog chorus based,-2.2078415037728267,-0.1888888888888891
LINEAR_4,modified frog chorus based,-2.199114857512855,-0.20000000000000018
LINEAR_4,modified frog chorus based,-2.1903882112528836,-0.2111111111111108
LINEAR_4,modified frog chorus based,-2.181661564992912,-0.22222222222222188
LINEAR_4,modified frog chorus based,-2.17293491873294,-0.2333333333333334
LINEAR_4,modified frog chorus based,-2.1642082724729685,-0.24444444444444446
LINEAR_4,modified frog chorus based,-2.155481626212997,-0.25555555555555554
LINEAR_4,modified frog chorus based,-2.146754979953025,-0.26666666666666705
LINEAR_4,modified frog chorus based,-2.138028333693054,-0.2777777777777777
LINEAR_4,modified frog chorus based,-2.129301687433082,-0.2888888888888892
LINEAR_4,modified frog chorus based,-2.1205750411731104,-0.2999999999999998
LINEAR_4,modified frog chorus based,-2.111848394913139,-0.3111111111111109
LINEAR_4,modified frog chorus based,-2.103121748653167,-0.3222222222222224
LINEAR_4,modified frog chorus based,-2.0943951023931957,-0.33333333333333304
LINEAR_4,modified frog chorus based,-2.0856684561332237,-0.34444444444444455
LINEAR_4,modified frog chorus based,-2.076941809873252,-0.3555555555555556
LINEAR_4,modified frog chorus based,-2.0682151636132806,-0.3666666666666667
LINEAR_4,modified frog chorus based,-2.0594885173533086,-0.3777777777777782
LINEAR_4,modified frog chorus based,-2.050761871093337,-0.38888888888888884
LINEAR_4,modified frog chorus based,-2.0420352248333655,-0.3999999999999999
LINEAR_4,modified frog chorus based,-2.0333085785733935,-0.4111111111111114
LINEAR_4,modified frog chorus based,-2.0245819323134224,-0.42222222222222205
LINEAR_4,modified frog chorus based,-2.0158552860534504,-0.43333333333333357
LINEAR_4,modified frog chorus based,-2.007128639793479,-0.44444444444444464
LINEAR_4,modified frog chorus based,-1.9984019935335073,-0.4555555555555557
LINEAR_4,modified frog chorus based,-1.9896753472735356,-0.4666666666666668
LINEAR_4,modified frog chorus based,-1.980948701013564,-0.47777777777777786
LINEAR_4,modified frog chorus based,-1.9722220547535922,-0.48888888888888893
LINEAR_4,modified frog chorus based,-1.9634954084936207,-0.5
LINEAR_4,modified frog chorus based,-1.954768762233649,-0.5111111111111111
LINEAR_4,modified frog chorus based,-1.9460421159736774,-0.5222222222222221
LINEAR_4,modified frog chorus based,-1.9373154697137058,-0.5333333333333332
LINEAR_4,modified frog chorus based,-1.928588823453734,-0.5444444444444443
LINEAR_4,modified frog chorus based,-1.9198621771937625,-0.5555555555555554
LINEAR_4,modified frog chorus based,-1.9111355309337907,-0.5666666666666669
LINEAR_4,modified frog chorus based,-1.9024088846738192,-0.577777777777778
LINEAR_4,modified frog chorus based,-1.8936822384138474,-0.588888888888889
LINEAR_4,modified frog chorus based,-1.8849555921538759,-0.6000000000000001
LINEAR_4,modified frog chorus based,-1.876228945893904,-0.6111111111111112
LINEAR_4,modified frog chorus based,-1.8675022996339325,-0.6222222222222222
LINEAR_4,modified frog chorus based,-1.858775653373961,-0.6333333333333333
LINEAR_4,modified frog chorus based,-1.8500490071139892,-0.6444444444444444
LINEAR_4,modified frog chorus based,-1.8413223608540177,-0.6555555555555554
LINEAR_4,modified frog chorus based,-1.832595714594046,-0.666666666666667
LINEAR_4,modified frog chorus based,-1.8238690683340744,-0.6777777777777776
LINEAR_4,modified frog chorus based,-1.8151424220741026,-0.6888888888888891
LINEAR_4,modified frog chorus based,-1.806415775814131,-0.7000000000000002
LINEAR_4,modified frog chorus based,-1.7976891295541593,-0.7111111111111112
LINEAR_4,modified frog chorus based,-1.7889624832941877,-0.7222222222222223
LINEAR_4,modified frog chorus based,-1.7802358370342162,-0.7333333333333334
LINEAR_4,modified frog chorus based,-1.7715091907742444,-0.7444444444444445
LINEAR_4,modified frog chorus based,-1.7627825445142729,-0.7555555555555555
LINEAR_4,modified frog chorus based,-1.754055898254301,-0.7666666666666666
LINEAR_4,modified frog chorus based,-1.7453292519943295,-0.7777777777777777
LINEAR_4,modified frog chorus based,-1.7366026057343578,-0.7888888888888892
LINEAR_4,modified frog chorus based,-1.7278759594743862,-0.7999999999999998
LINEAR_4,modified frog chorus based,-1.7191493132144144,-0.8111111111111113
LINEAR_4,modified frog chorus based,-1.710422666954443,-0.8222222222222224
LINEAR_4,modified frog chorus based,-1.7016960206944713,-0.833333333333333
LINEAR_4,modified frog chorus based,-1.6929693744344996,-0.8444444444444446
LINEAR_4,modified frog chorus based,-1.684242728174528,-0.8555555555555556
LINEAR_4,modified frog chorus based,-1.6755160819145563,-0.8666666666666667
LINEAR_4,modified frog chorus based,-1.6667894356545847,-0.8777777777777778
LINEAR_4,modified frog chorus based,-1.658062789394613,-0.8888888888888888
LINEAR_4,modified frog chorus based,-1.6493361431346414,-0.8999999999999999
LINEAR_4,modified frog chorus based,-1.6406094968746696,-0.9111111111111114
LINEAR_4,modified frog chorus based,-1.631882850614698,-0.922222222222222
LINEAR_4,modified frog chorus based,-1.6231562043547265,-0.9333333333333331
LINEAR_4,modified frog chorus based,-1.6144295580947547,-0.9444444444444446
LINEAR_4,modified frog chorus based,-1.6057029118347832,-0.9555555555555557
