function,label,k,residual_median,residual_q1,residual_q3,n_runs
KURAMOTO,Kuramoto based,1.0,0.0820649291584692,0.0755049081300217,0.0891367547458546,499
KURAMOTO,Kuramoto based,11.0,0.0434480482338751,0.0357069453820971,0.051526107294389,500
KURAMOTO,Kuramoto based,21.0,0.025895585163704,0.0192639112048652,0.0350672298399371,500
KURAMOTO,Kuramoto based,31.0,0.0172578882003557,0.0113104469495637,0.0255138061886308,500
KURAMOTO,Kuramoto based,41.0,0.0128680716816921,0.0090473614818633,0.0193138996238177,498
KURAMOTO,Kuramoto based,51.0,0.0115283142068392,0.0085432789496743,0.0163043099879591,499
KURAMOTO,Kuramoto based,61.0,0.010725391009476,0.0079626236220052,0.0147653873091765,499
KURAMOTO,Kuramoto based,71.0,0.0105307240631197,0.0078642267547594,0.0143220957838636,500
KURAMOTO,Kuramoto based,81.0,0.0102544674887421,0.0080155482411122,0.0136694765418694,500
KURAMOTO,Kuramoto based,91.0,0.0103498828757472,0.0081103876393138,0.0136084164684607,500
KURAMOTO,Kuramoto based,101.0,0.0104523492791596,0.0084369608812622,0.0133064697702146,500
KURAMOTO,Kuramoto based,111.0,0.0104222766755888,0.0088143350566242,0.0134204460682703,500
KURAMOTO,Kuramoto based,121.0,0.0106950962255083,0.0092608562799203,0.0133968061774161,500
KURAMOTO,Kuramoto based,131.0,0.0109963173350267,0.0096620266422425,0.0133453509618077,500
KURAMOTO,Kuramoto based,141.0,0.011317675385252,0.0100951511307422,0.0135040569327737,500
KURAMOTO,Kuramoto based,151.0,0.0118517479162329,0.0105350456697193,0.0137571652685372,500
KURAMOTO,Kuramoto based,161.0,0.0122165409278527,0.0109731169516638,0.0142286676999663,500
KURAMOTO,Kuramoto based,171.0,0.0126018346301722,0.0115559359646466,0.0146075811441229,500
KURAMOTO,Kuramoto based,181.0,0.0131100758923702,0.0121153530511687,0.0150766013725792,500
KURAMOTO,Kuramoto based,191.0,0.0137619879754539,0.0126745443117112,0.0154614803403925,500
KURAMOTO,Kuramoto based,201.0,0.014168560880729,0.0131967312817495,0.015994148819534,500
KURAMOTO,Kuramoto based,211.0,0.0148422782562795,0.0138070812763486,0.0166287759706239,500
KURAMOTO,Kuramoto based,221.0,0.015350865043054,0.0143951129850832,0.0171591794663799,500
KURAMOTO,Kuramoto based,231.0,0.0158548509359909,0.0150468041246217,0.0175851184794495,500
KURAMOTO,Kuramoto based,241.0,0.016454065036267,0.0155945912120067,0.0181383939066156,500
KURAMOTO,Kuramoto based,251.0,0.0171012903328528,0.016237183905808,0.0188157821962461,500
KURAMOTO,Kuramoto based,261.0,0.0176538713524527,0.0167640090942436,0.019295952661927,500
KURAMOTO,Kuramoto based,271.0,0.0182189338250931,0.017389151121993,0.0198261092513329,500
KURAMOTO,Kuramoto based,281.0,0.018911956203801,0.0179010717488948,0.0204814266286182,500
KURAMOTO,Kuramoto based,291.0,0.0194360882357544,0.0185594552362439,0.0210866089692204,500
KURAMOTO,Kuramoto based,301.0,0.0200964973762211,0.0191740722630963,0.0216605287774553,500
KURAMOTO,Kuramoto based,311.0,0.0205596284770478,0.0196801318835016,0.0221713415281645,500
KURAMOTO,Kuramoto based,321.0,0.0212050929547121,0.0202583843233621,0.0226110021123586,500
KURAMOTO,Kuramoto based,331.0,0.0217697021641402,0.020904369612731,0.0233739709072691,500
KURAMOTO,Kuramoto based,341.0,0.022261355757164,0.021398878825749,0.0236691430395784,500
KURAMOTO,Kuramoto based,351.0,0.0228298425684266,0.0219947012199526,0.0244686695038366,500
KURAMOTO,Kuramoto based,361.0,0.0232589172068165,0.0225097323453584,0.02499418614256,500
KURAMOTO,Kuramoto based,371.0,0.0240790666129405,0.0232385727117514,0.0254675552197571,500
KURAMOTO,Kuramoto based,381.0,0.0245366845188788,0.0237351521655683,0.0260400549818832,500
KURAMOTO,Kuramoto based,391.0,0.0251526560887221,0.0242321232084714,0.0264324897412295,500
KURAMOTO,Kuramoto based,401.0,0.0256596177251602,0.0248792795267322,0.026959494360815,500
KURAMOTO,Kuramoto based,411.0,0.0261234548320273,0.0253979515171442,0.0276458747173502,500
KURAMOTO,Kuramoto based,421.0,0.0267677847186782,0.0260594164969107,0.0279374816335175,500
KURAMOTO,Kuramoto based,431.0,0.0274487639670572,0.0266266280786973,0.0286205603591768,500
KURAMOTO,Kuramoto based,441.0,0.0279803680124185,0.0271600747897789,0.0293224305451808,500
KURAMOTO,Kuramoto based,451.0,0.028411068459816,0.0277057412617206,0.0297706624878408,500
KURAMOTO,Kuramoto based,461.0,0.0290115556485902,0.0282556796807841,0.0304057336028827,500
KURAMOTO,Kuramoto based,471.0,0.0297727832851,0.0289622893524775,0.0308645973284755,500
KURAMOTO,Kuramoto based,481.0,0.0302350269910189,0.0295412851405018,0.0315398737707184,500
KURAMOTO,Kuramoto based,491.0,0.0307645493420733,0.0300714202883319,0.0319085649767192,500
