condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_wrapped_rad
four_clusters,LINEAR,frog chorus based,2,27,-3.1346824063889573,-3.1346824063889573
four_clusters,LINEAR,frog chorus based,2,28,-3.1340553444953008,-3.1340553444953008
four_clusters,LINEAR,frog chorus based,2,29,-3.133428282601644,-3.133428282601644
four_clusters,LINEAR,frog chorus based,2,30,-3.132801220707987,-3.132801220707987
four_clusters,LINEAR,frog chorus based,2,31,-3.132174158814331,-3.132174158814331
four_clusters,LINEAR,frog chorus based,2,32,-3.131547096920675,-3.131547096920675
four_clusters,LINEAR,frog chorus based,2,33,-3.130920035027017,-3.130920035027017
four_clusters,LINEAR,frog chorus based,2,34,-3.1302929731333613,-3.1302929731333613
four_clusters,LINEAR,frog chorus based,2,35,-3.1296659112397047,-3.1296659112397047
four_clusters,LINEAR,frog chorus based,2,36,-3.1290388493460486,-3.1290388493460486
four_clusters,LINEAR,frog chorus based,2,37,-3.1284117874523925,-3.1284117874523925
four_clusters,LINEAR,frog chorus based,2,38,-1.5707963267948966,-1.5707963267948966
four_clusters,LINEAR,frog chorus based,2,39,-1.5638860795940608,-1.5638860795940608
four_clusters,LINEAR,frog chorus based,2,40,-1.5632590177004044,-1.5632590177004044
four_clusters,LINEAR,frog chorus based,2,41,-1.562631955806748,-1.562631955806748
four_clusters,LINEAR,frog chorus based,2,42,-1.562004893913092,-1.562004893913092
four_clusters,LINEAR,frog chorus based,2,43,-1.5613778320194334,-1.5613778320194334
four_clusters,LINEAR,frog chorus based,2,44,-1.560750770125777,-1.560750770125777
four_clusters,LINEAR,frog chorus based,2,45,-1.5601237082321209,-1.5601237082321209
four_clusters,LINEAR,frog chorus based,2,46,-1.5594966463384643,-1.5594966463384643
four_clusters,LINEAR,frog chorus based,2,47,-1.5588695844448082,-1.5588695844448082
four_clusters,LINEAR,frog chorus based,2,48,-1.558242522551152,-1.558242522551152
four_clusters,LINEAR,frog chorus based,2,49,-1.5576154606574957,-1.5576154606574957
four_clusters,LINEAR,frog chorus based,3,0,0.0,0.0
four_clusters,LINEAR,frog chorus based,3,1,0.013179612013614,0.013179612013614062
four_clusters,LINEAR,frog chorus based,3,2,0.0138054197834836,0.013805419783483597
four_clusters,LINEAR,frog chorus based,3,3,0.0144312275533508,0.014431227553350912
four_clusters,LINEAR,frog chorus based,3,4,0.0150570353232204,0.015057035323220447
four_clusters,LINEAR,frog chorus based,3,5,0.0156828430930899,0.015682843093089982
four_clusters,LINEAR,frog chorus based,3,6,0.0163086508629595,0.016308650862959517
four_clusters,LINEAR,frog chorus based,3,7,0.016934458632829,0.016934458632829053
four_clusters,LINEAR,frog chorus based,3,8,0.0175602664026986,0.017560266402698588
four_clusters,LINEAR,frog chorus based,3,9,0.0181860741725681,0.018186074172568123
four_clusters,LINEAR,frog chorus based,3,10,0.0188118819424377,0.018811881942437658
four_clusters,LINEAR,frog chorus based,3,11,0.019437689712305,0.019437689712304973
four_clusters,LINEAR,frog chorus based,3,12,0.0200634974821768,0.02006349748217673
four_clusters,LINEAR,frog chorus based,3,13,1.5707963267948966,1.5707963267948966
four_clusters,LINEAR,frog chorus based,3,14,1.5839759388085106,1.5839759388085106
