condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_mod_rad
uniform_1ms,KURAMOTO,Kuramoto based,2,19,0.0162206848899516,0.0162206848899516
uniform_1ms,KURAMOTO,Kuramoto based,2,20,0.0170744202757636,0.0170744202757636
uniform_1ms,KURAMOTO,Kuramoto based,2,21,0.0179281565515005,0.0179281565515005
uniform_1ms,KURAMOTO,Kuramoto based,2,22,0.018781893628168,0.018781893628168
uniform_1ms,KURAMOTO,Kuramoto based,2,23,0.0196356314167772,0.0196356314167772
uniform_1ms,KURAMOTO,Kuramoto based,2,24,0.0204893698283346,0.0204893698283346
uniform_1ms,KURAMOTO,Kuramoto based,2,25,0.021343108773849,0.021343108773849
uniform_1ms,KURAMOTO,Kuramoto based,2,26,0.0221968481643261,0.0221968481643261
uniform_1ms,KURAMOTO,Kuramoto based,2,27,0.0230505879107756,0.0230505879107756
uniform_1ms,KURAMOTO,Kuramoto based,2,28,0.0239043279242043,0.0239043279242043
uniform_1ms,KURAMOTO,Kuramoto based,2,29,0.0247580681156175,0.0247580681156175
uniform_1ms,KURAMOTO,Kuramoto based,2,30,0.0323740608705096,0.0323740608705096
uniform_1ms,KURAMOTO,Kuramoto based,2,31,0.0264655486764308,0.0264655486764308
uniform_1ms,KURAMOTO,Kuramoto based,2,32,0.0273192888678441,0.0273192888678441
uniform_1ms,KURAMOTO,Kuramoto based,2,33,0.0281730288812727,0.0281730288812727
uniform_1ms,KURAMOTO,Kuramoto based,2,34,0.0290267686277223,0.0290267686277223
uniform_1ms,KURAMOTO,Kuramoto based,2,35,0.0298805080181993,0.0298805080181993
uniform_1ms,KURAMOTO,Kuramoto based,2,36,0.0307342469637138,0.0307342469637138
uniform_1ms,KURAMOTO,Kuramoto based,2,37,0.0315879853752712,0.0315879853752712
uniform_1ms,KURAMOTO,Kuramoto based,2,38,0.0324417231638803,0.0324417231638803
uniform_1ms,KURAMOTO,Kuramoto based,2,39,0.0332954602405478,0.0332954602405478
uniform_1ms,KURAMOTO,Kuramoto based,2,40,0.0341491965162848,0.0341491965162848
uniform_1ms,KURAMOTO,Kuramoto based,2,41,0.0350029319020967,0.0350029319020967
uniform_1ms,KURAMOTO,Kuramoto based,2,42,0.0358566663089947,0.0358566663089947
uniform_1ms,KURAMOTO,Kuramoto based,2,43,0.0367103996479877,0.0367103996479877
uniform_1ms,KURAMOTO,Kuramoto based,2,44,0.0375641318300844,0.0375641318300844
uniform_1ms,KURAMOTO,Kuramoto based,2,45,0.0384178627662973,0.0384178627662973
uniform_1ms,KURAMOTO,Kuramoto based,2,46,0.0392715923676351,0.0392715923676351
uniform_1ms,KURAMOTO,Kuramoto based,2,47,0.0401253205451102,0.0401253205451102
uniform_1ms,KURAMOTO,Kuramoto based,2,48,0.0409790472097337,0.0409790472097337
uniform_1ms,KURAMOTO,Kuramoto based,2,49,0.0418327722725179,0.0418327722725179
uniform_1ms,KURAMOTO,Kuramoto based,3,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,3,1,0.0170621894077537,0.0170621894077537
uniform_1ms,KURAMOTO,Kuramoto based,3,2,0.0182222159500388,0.0182222159500388
uniform_1ms,KURAMOTO,Kuramoto based,3,3,0.0193822400357005,0.0193822400357005
uniform_1ms,KURAMOTO,Kuramoto based,3,4,0.0138281353862373,0.0138281353862373
uniform_1ms,KURAMOTO,Kuramoto based,3,5,0.0149881606729388,0.0149881606729388
uniform_1ms,KURAMOTO,Kuramoto based,3,6,0.0161481873642678,0.0161481873642678
uniform_1ms,KURAMOTO,Kuramoto based,3,7,0.0173082151160502,0.0173082151160502
uniform_1ms,KURAMOTO,Kuramoto based,3,8,0.018468243584123,0.018468243584123
uniform_1ms,KURAMOTO,Kuramoto based,3,9,0.0196282724243165,0.0196282724243165
uniform_1ms,KURAMOTO,Kuramoto based,3,10,0.0207883012924676,0.0207883012924676
uniform_1ms,KURAMOTO,Kuramoto based,3,11,0.0219483298444022,0.0219483298444022
uniform_1ms,KURAMOTO,Kuramoto based,3,12,0.0231083577359619,0.0231083577359619
uniform_1ms,KURAMOTO,Kuramoto based,3,13,0.0242683846229722,0.0242683846229722
uniform_1ms,KURAMOTO,Kuramoto based,3,14,0.0321422444139963,0.0321422444139963
uniform_1ms,KURAMOTO,Kuramoto based,3,15,0.0265884340067027,0.0265884340067027
uniform_1ms,KURAMOTO,Kuramoto based,3,16,0.0185597125612976,0.0185597125612976
uniform_1ms,KURAMOTO,Kuramoto based,3,17,0.0197197348470329,0.0197197348470329
uniform_1ms,KURAMOTO,Kuramoto based,3,18,0.0208797598033457,0.0208797598033457
uniform_1ms,KURAMOTO,Kuramoto based,3,19,0.0220397870860754,0.0220397870860754
uniform_1ms,KURAMOTO,Kuramoto based,3,20,0.0231998163510568,0.0231998163510568
uniform_1ms,KURAMOTO,Kuramoto based,3,21,0.0243598472541362,0.0243598472541362
uniform_1ms,KURAMOTO,Kuramoto based,3,22,0.0255198794511369,0.0255198794511369
uniform_1ms,KURAMOTO,Kuramoto based,3,23,0.0266799125979006,0.0266799125979006
uniform_1ms,KURAMOTO,Kuramoto based,3,24,0.0278399463502529,0.0278399463502529
uniform_1ms,KURAMOTO,Kuramoto based,3,25,0.0289999803640333,0.0289999803640333
uniform_1ms,KURAMOTO,Kuramoto based,3,26,0.0301600142950582,0.0301600142950582
uniform_1ms,KURAMOTO,Kuramoto based,3,27,0.0313200477991648,0.0313200477991648
uniform_1ms,KURAMOTO,Kuramoto based,3,28,0.0324800805321832,0.0324800805321832
uniform_1ms,KURAMOTO,Kuramoto based,3,29,0.0336401121499415,0.0336401121499415
uniform_1ms,KURAMOTO,Kuramoto based,3,30,0.0372258623420527,0.0372258623420527
uniform_1ms,KURAMOTO,Kuramoto based,3,31,0.0359601706630077,0.0359601706630077
uniform_1ms,KURAMOTO,Kuramoto based,3,32,0.0371201968699828,0.0371201968699828
uniform_1ms,KURAMOTO,Kuramoto based,3,33,0.0315176677698652,0.0315176677698652
uniform_1ms,KURAMOTO,Kuramoto based,3,34,0.0326776913077761,0.0326776913077761
uniform_1ms,KURAMOTO,Kuramoto based,3,35,0.0338377165944775,0.0338377165944775
uniform_1ms,KURAMOTO,Kuramoto based,3,36,0.0349977432858066,0.0349977432858066
uniform_1ms,KURAMOTO,Kuramoto based,3,37,0.036157771037589,0.036157771037589
