function,label,delta_rad,coupling_value
LINEAR,frog chorus based,-3.141592653589793,
LINEAR,frog chorus based,-3.1328660073298216,-0.002777777777777768
LINEAR,frog chorus based,-3.12413936106985,-0.005555555555555536
LINEAR,frog chorus based,-3.115412714809878,-0.008333333333333415
LINEAR,frog chorus based,-3.1066860685499065,-0.011111111111111072
LINEAR,frog chorus based,-3.097959422289935,-0.01388888888888884
LINEAR,frog chorus based,-3.0892327760299634,-0.016666666666666607
LINEAR,frog chorus based,-3.0805061297699914,-0.019444444444444486
LINEAR,frog chorus based,-3.07177948351002,-0.022222222222222254
LINEAR,frog chorus based,-3.0630528372500483,-0.025000000000000022
LINEAR,frog chorus based,-3.0543261909900767,-0.02777777777777779
LINEAR,frog chorus based,-3.045599544730105,-0.030555555555555447
LINEAR,frog chorus based,-3.036872898470133,-0.033333333333333326
LINEAR,frog chorus based,-3.0281462522101616,-0.036111111111111094
LINEAR,frog chorus based,-3.01941960595019,-0.03888888888888886
LINEAR,frog chorus based,-3.0106929596902186,-0.04166666666666663
LINEAR,frog chorus based,-3.0019663134302466,-0.04444444444444451
LINEAR,frog chorus based,-2.993239667170275,-0.047222222222222276
LINEAR,frog chorus based,-2.9845130209103035,-0.050000000000000044
LINEAR,frog chorus based,-2.975786374650332,-0.0527777777777777
LINEAR,frog chorus based,-2.9670597283903604,-0.05555555555555547
LINEAR,frog chorus based,-2.9583330821303884,-0.05833333333333335
LINEAR,frog chorus based,-2.949606435870417,-0.061111111111111116
LINEAR,frog chorus based,-2.9408797896104453,-0.06388888888888888
LINEAR,frog chorus based,-2.9321531433504737,-0.06666666666666665
LINEAR,frog chorus based,-2.9234264970905017,-0.06944444444444453
LINEAR,frog chorus based,-2.91469985083053,-0.0722222222222223
LINEAR,frog chorus based,-2.9059732045705586,-0.07499999999999996
LINEAR,frog chorus based,-2.897246558310587,-0.07777777777777772
LINEAR,frog chorus based,-2.888519912050615,-0.0805555555555556
LINEAR,frog chorus based,-2.8797932657906435,-0.08333333333333337
LINEAR,frog chorus based,-2.871066619530672,-0.08611111111111114
LINEAR,frog chorus based,-2.8623399732707004,-0.0888888888888889
LINEAR,frog chorus based,-2.853613327010729,-0.09166666666666667
LINEAR,frog chorus based,-2.844886680750757,-0.09444444444444455
LINEAR,frog chorus based,-2.8361600344907854,-0.09722222222222221
LINEAR,frog chorus based,-2.827433388230814,-0.09999999999999998
LINEAR,frog chorus based,-2.8187067419708423,-0.10277777777777775
LINEAR,frog chorus based,-2.8099800957108707,-0.10555555555555551
