function,label,k,transient_per_mean,steady_per_mean
KURAMOTO,Kuramoto,571.0,2.4289992389977924,0.0011621697421685
LINEAR,Frog chorus,10.0,3.418884628623146,0.0917921247483535
LINEAR_4,Frog chorus (x4),9.0,3.5244864168871546,0.0647331831322208
NewSIN,NewSIN,24.0,2.9277966733960143,0.2115747499433592
