time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1353.0,11,1,1373.544,20.544
1767.7632,13,1,1788.3072000000002,20.544
2261.6264,16,1,2282.1704,20.544
2794.7385999999997,1,1,2815.2825999999995,20.544
3392.7247224,19,1,3413.2687223999997,20.544
3823.9000115199997,9,1,3844.4440115199995,20.544
4281.89521152,5,1,4302.43921152,20.544
4677.8485715199995,2,1,4698.392571519999,20.544
5108.2308827816,7,1,5128.774882781599,20.544
5603.499363807,14,1,5624.043363807,20.544
6094.114637405083,10,1,6114.658637405083,20.544
6540.793500999298,18,1,6561.337500999298,20.544
6976.5794509992975,12,1,6997.123450999297,20.544
7375.370207150688,3,1,7395.914207150688,20.544
7782.180889150688,0,1,7802.724889150688,20.544
8218.188233495375,17,1,8238.732233495375,20.544
8655.577466016417,16,2,8676.121466016417,20.544
9095.824291324676,1,2,9116.368291324676,20.544
9554.095469113108,19,2,9574.639469113108,20.544
9994.960232944892,9,2,10015.504232944892,20.544
10430.148616229875,8,1,10450.692616229875,20.544
10875.419511536855,2,2,10895.963511536855,20.544
11316.398898977188,7,2,11336.942898977188,20.544
11750.595287865337,4,1,11771.139287865337,20.544
12196.657022896346,15,1,12217.201022896346,20.544
12657.161861667404,18,2,12677.705861667404,20.544
13103.505332994862,12,2,13124.049332994862,20.544
13543.152781664863,3,2,13563.696781664863,20.544
13977.295970518078,6,1,13997.839970518078,20.544
14415.057854428956,11,2,14435.601854428956,20.544
14852.699955868022,13,2,14873.243955868022,20.544
15301.159412788518,1,3,15321.703412788518,20.544
15745.315864813369,19,3,15765.859864813368,20.544
16187.485847890403,9,3,16208.029847890402,20.544
16629.040710220932,8,2,16649.584710220934,20.544
17062.268049830487,5,2,17082.81204983049,20.544
17511.97573159898,7,3,17532.519731598983,20.544
17953.24160978853,4,2,17973.78560978853,20.544
18386.94545238512,14,2,18407.48945238512,20.544
18827.393737426075,10,2,18847.937737426077,20.544
19279.240464514885,12,3,19299.784464514887,20.544
19722.73333724328,3,3,19743.277337243282,20.544
20164.793862011215,6,2,20185.337862011216,20.544
20597.349184588224,0,2,20617.893184588225,20.544
21037.477456383636,17,2,21058.021456383638,20.544
21477.424108572963,16,3,21497.968108572964,20.544
21928.162506548695,19,4,21948.706506548697,20.544
22371.138750203063,9,4,22391.682750203065,20.544
22814.01712951097,8,3,22834.56112951097,20.544
23255.949667869074,5,3,23276.493667869076,20.544
23689.410589603467,2,3,23709.95458960347,20.544
24140.463835191415,4,3,24161.007835191416,20.544
24582.14305445708,14,3,24602.68705445708,20.544
25015.01010900709,15,2,25035.55410900709,20.544
25454.76198425982,18,3,25475.305984259823,20.544
25905.71118249544,3,4,25926.255182495443,20.544
26349.210562127933,6,3,26369.754562127935,20.544
26790.658980451735,0,3,26811.202980451737,20.544
27223.613438722736,11,3,27244.157438722737,20.544
27663.354510630357,13,3,27683.89851063036,20.544
28103.39634402402,1,4,28123.94034402402,20.544
28554.157931477013,9,5,28574.701931477015,20.544
28997.220242834228,8,4,29017.76424283423,20.544
29440.195686765794,5,4,29460.739686765795,20.544
29882.19998986748,2,4,29902.743989867482,20.544
30315.8929876067,7,4,30336.436987606703,20.544
30767.183071983287,14,4,30787.72707198329,20.544
31208.868176703287,15,3,31229.41217670329,20.544
31641.906508137305,10,3,31662.450508137306,20.544
32081.544550102142,12,4,32102.088550102144,20.544
32532.429752816093,6,4,32552.973752816095,20.544
32975.82599488471,0,4,32996.36999488471,20.544
33417.29843044321,11,4,33437.84243044321,20.544
33850.15443096351,17,3,33870.69843096351,20.544
34289.88088969632,16,4,34310.42488969632,20.544
34729.9190339996,19,5,34750.4630339996,20.544
35180.628629425046,8,5,35201.17262942505,20.544
35623.68033263848,5,5,35644.224332638485,20.544
36066.64459939783,2,5,36087.18859939783,20.544
36508.673251629356,7,5,36529.21725162936,20.544
36942.37375968295,4,4,36962.917759682954,20.544
37393.69579764304,15,4,37414.239797643044,20.544
37835.42251719647,10,4,37855.96651719647,20.544
38268.45119526655,18,4,38288.99519526655,20.544
38708.09652871528,3,5,38728.64052871528,20.544
39158.98204401615,0,5,39179.52604401615,20.544
39602.38911238757,11,5,39622.933112387575,20.544
40043.851389719435,17,4,40064.39538971944,20.544
40476.708422048156,13,4,40497.25242204816,20.544
40916.42874492344,1,5,40936.97274492344,20.544
41356.459386568924,9,6,41377.003386568926,20.544
41807.16200963964,5,6,41827.70600963964,20.544
42250.20663954615,2,6,42270.75063954615,20.544
42693.1697525279,7,6,42713.7137525279,20.544
43135.19559656478,4,5,43155.73959656478,20.544
43568.89777736302,14,5,43589.44177736302,20.544
44020.225637257965,10,5,44040.76963725797,20.544
44461.951791208725,18,5,44482.49579120873,20.544
44894.98350035777,12,5,44915.52750035777,20.544
45334.63083847839,6,5,45355.17483847839,20.544
45785.51883294262,11,6,45806.06283294262,20.544
46228.92616547306,17,5,46249.47016547306,20.544
46670.3897819374,13,5,46690.933781937405,20.544
47103.24736120704,16,5,47123.79136120704,20.544
47542.968518156886,19,6,47563.51251815689,20.544
47982.99812593266,8,6,48003.54212593266,20.544
48433.69874877908,2,7,48454.242748779085,20.544
48876.74264293716,7,7,48897.286642937164,20.544
49319.70461641759,4,6,49340.24861641759,20.544
49761.72990489532,14,6,49782.27390489532,20.544
50195.431344274366,15,5,50215.97534427437,20.544
50646.75930822495,18,6,50667.30330822495,20.544
51088.485595209975,12,6,51109.02959520998,20.544
51521.5169701787,3,6,51542.0609701787,20.544
51961.164415438005,0,6,51981.708415438006,20.544
52412.053013960285,17,6,52432.59701396029,20.544
52855.460747335106,13,6,52876.00474733511,20.544
53296.92469377401,16,6,53317.46869377401,20.544
53729.78247617511,1,6,53750.32647617511,20.544
54169.503828738794,9,7,54190.047828738796,20.544
54609.53360319342,5,7,54630.07760319342,20.544
55060.23410352926,7,8,55080.778103529265,20.544
55503.27787784627,4,7,55523.82187784627,20.544
55946.239755536335,14,7,55966.78375553634,20.544
56388.26487873227,15,6,56408.80887873227,20.544
56821.96638574266,10,6,56842.51038574266,20.544
57273.29418433495,12,7,57293.83818433495,20.544
57715.02033696398,3,7,57735.56433696398,20.544
58148.05170438756,6,6,58168.59570438756,20.544
58587.699130813606,11,7,58608.24313081361,20.544
59038.587754756896,13,7,59059.1317547569,20.544
59481.995520416735,16,7,59502.539520416736,20.544
59923.45950279731,1,7,59944.00350279731,20.544
60356.31733695313,19,7,60376.86133695313,20.544
60796.038732927555,8,7,60816.582732927556,20.544
61236.06852463923,2,8,61256.61252463923,20.544
61686.76904286175,4,8,61707.31304286175,20.544
62129.81282436507,14,8,62150.35682436507,20.544
62572.77469091997,15,7,62593.31869091997,20.544
63014.799831183256,10,7,63035.34383118326,20.544
63448.50132191161,18,7,63469.04532191161,20.544
63899.829092425236,3,8,63920.37309242524,20.544
64341.555233824045,6,7,64362.09923382405,20.544
64774.58657987944,0,7,64795.13057987944,20.544
65214.233999987075,17,7,65234.777999987076,20.544
65665.12262200723,16,8,65685.66662200722,20.544
66108.53038548476,1,8,66129.07438548475,20.544
