index,cycle_index,count,mean,min,max,median,std,q25,q75
0,1,100,1.8382512103993975,1.8323873878137733,1.8540234237133657,1.837122651390176,0.004464478160059261,1.8344168525689968,1.8406771125089776
1,2,100,1.7816315096586657,1.7758033916548683,1.797329372694555,1.7805741906714334,0.004464253335910964,1.777765398431613,1.7841983577728948
2,3,100,1.7252508037318717,1.7192648658875074,1.7407466265936804,1.7242739385279222,0.00444421690551546,1.7217332158113492,1.7279246952122174
3,4,100,1.6691963829293,1.6629861160749346,1.684185732956116,1.6682228226501818,0.004377893738146854,1.6659024241974922,1.6716426965534785
4,5,100,1.6137776210776118,1.6076136112990067,1.6282698555206525,1.612982135744526,0.004318345477360648,1.61025204644497,1.6158972641763611
5,6,100,1.5590208738640916,1.5519916535299614,1.57476851788927,1.5582105264131738,0.004307994530548127,1.5559677445098719,1.5610928535796584
6,7,100,1.5066853168450216,1.4972814236538237,1.636350877095324,1.5044516202333433,0.013901708393420312,1.5016154173540441,1.5078543085176008
7,8,100,1.4571529917366428,1.441950547280315,1.5910048090296434,1.4537216600761211,0.01881771724744489,1.4489082022250719,1.4601928724726874
8,9,100,1.4102482264588803,1.3894107127675217,1.5401179801825515,1.4029701729951887,0.028632296733396567,1.3976645535428633,1.4080644901736243
9,10,100,1.3519726902677098,1.340158223398763,1.3765653695173974,1.3503442446624605,0.00819181162776408,1.346263728852167,1.3575290732289604
10,11,100,1.3033108646266123,1.2884120043673128,1.3312644716003097,1.3025347038555513,0.009823932948153185,1.2952439273732534,1.3090925586091837
11,12,100,1.264257992970225,1.2366195219555731,1.3225750914876842,1.259332447740156,0.01933066313774289,1.2499854064725198,1.274425641298353
12,13,100,1.2325871977924279,1.188232816629051,1.2978828117166683,1.2276318474772827,0.027816021278490023,1.2095743250738602,1.2536893651210594
13,14,100,1.1984256317112174,1.144656606897204,1.272713588707585,1.1952043876516396,0.030487127018251445,1.1743946586951692,1.2216689556400606
14,15,100,1.1593401458314423,1.0950002305852644,1.2308702560210905,1.1566814964326064,0.030281197170768034,1.1365240854618852,1.1760732467110284
15,16,100,1.1201465886978057,1.0643541071499376,1.1813033483977209,1.120439737840862,0.026714604980309913,1.1020831037287753,1.139591999073201
16,17,100,1.0789658271018512,1.021229140181518,1.133951264238667,1.0753420019176891,0.02340213688591841,1.064323349716584,1.0979951868967908
