index,cycle_index,count,mean,min,max,median,std,q25,q75
0,1,100,1.8386444344740323,1.83332998213517,1.849989944999448,1.8379812960918362,0.003781059843081837,1.8359814972033304,1.8406427988366303
1,2,100,1.8376421886729803,1.8320221104002263,1.8492857089571608,1.8369769671406324,0.0038242340136927714,1.8347415631082957,1.8393712513410965
2,3,100,1.8364844783251824,1.8301489070361228,1.8485362693405252,1.8358155959190887,0.003972765242969311,1.8341134044254208,1.8380507775888915
3,4,100,1.8351707925590466,1.8266348878466667,1.8477495518898408,1.83472163384821,0.00424019064281749,1.8324735549708666,1.836747631052899
4,5,100,1.8337108622128784,1.822048132682954,1.8468100601314648,1.8335622902745106,0.0046383042762931205,1.8311496369464502,1.8357808896768586
5,6,100,1.832095743797648,1.816641018947704,1.8458415208811811,1.8324560222053705,0.005178484732988746,1.8293618407907548,1.8346350349548524
6,7,100,1.83199158520701,1.8105962641057,1.8878670030188784,1.831209525727294,0.011080688403603154,1.8274475568696102,1.833687350304958
7,8,100,1.8322381588523167,1.8038427560735328,1.8834185005322293,1.829713326368744,0.014910904450859507,1.8260886255385111,1.8332571286356958
8,9,100,1.8304429242441123,1.7962946048573003,1.8966575019963356,1.827877299470634,0.01676278177568107,1.824042727669572,1.8318202904672352
9,10,100,1.823872697541145,1.7878552911186825,1.8417437378292616,1.82527165009251,0.008828639336500289,1.8206950927821122,1.8287987880850922
10,11,100,1.8213543135729626,1.7784286322353418,1.840505685239359,1.823186248663993,0.010176718657170736,1.8183662861082395,1.8269590901210404
11,12,100,1.8186287319641827,1.7678648241966786,1.8392245808933507,1.820852667602367,0.011729325315949406,1.815237076401989,1.825247350297031
12,13,100,1.815673337065701,1.7555544244147987,1.8378953515134284,1.8186346001400837,0.013516330084987566,1.8117633543769949,1.823464484327553
13,14,100,1.8124764622131528,1.741713164682874,1.8365537341326144,1.816199148349418,0.015558868916081343,1.8078075862572884,1.8216993995159285
14,15,100,1.8090211994158418,1.7271108683446883,1.8352007558474288,1.8136790573997759,0.017860673732827254,1.8030246510686796,1.819828038292961
15,16,100,1.805376411744909,1.7241932379983205,1.8336154440941697,1.8104754433193022,0.01989757683125814,1.7979012230448321,1.8175091588162977
16,17,100,1.801434269546323,1.7212285415431554,1.831798377739659,1.8073996747189547,0.022204019324775077,1.7926611678382876,1.8153235211006664
17,18,100,1.7973923396620068,1.7182167568724116,1.8298611651704029,1.804195047712762,0.02411989095235759,1.7877314978444567,1.812956142358428
18,19,100,1.7931584884491638,1.714330494055032,1.8278063237203344,1.8010387675145938,0.026033010149981585,1.7825265633602125,1.8103748951676493
19,20,100,1.7886013342996165,1.705399617143179,1.8256470521176644,1.7977267860953225,0.028335337360613562,1.7770006677629155,1.8078844825856915
20,21,100,1.783643672669096,1.688584203723322,1.8233742779910516,1.7942972326047726,0.031125176008054062,1.771469040504088,1.80511698994939
21,22,100,1.7783853969024415,1.6697687867713478,1.8209782919478303,1.7909185613554603,0.03418776355412352,1.7656625636927505,1.802203240056529
22,23,100,1.7729715870306233,1.6486825540069736,1.8184730034294376,1.7868829210609565,0.037228420147505485,1.7582485348721086,1.7992635705827351
23,24,100,1.7675562879800217,1.6300013485591427,1.816630173548464,1.7824338144550769,0.03992541870931756,1.750262276990954,1.7959992022098121
24,25,100,1.7622528665971484,1.6176145564335933,1.8146425569649844,1.7777556916687982,0.04206007422732272,1.7401494974350145,1.7924139560877879
25,26,100,1.756788455021901,1.6039688389124798,1.812592681046772,1.7728350104675537,0.04421172045070763,1.7306366886846933,1.7886570435496845
26,27,100,1.751216846908961,1.5889121218856073,1.810474566798571,1.7680191615556158,0.04635664442341242,1.7226962759795907,1.7846756976385
27,28,100,1.7456161960697003,1.5815363915319,1.8082808510565915,1.7626132954498521,0.048083026685783146,1.7158936282451416,1.7809607809781116
28,29,100,1.739762782338718,1.5708720458162877,1.8060043455034525,1.756568373271378,0.049827150039967245,1.7046528479820005,1.7771812964354476
29,30,100,1.733587170689348,1.5565095757198844,1.8036653472676996,1.7501121750059827,0.051791678108692944,1.6975290429706202,1.7729792698431255
30,31,100,1.7274139088149454,1.559540004500761,1.8012613301827716,1.7431998154787565,0.053211927005163695,1.6913461801379706,1.7686110728168638
31,32,100,1.7211601252878057,1.546837420111184,1.798785212512742,1.7356810899052242,0.05441712899628385,1.685377054228109,1.7639825078188032
32,33,100,1.7141590098441122,1.5281506989622111,1.796227670017067,1.7267599719311906,0.05669173601462328,1.6775591822003695,1.7589637138837713
33,34,100,1.7070035716028438,1.5187965705167508,1.7935794083063277,1.7170934942540117,0.05828247233117545,1.6706531897608636,1.7535111897172446
34,35,100,1.6994728669710937,1.5158292251855772,1.7908703459713418,1.7091775656939063,0.059879847899833624,1.6602343726599536,1.7472398346774356
