index,cycle_index,count,mean,min,max,median,std,q25,q75
0,1,100,1.8368033131228167,1.8318368855438496,1.8502432705224416,1.8362765407157893,0.003535167331762178,1.8338903436739165,1.8386575316971094
1,2,100,1.7478399071648312,1.7424396957318449,1.7612134333481837,1.747200840079976,0.00353994552201799,1.745132093966931,1.7495778923543943
2,3,100,1.6598776410928355,1.6538182986576322,1.6723033343525695,1.659472152912755,0.0034889210697708643,1.6571269015784926,1.6619304669428732
3,4,100,1.5740243460292476,1.5678542577056398,1.58463737117666,1.5737775030773626,0.0035501065675034435,1.5710372689856582,1.576001504107552
4,5,100,1.4918225237286376,1.4844812817277426,1.5083578022000337,1.4907405707899346,0.004789598234344491,1.48865221401432,1.494584593827655
5,6,100,1.4174103920722445,1.4009258178586608,1.4339729877211038,1.417460797500179,0.007095445566038399,1.4127970738129028,1.4220550376510763
6,7,100,1.351796415333492,1.3254457277630145,1.441256577024781,1.349114644387734,0.01895966605306861,1.3423339457819616,1.3540511631060803
7,8,100,1.3141310608307828,1.258139400962734,1.497064813857926,1.3183759186658475,0.03815105229926174,1.28203301218456,1.3266849982818716
8,9,100,1.2659893085583662,1.1918644756327932,1.4233954414266026,1.2751524429379373,0.03622617870120783,1.241951184281067,1.2851932164949633
9,10,100,1.196109802245841,1.1366287717933248,1.247223438564006,1.2002081770667758,0.017772538957300146,1.1945982283303047,1.2066611541951802
10,11,100,1.1330153614204506,1.072887989143067,1.1934337815481568,1.1311929514181824,0.019435801913693856,1.1238409599538735,1.1390708857752707
11,12,100,1.10418923569852,1.0267066304884993,1.1784519658946258,1.1084977475130553,0.03501915253989942,1.0779386370218695,1.1206749077915124
12,13,100,1.082793552787933,0.9602123524340276,1.159648673486535,1.088139825045227,0.03567145128738466,1.0556163804630776,1.1099784334814262
13,14,100,1.0591859503882073,0.9478597727472076,1.1152036269822772,1.060619024365624,0.03352995206466789,1.0330592345400176,1.0818462227736099
14,15,100,1.0291786456152696,0.9402577121490672,1.1002791758852086,1.0277944258653737,0.035325672718515354,1.006287161845733,1.0683355519622624
15,16,100,0.9830379772109735,0.8743162360804736,1.056832360564134,0.9903854469158554,0.02559319825604662,0.9702535911881367,0.9973621414666487
16,17,100,0.9332351486608677,0.8713336436179975,1.011928107766696,0.922019505285667,0.029208975977735443,0.9155142884152508,0.9393741032136709
17,18,100,0.9041914156638967,0.8171288518097265,0.9822147753607346,0.9066077017778226,0.03530443066795875,0.8950336082594142,0.917217254897245
18,19,100,0.8878714013999364,0.797919298177455,0.964834431893844,0.8992250970911546,0.03502824409638143,0.8591312525220202,0.9090093727133428
