time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1434.0,41,1,1454.544,20.544
1865.7087999999999,37,1,1886.2528,20.544
2276.6176000000005,15,1,2297.1616000000004,20.544
2657.1904,12,1,2677.7344,20.544
2991.9904,4,1,3012.5344,20.544
3286.4038399999995,48,1,3306.9478399999994,20.544
3592.417152,9,1,3612.961152,20.544
3865.2145123328,39,1,3885.7585123328,20.544
4163.7829347328,7,1,4184.3269347328,20.544
4450.638645772288,24,1,4471.182645772288,20.544
4724.880104972288,18,1,4745.424104972288,20.544
4997.5109514362875,38,1,5018.054951436287,20.544
5270.271677711318,36,1,5290.815677711318,20.544
5558.203345167319,1,1,5578.747345167319,20.544
5847.235933000367,5,1,5867.779933000367,20.544
6123.452338422153,11,1,6143.996338422153,20.544
6395.687020538744,49,1,6416.231020538744,20.544
6677.842791236071,27,1,6698.386791236071,20.544
6961.184029593516,43,1,6981.728029593516,20.544
7234.505787373189,8,1,7255.049787373189,20.544
7506.48165132455,30,1,7527.0256513245495,20.544
7778.4028378378825,26,1,7798.946837837882,20.544
8080.99335246867,41,2,8101.53735246867,20.544
8380.154859189448,37,2,8400.698859189448,20.544
8682.648421787515,15,2,8703.192421787515,20.544
8984.685976824809,12,2,9005.229976824809,20.544
9272.243965468595,32,1,9292.787965468595,20.544
9577.86873920531,48,2,9598.41273920531,20.544
9875.981512975095,9,2,9896.525512975095,20.544
10169.66368202322,39,2,10190.20768202322,20.544
10460.298156107745,10,1,10480.842156107745,20.544
10762.153974496121,24,2,10782.69797449612,20.544
11054.765054273372,6,1,11075.309054273372,20.544
11345.143000346061,22,1,11365.68700034606,20.544
11635.37531877993,3,1,11655.91931877993,20.544
11931.004602633784,1,2,11951.548602633784,20.544
12223.906699890696,5,2,12244.450699890696,20.544
12511.567165277285,14,1,12532.111165277285,20.544
12802.62791723022,2,1,12823.17191723022,20.544
13090.589973470644,13,1,13111.133973470643,20.544
13381.093141547992,20,1,13401.637141547992,20.544
13671.86070810032,33,1,13692.40470810032,20.544
