time,oscillator_id,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end
1492.0,6,send_clear,1487.0,1492.0,,,
2441.6808,4,send_clear,2436.6808,2441.6808,,,
3368.4116,3,send_clear,3363.4116,3368.4116,,,
4267.9714,1,send_clear,4262.9714,4267.9714,,,
5163.9056184,7,send_clear,5158.9056184,5163.9056184,,,
5182.0766184,5,skip_busy,5177.0766184,5182.0766184,7,5163.9056184,5184.4496184
5183.9936184,0,skip_busy,5178.9936184,5183.9936184,7,5163.9056184,5184.4496184
6078.14916968,2,send_clear,6073.14916968,6078.14916968,,,
6991.0721088400005,9,send_clear,6986.0721088400005,6991.0721088400005,,,
6996.43963864,8,skip_busy,6991.43963864,6996.43963864,9,6991.0721088400005,7011.61610884
7910.6368418208,6,send_clear,7905.6368418208,7910.6368418208,,,
8831.51724413096,4,send_clear,8826.51724413096,8831.51724413096,,,
9752.64789167404,3,send_clear,9747.64789167404,9752.64789167404,,,
10671.784611439329,1,send_clear,10666.784611439329,10671.784611439329,,,
11589.251830915078,7,send_clear,11584.251830915078,11589.251830915078,,,
12504.882985698814,5,send_clear,12499.882985698814,12504.882985698814,,,
12505.055515698814,0,skip_busy,12500.055515698814,12505.055515698814,5,12504.882985698814,12525.426985698814
12506.779515314014,2,skip_busy,12501.779515314014,12506.779515314014,5,12504.882985698814,12525.426985698814
13422.552504276937,9,send_clear,13417.552504276937,13422.552504276937,,,
14336.436787468207,8,send_clear,14331.436787468207,14336.436787468207,,,
14339.96453575448,6,skip_busy,14334.96453575448,14339.96453575448,8,14336.436787468207,14356.980787468206
15255.273369097687,4,send_clear,15250.273369097687,15255.273369097687,,,
16173.276433987368,3,send_clear,16168.276433987368,16173.276433987368,,,
17091.55656633121,1,send_clear,17086.55656633121,17091.55656633121,,,
18009.705352351553,7,send_clear,18004.705352351553,18009.705352351553,,,
18927.655134288536,5,send_clear,18922.655134288536,18927.655134288536,,,
19841.796754408697,0,send_clear,19836.796754408697,19841.796754408697,,,
19841.951914374065,2,skip_busy,19836.951914374065,19841.951914374065,0,19841.796754408697,19862.3407544087
19845.621483380728,9,skip_busy,19840.621483380728,19845.621483380728,0,19841.796754408697,19862.3407544087
20760.53965715882,8,send_clear,20755.53965715882,20760.53965715882,,,
21674.696926654906,6,send_clear,21669.696926654906,21674.696926654906,,,
21678.324721655794,4,skip_busy,21673.324721655794,21678.324721655794,6,21674.696926654906,21695.240926654908
22593.79109572065,3,send_clear,22588.79109572065,22593.79109572065,,,
23511.7752525718,1,send_clear,23506.7752525718,23511.7752525718,,,
24430.00732861324,7,send_clear,24425.00732861324,24430.00732861324,,,
25348.161935155316,5,send_clear,25343.161935155316,25348.161935155316,,,
26265.971641514287,0,send_clear,26260.971641514287,26265.971641514287,,,
27180.014867736285,2,send_clear,27175.014867736285,27180.014867736285,,,
27180.345128946887,9,skip_busy,27175.345128946887,27180.345128946887,2,27180.014867736285,27200.558867736287
27183.937764586914,8,skip_busy,27178.937764586914,27183.937764586914,2,27180.014867736285,27200.558867736287
28098.78221553234,6,send_clear,28093.78221553234,28098.78221553234,,,
29012.944938046283,4,send_clear,29007.944938046283,29012.944938046283,,,
29016.58691171212,3,skip_busy,29011.58691171212,29016.58691171212,4,29012.944938046283,29033.488938046285
29932.060534625653,1,send_clear,29927.060534625653,29932.060534625653,,,
30850.056510802868,7,send_clear,30845.056510802868,30850.056510802868,,,
31768.301883997374,5,send_clear,31763.301883997374,31768.301883997374,,,
32686.45567380305,0,send_clear,32681.45567380305,32686.45567380305,,,
33604.258745397856,2,send_clear,33599.258745397856,33604.258745397856,,,
34518.312914882365,9,send_clear,34513.312914882365,34518.312914882365,,,
34518.636252089964,8,skip_busy,34513.636252089964,34518.636252089964,9,34518.312914882365,34538.856914882366
34522.222252675056,6,skip_busy,34517.222252675056,34522.222252675056,9,34518.312914882365,34538.856914882366
35437.073461375374,4,send_clear,35432.073461375374,35437.073461375374,,,
36351.23499714215,3,send_clear,36346.23499714215,36351.23499714215,,,
36354.87762320437,1,skip_busy,36349.87762320437,36354.87762320437,3,36351.23499714215,36371.77899714215
37270.350050860594,7,send_clear,37265.350050860594,37270.350050860594,,,
38188.346594562034,5,send_clear,38183.346594562034,38188.346594562034,,,
39106.592177516424,0,send_clear,39101.592177516424,39106.592177516424,,,
40024.745636205334,2,send_clear,40019.745636205334,40024.745636205334,,,
40942.5495049616,9,send_clear,40937.5495049616,40942.5495049616,,,
41856.60353976434,8,send_clear,41851.60353976434,41856.60353976434,,,
41856.926279816995,6,skip_busy,41851.926279816995,41856.926279816995,8,41856.60353976434,41877.147539764344
41860.512888600024,4,skip_busy,41855.512888600024,41860.512888600024,8,41856.60353976434,41877.147539764344
42775.364063619774,3,send_clear,42770.364063619774,42775.364063619774,,,
43689.52561397275,1,send_clear,43684.52561397275,43689.52561397275,,,
43693.16813246181,7,skip_busy,43688.16813246181,43693.16813246181,1,43689.52561397275,43710.06961397275
44608.64061665166,5,send_clear,44603.64061665166,44608.64061665166,,,
45526.63714656692,0,send_clear,45521.63714656692,45526.63714656692,,,
46444.88267935217,2,send_clear,46439.88267935217,46444.88267935217,,,
47363.03617177212,9,send_clear,47358.03617177212,47363.03617177212,,,
48280.84004148323,8,send_clear,48275.84004148323,48280.84004148323,,,
49194.89403029394,6,send_clear,49189.89403029394,49194.89403029394,,,
49195.21682508441,4,skip_busy,49190.21682508441,49195.21682508441,6,49194.89403029394,49215.43803029394
49198.80343083619,3,skip_busy,49193.80343083619,49198.80343083619,6,49194.89403029394,49215.43803029394
50113.65457517478,1,send_clear,50108.65457517478,50113.65457517478,,,
51027.81612090564,7,send_clear,51022.81612090564,51027.81612090564,,,
51031.45864448273,5,skip_busy,51026.45864448273,51031.45864448273,7,51027.81612090564,51048.36012090564
51946.93112861168,0,send_clear,51941.93112861168,51946.93112861168,,,
52864.92765656006,2,send_clear,52859.92765656006,52864.92765656006,,,
53783.173192059985,9,send_clear,53778.173192059985,53783.173192059985,,,
54701.32668605309,8,send_clear,54696.32668605309,54701.32668605309,,,
55619.130553296214,6,send_clear,55614.130553296214,55619.130553296214,,,
56533.1845456361,4,send_clear,56528.1845456361,56533.1845456361,,,
56533.50734015376,3,skip_busy,56528.50734015376,56533.50734015376,4,56533.1845456361,56553.7285456361
56537.09394314423,1,skip_busy,56532.09394314423,56537.09394314423,4,56533.1845456361,56553.7285456361
57451.945089018984,7,send_clear,57446.945089018984,57451.945089018984,,,
58366.106634900316,5,send_clear,58361.106634900316,58366.106634900316,,,
58369.749158471925,0,skip_busy,58364.749158471925,58369.749158471925,5,58366.106634900316,58386.65063490032
59285.221642214616,2,send_clear,59280.221642214616,59285.221642214616,,,
60203.2181701647,9,send_clear,60198.2181701647,60203.2181701647,,,
61121.46370572514,8,send_clear,61116.46370572514,61121.46370572514,,,
62039.61719953884,6,send_clear,62034.61719953884,62039.61719953884,,,
62957.42106698672,4,send_clear,62952.42106698672,62957.42106698672,,,
63871.4750594077,3,send_clear,63866.4750594077,63871.4750594077,,,
63871.79785367684,1,skip_busy,63866.79785367684,63871.79785367684,3,63871.4750594077,63892.0190594077
63875.38445680557,7,skip_busy,63870.38445680557,63875.38445680557,3,63871.4750594077,63892.0190594077
64790.23560279363,5,send_clear,64785.23560279363,64790.23560279363,,,
65704.39714869364,0,send_clear,65699.39714869364,65704.39714869364,,,
65708.03967223047,2,skip_busy,65703.03967223047,65708.03967223047,0,65704.39714869364,65724.94114869363
66623.51215598703,9,send_clear,66618.51215598703,66623.51215598703,,,
67541.50868393184,8,send_clear,67536.50868393184,67541.50868393184,,,
68459.75421946806,6,send_clear,68454.75421946806,68459.75421946806,,,
69377.90771328213,4,send_clear,69372.90771328213,69377.90771328213,,,
70295.71158073247,3,send_clear,70290.71158073247,70295.71158073247,,,
71209.76557313289,1,send_clear,71204.76557313289,71209.76557313289,,,
71210.08836741447,7,skip_busy,71205.08836741447,71210.08836741447,1,71209.76557313289,71230.30957313288
71213.6749705534,5,skip_busy,71208.6749705534,71213.6749705534,1,71209.76557313289,71230.30957313288
72128.52611652926,0,send_clear,72123.52611652926,72128.52611652926,,,
73042.68766242912,2,send_clear,73037.68766242912,73042.68766242912,,,
73046.33018596722,9,skip_busy,73041.33018596722,73046.33018596722,2,73042.68766242912,73063.23166242911
73961.80266972538,8,send_clear,73956.80266972538,73961.80266972538,,,
74879.79919767,6,send_clear,74874.79919767,74879.79919767,,,
75798.04473320671,4,send_clear,75793.04473320671,75798.04473320671,,,
76716.19822702132,3,send_clear,76711.19822702132,76716.19822702132,,,
77634.00209447028,1,send_clear,77629.00209447028,77634.00209447028,,,
78548.05608687097,7,send_clear,78543.05608687097,78548.05608687097,,,
78548.37888115348,5,skip_busy,78543.37888115348,78548.37888115348,7,78548.05608687097,78568.60008687097
78551.9654842913,0,skip_busy,78546.9654842913,78551.9654842913,7,78548.05608687097,78568.60008687097
79466.81663026706,2,send_clear,79461.81663026706,79466.81663026706,,,
80380.97817616689,9,send_clear,80375.97817616689,80380.97817616689,,,
80384.62069970512,8,skip_busy,80379.62069970512,80384.62069970512,9,80380.97817616689,80401.52217616688
81300.09318346319,6,send_clear,81295.09318346319,81300.09318346319,,,
82218.08971140788,4,send_clear,82213.08971140788,82218.08971140788,,,
83136.3352469447,3,send_clear,83131.3352469447,83136.3352469447,,,
84054.48874075926,1,send_clear,84049.48874075926,84054.48874075926,,,
84972.29260820826,7,send_clear,84967.29260820826,84972.29260820826,,,
85886.34660060903,5,send_clear,85881.34660060903,85886.34660060903,,,
85886.66939489143,0,skip_busy,85881.66939489143,85886.66939489143,5,85886.34660060903,85906.89060060903
85890.25599802926,2,skip_busy,85885.25599802926,85890.25599802926,5,85886.34660060903,85906.89060060903
86805.10714400507,9,send_clear,86800.10714400507,86805.10714400507,,,
87719.2686899049,8,send_clear,87714.2686899049,87719.2686899049,,,
87722.91121344313,6,skip_busy,87717.91121344313,87722.91121344313,8,87719.2686899049,87739.8126899049
88638.3836972012,4,send_clear,88633.3836972012,88638.3836972012,,,
89556.3802251459,3,send_clear,89551.3802251459,89556.3802251459,,,
90474.62576068271,1,send_clear,90469.62576068271,90474.62576068271,,,
91392.77925449728,7,send_clear,91387.77925449728,91392.77925449728,,,
92310.58312194627,5,send_clear,92305.58312194627,92310.58312194627,,,
93224.63711434705,0,send_clear,93219.63711434705,93224.63711434705,,,
93224.95990862945,2,skip_busy,93219.95990862945,93224.95990862945,0,93224.63711434705,93245.18111434704
93228.54651176727,9,skip_busy,93223.54651176727,93228.54651176727,0,93224.63711434705,93245.18111434704
94143.39765774309,8,send_clear,94138.39765774309,94143.39765774309,,,
95057.55920364292,6,send_clear,95052.55920364292,95057.55920364292,,,
95061.20172718115,4,skip_busy,95056.20172718115,95061.20172718115,6,95057.55920364292,95078.10320364291
95976.6742109392,3,send_clear,95971.6742109392,95976.6742109392,,,
96894.6707388839,1,send_clear,96889.6707388839,96894.6707388839,,,
97812.91627442071,7,send_clear,97807.91627442071,97812.91627442071,,,
98731.06976823528,5,send_clear,98726.06976823528,98731.06976823528,,,
99648.87363568427,0,send_clear,99643.87363568427,99648.87363568427,,,
100562.92762808505,2,send_clear,100557.92762808505,100562.92762808505,,,
100563.25042236745,9,skip_busy,100558.25042236745,100563.25042236745,2,100562.92762808505,100583.47162808504
100566.83702550527,8,skip_busy,100561.83702550527,100566.83702550527,2,100562.92762808505,100583.47162808504
101481.68817148109,6,send_clear,101476.68817148109,101481.68817148109,,,
102395.84971738092,4,send_clear,102390.84971738092,102395.84971738092,,,
102399.49224091915,3,skip_busy,102394.49224091915,102399.49224091915,4,102395.84971738092,102416.39371738091
103314.96472467721,1,send_clear,103309.96472467721,103314.96472467721,,,
104232.9612526219,7,send_clear,104227.9612526219,104232.9612526219,,,
105151.20678815871,5,send_clear,105146.20678815871,105151.20678815871,,,
106069.36028197328,0,send_clear,106064.36028197328,106069.36028197328,,,
106987.16414942227,2,send_clear,106982.16414942227,106987.16414942227,,,
107901.21814182305,9,send_clear,107896.21814182305,107901.21814182305,,,
107901.54093610545,8,skip_busy,107896.54093610545,107901.54093610545,9,107901.21814182305,107921.76214182304
107905.12753924327,6,skip_busy,107900.12753924327,107905.12753924327,9,107901.21814182305,107921.76214182304
108819.97868521909,4,send_clear,108814.97868521909,108819.97868521909,,,
109734.14023111892,3,send_clear,109729.14023111892,109734.14023111892,,,
109737.78275465715,1,skip_busy,109732.78275465715,109737.78275465715,3,109734.14023111892,109754.68423111891
110653.25523841521,7,send_clear,110648.25523841521,110653.25523841521,,,
111571.2517663599,5,send_clear,111566.2517663599,111571.2517663599,,,
112489.49730189671,0,send_clear,112484.49730189671,112489.49730189671,,,
113407.65079571128,2,send_clear,113402.65079571128,113407.65079571128,,,
114325.45466316027,9,send_clear,114320.45466316027,114325.45466316027,,,
115239.50865556105,8,send_clear,115234.50865556105,115239.50865556105,,,
115239.83144984345,6,skip_busy,115234.83144984345,115239.83144984345,8,115239.50865556105,115260.05265556104
115243.41805298127,4,skip_busy,115238.41805298127,115243.41805298127,8,115239.50865556105,115260.05265556104
116158.26919895709,3,send_clear,116153.26919895709,116158.26919895709,,,
117072.43074485692,1,send_clear,117067.43074485692,117072.43074485692,,,
117076.07326839515,7,skip_busy,117071.07326839515,117076.07326839515,1,117072.43074485692,117092.97474485691
117991.54575215321,5,send_clear,117986.54575215321,117991.54575215321,,,
118909.5422800979,0,send_clear,118904.5422800979,118909.5422800979,,,
119827.78781563471,2,send_clear,119822.78781563471,119827.78781563471,,,
