coupling_function,device_count,k,run_index,run_id,selected_start_times,cycle_count,expected_packets,actual_packets,successful_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,ttu_reached,mean_convergence_cycle,mean_converged,max_convergence_cycle,max_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,epsilon_tolerance_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
KURAMOTO,5,1,20,019f655a-9b17-7167-8ed1-3c9420a02425_0020,821;2515;13;1624;2267,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7380455113833381,1.8451137784583451,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,21,019f655a-9b18-7deb-a0a0-d459d649e596_0021,3160;2362;1489;4967;710,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.4056424434315141,1.014106108578785,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,22,019f655a-9b19-7751-b5be-4734cf4bf473_0022,3000;4228;2081;4911;3221,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5881061447520091,1.4702653618800228,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,23,019f655a-9b1a-7cf3-8c2f-63c1aa763de6_0023,2942;616;4242;222;4071,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7091388238332703,1.6089933280633013,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,24,019f655a-9b1b-7c26-bfbd-fedc2a70b6c7_0024,3156;2805;3319;3171;448,180,900,812,812,0,9.777777777777779,98.0,True,156.0,True,,False,1.2212201396639497,1.6570210991193215,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,25,019f655a-9b1c-716e-8e0e-eee7f79556ab_0025,3460;4811;441;2342;2841,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.56388428425397,1.0459224930747062,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,26,019f655a-9b1d-7831-a53c-0821601264c2_0026,4282;4800;2328;3628;4160,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.8633737330262484,1.8515716157502085,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,27,019f655a-9b1e-772a-9ee8-f0aba0361e05_0027,4317;4613;2158;1801;2985,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7216937234567276,1.4516534535342234,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,28,019f655a-9b1f-7282-bdc8-76d8ebd602eb_0028,4614;3149;4287;2721;614,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5571445417920453,1.329475573195111,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,29,019f655a-9b20-7e29-a272-d5630b67f422_0029,3989;2986;4048;299;2618,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7639738544398372,1.603590237779633,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,30,019f655a-9b21-76c3-aa70-5bab82c5d5b4_0030,3147;4871;1141;6;992,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.8522338899514132,1.2414243191716747,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,31,019f655a-9b22-77e4-a495-67385c5d318f_0031,2663;1670;483;875;1571,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.9132477897909048,2.2907006941343644,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,32,019f655a-9b23-71c1-93fb-985e85876abd_0032,3950;2622;123;3845;4167,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.859131783151222,1.8836989550924408,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,33,019f655a-9b24-7e44-a1a3-23bf78974f47_0033,4238;316;3200;1215;837,180,900,900,900,0,0.0,10.0,True,1.0,True,46.0,True,0.5187615762382259,1.1825589745833498,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,34,019f655a-9b25-7ff1-8ada-721a3c96d8f9_0034,1267;300;4635;2218;3549,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.209607061847511,0.42097341558103274,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,35,019f655a-9b26-75d7-9c85-307998f7576c_0035,657;2383;3368;2715;1575,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6320691196499754,1.580172799124938,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,36,019f655a-9b27-798a-9bc8-4ec3644a9c46_0036,3550;1945;1409;4448;3602,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.7637388590932781,1.2535160930321596,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,37,019f655a-9b28-7f59-a371-021e54cead32_0037,2884;4826;3311;3836;3288,180,900,720,720,0,20.0,,False,1.0,True,,False,0.9801862316764037,2.588789653624461,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,38,019f655a-9b29-712a-846e-7ca04c621296_0038,2463;2075;1488;1862;2407,180,900,900,900,0,0.0,10.0,True,,False,,False,1.5271729637905265,3.7907402981139406,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,39,019f655a-9b2a-7fef-bb77-b9423bd1e3ce_0039,4756;4073;2270;3006;530,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.4056424434315141,0.9299114254625784,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,40,019f655a-9b2b-72e6-9c4b-181e98c29749_0040,564;4255;4033;3897;2365,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.8047438494768361,1.044143053199364,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,41,019f655a-9b2c-7b8d-ade5-eea325660c32_0041,1740;249;2203;4888;4246,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6950004357196873,1.2390541819844494,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,42,019f655a-9b2d-7a73-8270-74e45ee6a072_0042,2126;3240;1421;652;910,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7590172625488669,1.7757836224547716,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,43,019f655a-9b2e-7a84-8729-5311238bf3d9_0043,1652;4561;4361;1775;4215,180,900,900,900,0,0.0,10.0,True,,False,,False,1.2463126877471722,1.7684245633832176,1.224537524338598,5.0,20.544,25.544
