coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,mean_convergence_cycle_median,mean_convergence_rate_percent,max_convergence_cycle_median,max_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,simultaneous_collision_count_total
LINEAR,5,5.0,50,0.0,10.0,100.0,1.0,100.0,1.0,57.99999999999999,0.5333776746420656,1.1045140335599672,0
LINEAR,5,10.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5320840192054958,1.0588330388921383,0
LINEAR,5,20.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5284310989698469,1.0492786189940642,0
LINEAR,5,50.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5224208971720514,1.045908014875003,0
LINEAR,5,100.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5111867813387327,1.033642058462552,0
LINEAR,5,200.0,50,0.0,10.0,100.0,1.0,100.0,1.0,66.0,0.4761041946164664,1.0103361973944778,0
LINEAR,5,500.0,50,0.0,10.0,100.0,1.0,100.0,2.0,82.0,0.4010758243502748,0.9340237702460813,0
LINEAR,5,1000.0,50,0.0,10.0,100.0,1.0,100.0,2.0,100.0,0.29145713324914624,0.46592666089664236,0
LINEAR,5,2000.0,50,0.0,15.5,100.0,2.5,100.0,8.0,82.0,0.0171130771590694,0.04278269289767356,0
LINEAR,10,1.0,50,0.1388888888888889,10.0,96.0,1.0,100.0,108.0,30.0,0.3017516486796652,0.8778448032022583,0
LINEAR,10,2.0,50,0.08333333333333333,10.0,98.0,1.0,100.0,77.5,44.0,0.2341949127362864,0.6943137702470485,0
LINEAR,10,5.0,50,0.027777777777777776,10.5,100.0,1.0,100.0,46.5,76.0,0.09523554562156661,0.28068195665706686,0
LINEAR,10,10.0,50,0.0,10.0,100.0,1.0,100.0,46.0,100.0,0.0121347399743014,0.07271921632630814,0
LINEAR,10,20.0,50,0.0,10.0,100.0,1.0,100.0,24.0,100.0,0.01578155749270683,0.079071328822095,0
LINEAR,10,50.0,50,0.0,10.0,100.0,1.0,100.0,10.5,100.0,0.02852881250486134,0.0983737697461655,0
LINEAR,10,100.0,50,0.0,10.0,100.0,1.0,100.0,7.0,98.0,0.04996258826176067,0.1259316839519444,0
LINEAR,10,200.0,50,0.0,10.0,100.0,1.0,100.0,4.0,100.0,0.09752514264031298,0.17616729971311312,0
LINEAR,10,500.0,50,0.0,10.0,100.0,1.0,100.0,3.0,92.0,0.273747486583794,0.39194457340981925,0
LINEAR,10,1000.0,50,0.5277777777777778,18.0,96.0,9.0,90.0,,0.0,0.5518021032178465,1.0005126034857283,0
LINEAR,10,2000.0,50,47.97222222222222,,0.0,,0.0,,0.0,0.628318530067022,0.6283187930758292,0
LINEAR,20,1.0,50,3.2777777777777777,34.0,62.0,1.0,100.0,130.0,2.0,0.14629345190993825,0.57004832282378,720
LINEAR,20,2.0,50,1.8055555555555556,31.0,84.0,1.0,100.0,118.0,38.0,0.10045494552373116,0.38893936916290556,720
LINEAR,20,5.0,50,0.7361111111111112,27.0,96.0,1.0,100.0,86.0,82.0,0.024367953068830397,0.08072525771231195,720
LINEAR,20,10.0,50,0.3888888888888889,18.5,96.0,1.0,100.0,47.0,96.0,0.013294807870825289,0.05590580995078183,720
LINEAR,20,20.0,50,0.19444444444444445,12.5,96.0,1.0,100.0,24.0,96.0,0.02447457950185471,0.07674585395771633,720
LINEAR,20,50.0,50,0.125,12.5,96.0,1.0,100.0,11.0,96.0,0.04513418306545444,0.12259574915562656,714
LINEAR,20,100.0,50,0.1111111111111111,12.0,96.0,1.0,100.0,7.0,90.0,0.06324202789397723,0.17527104454678927,700
LINEAR,20,200.0,50,0.2222222222222222,14.0,96.0,1.0,100.0,18.5,92.0,0.11572214195006142,0.23599573149713407,676
LINEAR,20,500.0,50,4.972222222222221,102.0,74.0,1.0,94.0,,0.0,0.2820728360645058,0.5366907757676317,680
LINEAR,20,1000.0,50,19.083333333333332,15.0,2.0,1.0,10.0,,0.0,0.3991132202601616,1.165559631762021,586
LINEAR,20,2000.0,50,68.88888888888889,,0.0,1.0,2.0,,0.0,0.9282657874936284,0.9424778354859468,1103
LINEAR,50,1.0,50,9.7,126.5,16.0,1.0,100.0,127.0,6.0,0.03835444383164183,0.23639964447817619,2892
LINEAR,50,2.0,50,6.316666666666666,118.0,46.0,1.0,100.0,128.0,50.0,0.02180407634814345,0.10435835339058809,2982
LINEAR,50,5.0,50,2.638888888888889,70.0,84.0,1.0,100.0,64.5,84.0,0.012783378678078754,0.04609094194752159,3208
LINEAR,50,10.0,50,1.2833333333333332,35.0,84.0,1.0,100.0,34.0,80.0,0.017667125540505507,0.056702439247239264,3226
LINEAR,50,20.0,50,0.7,22.0,84.0,1.0,100.0,17.5,80.0,0.024737685331438913,0.07974972585947228,3072
LINEAR,50,50.0,50,1.7277777777777779,50.0,70.0,1.0,100.0,31.5,36.0,0.0344530964089013,0.11463631921050992,2444
LINEAR,50,100.0,50,10.005555555555556,,0.0,1.0,100.0,,0.0,0.054681192792070864,0.13777609623299908,2796
LINEAR,50,200.0,50,29.966666666666665,,0.0,,0.0,,0.0,0.11162179936150228,0.29152489809172344,2856
LINEAR,50,500.0,50,50.81111111111112,,0.0,,0.0,,0.0,0.2553061052640956,0.6491578229919373,3020
LINEAR,50,1000.0,50,44.31666666666666,,0.0,,0.0,,0.0,0.22751893503631496,0.6256161000230596,3064
LINEAR,50,2000.0,50,76.04444444444445,,0.0,,0.0,,0.0,0.9253985800474571,2.435108325858736,11922
