time,oscillator_id,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end
1464.0,1,send_clear,1459.0,1464.0,,,
1672.0544,0,send_clear,1667.0544,1672.0544,,,
1901.1688000000001,6,send_clear,1896.1688000000001,1901.1688000000001,,,
2982.07128,7,send_clear,2977.07128,2982.07128,,,
3921.761528,4,send_clear,3916.761528,3921.761528,,,
4346.9305528,9,send_clear,4341.9305528,4346.9305528,,,
5297.54745528,3,send_clear,5292.54745528,5297.54745528,,,
5850.709145528,5,send_clear,5845.709145528,5850.709145528,,,
6016.643545528,2,send_clear,6011.643545528,6016.643545528,,,
6341.985945527999,8,send_clear,6336.985945527999,6341.985945527999,,,
6713.765645527999,1,send_clear,6708.765645527999,6713.765645527999,,,
6970.49509698708,0,send_clear,6965.49509698708,6970.49509698708,,,
7232.839259043079,6,send_clear,7227.839259043079,7232.839259043079,,,
8057.690889040914,7,send_clear,8052.690889040914,8057.690889040914,,,
8962.40886410409,4,send_clear,8957.40886410409,8962.40886410409,,,
9435.53278393041,9,send_clear,9430.53278393041,9435.53278393041,,,
10338.40038814504,3,send_clear,10333.40038814504,10338.40038814504,,,
10926.532669789704,5,send_clear,10921.532669789704,10926.532669789704,,,
11187.993933789705,2,send_clear,11182.993933789705,11187.993933789705,,,
11552.222943389701,8,send_clear,11547.222943389701,11552.222943389701,,,
11930.843474222922,1,send_clear,11925.843474222922,11930.843474222922,,,
12226.338067325225,0,send_clear,12221.338067325225,12226.338067325225,,,
12510.650455058583,6,send_clear,12505.650455058583,12510.650455058583,,,
13181.207875088012,7,send_clear,13176.207875088012,13181.207875088012,,,
14011.343165202483,4,send_clear,14006.343165202483,14011.343165202483,,,
14521.627940261802,9,send_clear,14516.627940261802,14521.627940261802,,,
15383.777543356717,3,send_clear,15378.777543356717,15383.777543356717,,,
15999.311557146404,5,send_clear,15994.311557146404,15999.311557146404,,,
16338.149580986406,2,send_clear,16333.149580986406,16338.149580986406,,,
16730.726928984805,8,send_clear,16725.726928984805,16730.726928984805,,,
17126.352708024624,1,send_clear,17121.352708024624,17126.352708024624,,,
17447.281110559044,0,send_clear,17442.281110559044,17447.281110559044,,,
17758.017685643736,6,send_clear,17753.017685643736,17758.017685643736,,,
18331.70960280384,7,send_clear,18326.70960280384,18331.70960280384,,,
19071.98387580233,4,send_clear,19066.98387580233,19071.98387580233,,,
19610.974243444638,9,send_clear,19605.974243444638,19610.974243444638,,,
20433.551613365507,3,send_clear,20428.551613365507,20433.551613365507,,,
21069.789962768315,5,send_clear,21064.789962768315,21069.789962768315,,,
21471.303162078715,2,send_clear,21466.303162078715,21471.303162078715,,,
21886.70358533471,8,send_clear,21881.70358533471,21886.70358533471,,,
22302.169178254746,1,send_clear,22297.169178254746,22302.169178254746,,,
22647.58115023152,0,send_clear,22642.58115023152,22647.58115023152,,,
22979.688648312476,6,send_clear,22974.688648312476,22979.688648312476,,,
23495.860596234717,7,send_clear,23490.860596234717,23495.860596234717,,,
24157.468337371487,4,send_clear,24152.468337371487,24157.468337371487,,,
24706.66678458843,9,send_clear,24701.66678458843,24706.66678458843,,,
25487.917530487804,3,send_clear,25482.917530487804,25487.917530487804,,,
26138.657119540265,5,send_clear,26133.657119540265,26138.657119540265,,,
26590.937210981687,2,send_clear,26585.937210981687,26590.937210981687,,,
27031.206125977908,8,send_clear,27026.206125977908,27031.206125977908,,,
27461.134943216617,1,send_clear,27456.134943216617,27461.134943216617,,,
27832.19204226797,0,send_clear,27827.19204226797,27832.19204226797,,,
28185.7594939403,6,send_clear,28180.7594939403,28185.7594939403,,,
28665.624962253805,7,send_clear,28660.624962253805,28665.624962253805,,,
29262.23356395091,4,send_clear,29257.23356395091,29262.23356395091,,,
29809.93305851456,9,send_clear,29804.93305851456,29809.93305851456,,,
30551.210886302164,3,send_clear,30546.210886302164,30551.210886302164,,,
31206.966896216454,5,send_clear,31201.966896216454,31206.966896216454,,,
31700.368170284008,2,send_clear,31695.368170284008,31700.368170284008,,,
32165.34415972999,8,send_clear,32160.34415972999,32165.34415972999,,,
32605.816667497005,1,send_clear,32600.816667497005,32605.816667497005,,,
33002.177885731755,0,send_clear,32997.177885731755,33002.177885731755,,,
33376.87026066851,6,send_clear,33371.87026066851,33376.87026066851,,,
33835.512207333,7,send_clear,33830.512207333,33835.512207333,,,
34382.131645057954,4,send_clear,34377.131645057954,34382.131645057954,,,
34920.85840056257,9,send_clear,34915.85840056257,34920.85840056257,,,
35624.36186601623,3,send_clear,35619.36186601623,35624.36186601623,,,
36275.76079319644,5,send_clear,36270.76079319644,36275.76079319644,,,
36802.47022519115,2,send_clear,36797.47022519115,36802.47022519115,,,
37290.39762328809,8,send_clear,37285.39762328809,37290.39762328809,,,
37743.37694326859,1,send_clear,37738.37694326859,37743.37694326859,,,
38159.37867136172,0,send_clear,38154.37867136172,38159.37867136172,,,
38554.41984354403,6,send_clear,38549.41984354403,38554.41984354403,,,
39002.40542032747,7,send_clear,38997.40542032747,39002.40542032747,,,
39514.93939357926,4,send_clear,39509.93939357926,39514.93939357926,,,
40039.00909164308,9,send_clear,40034.00909164308,40039.00909164308,,,
