coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total
KURAMOTO,10,150.0,50,0.0,10.0,100.0,14.0,100.0,1.0,100.0,1.0,100.0,0.05301709504621058,0.15980046681852877,0.5370684167407301,0
KURAMOTO,10,200.0,50,0.0,10.0,100.0,12.0,100.0,1.0,100.0,1.0,100.0,0.06711327427681157,0.19090366673839176,0.5081308703343257,0
KURAMOTO,10,300.0,50,0.0,10.0,100.0,11.0,100.0,1.0,100.0,1.0,100.0,0.09348462371540053,0.2470298105876928,0.45718693471890864,0
KURAMOTO,10,500.0,50,0.0,10.0,100.0,7.0,100.0,1.0,100.0,1.0,100.0,0.15073989932131268,0.3734483521407631,0.3617485728910116,0
KURAMOTO,10,700.0,50,0.0,10.0,100.0,18.0,98.0,1.0,100.0,1.0,100.0,0.20039915986279552,0.47853449623160377,0.2640588702377955,0
KURAMOTO,10,1000.0,50,1.6666666666666667,10.0,100.0,,14.000000000000002,1.0,100.0,1.0,100.0,0.2781330929406552,0.6479831015352661,0.14194557631446109,0
KURAMOTO,10,1500.0,50,2.3333333333333335,15.5,100.0,,0.0,1.0,100.0,1.0,100.0,0.3174790135997859,0.7472622327122883,0.1230122851033015,0
KURAMOTO,10,2000.0,50,2.4444444444444446,22.5,100.0,,0.0,1.0,100.0,1.0,100.0,0.3448913722131227,0.8524226381432434,0.1291452961389921,0
KURAMOTO,20,1.0,50,8.13888888888889,10.0,16.0,,0.0,1.0,100.0,1.0,98.0,0.20851803312571338,0.7406691302931163,0.04067576895133129,0
KURAMOTO,20,2.0,50,6.583333333333333,16.5,20.0,,2.0,1.0,100.0,1.0,100.0,0.19737497079146502,0.6556320357813421,0.0463718276491516,0
KURAMOTO,20,3.0,50,6.069444444444445,22.5,24.0,,6.0,1.0,100.0,1.0,100.0,0.1870298837012475,0.5658633945824465,0.052126127834430935,0
KURAMOTO,20,5.0,50,5.5,45.5,32.0,,14.000000000000002,1.0,100.0,1.0,100.0,0.16857088715510302,0.434869782421309,0.06559384728845336,0
KURAMOTO,20,7.0,50,5.319444444444445,48.5,36.0,,22.0,1.0,100.0,1.0,100.0,0.15366704049742355,0.35955352162734855,0.08273918699893956,0
KURAMOTO,20,10.0,50,5.069444444444445,47.5,40.0,169.0,54.0,1.0,100.0,1.0,100.0,0.12431959826511957,0.29866961936614944,0.11778524378415053,0
KURAMOTO,20,15.0,50,5.013888888888889,44.0,54.0,112.5,84.0,1.0,100.0,1.0,100.0,0.10125947708765962,0.24027059755550104,0.16392859033865687,0
KURAMOTO,20,20.0,50,4.361111111111111,39.5,56.00000000000001,86.5,98.0,1.0,100.0,1.0,100.0,0.06866724608827808,0.1988322277712935,0.20944630452891833,0
KURAMOTO,20,30.0,50,2.888888888888889,37.0,62.0,58.0,100.0,1.0,100.0,1.0,100.0,0.021144946634689583,0.08549222815033228,0.2924598412290502,0
KURAMOTO,20,50.0,50,1.625,43.0,82.0,37.0,100.0,1.0,100.0,1.0,100.0,0.012103152407019285,0.05651521891323805,0.2937980397978752,0
KURAMOTO,20,70.0,50,1.0277777777777777,40.0,98.0,28.0,100.0,1.0,100.0,1.0,100.0,0.014440634676166162,0.06213918857543041,0.2864429567426611,0
KURAMOTO,20,100.0,50,0.6666666666666666,30.5,100.0,21.5,100.0,1.0,100.0,1.0,100.0,0.017862557314287625,0.06953682559976694,0.27919099743282094,0
KURAMOTO,20,150.0,50,0.3472222222222222,21.0,100.0,16.0,100.0,1.0,100.0,1.0,100.0,0.02579686141567948,0.09208191795834134,0.26394004961191386,0
KURAMOTO,20,200.0,50,0.19444444444444445,15.0,100.0,13.5,100.0,1.0,100.0,1.0,100.0,0.033483013420044845,0.11098024964652793,0.24876837809257069,0
KURAMOTO,20,300.0,50,0.1388888888888889,13.5,100.0,13.0,100.0,1.0,100.0,1.0,100.0,0.048257556564457,0.14712891223089886,0.21661613407181302,0
KURAMOTO,20,500.0,50,0.08333333333333333,12.0,100.0,28.5,100.0,1.0,100.0,1.0,100.0,0.0784478038812026,0.22128094778344562,0.1571495002649368,0
KURAMOTO,20,700.0,50,0.05555555555555555,11.0,100.0,,30.0,1.0,100.0,1.0,100.0,0.10776509167535721,0.2925934975441664,0.10136209827235845,0
KURAMOTO,20,1000.0,50,3.4583333333333335,79.5,60.0,,0.0,1.0,100.0,1.0,100.0,0.14265099585846103,0.411649295099758,0.06311033109280767,0
KURAMOTO,20,1500.0,50,4.972222222222222,180.0,22.0,,0.0,1.0,100.0,1.0,100.0,0.17213527771986992,0.555196900389267,0.053759562374436465,0
KURAMOTO,20,2000.0,50,5.444444444444445,180.0,20.0,,0.0,1.0,100.0,1.0,100.0,0.1799132112186561,0.6309485809711242,0.05142721582131404,0
KURAMOTO,50,1.0,50,18.211111111111112,,0.0,,0.0,1.0,100.0,1.0,86.0,0.07954080870703972,0.36537811291869604,0.034792040472133134,0
KURAMOTO,50,2.0,50,16.93888888888889,,0.0,,0.0,1.0,100.0,1.0,94.0,0.07390598611820903,0.3240946278531361,0.03535561201773295,0
KURAMOTO,50,3.0,50,15.983333333333334,,0.0,,0.0,1.0,100.0,1.0,100.0,0.06852881079949627,0.3004721655991059,0.03749427321756085,0
KURAMOTO,50,5.0,50,14.983333333333334,,0.0,,0.0,1.0,100.0,1.0,100.0,0.05862180837434573,0.25780163958989855,0.04213219281280589,0
KURAMOTO,50,7.0,50,14.055555555555555,,0.0,,0.0,1.0,100.0,1.0,100.0,0.05052218819750026,0.222131081338028,0.047611455740280584,0
KURAMOTO,50,10.0,50,13.455555555555556,,0.0,,18.0,1.0,100.0,1.0,100.0,0.041990544455263956,0.16690932611891102,0.047246947350734536,0
KURAMOTO,50,15.0,50,11.88888888888889,,0.0,,40.0,1.0,100.0,1.0,100.0,0.034089056026007855,0.10644161227818172,0.06522152831952188,0
KURAMOTO,50,20.0,50,10.6,,0.0,135.0,74.0,1.0,100.0,1.0,100.0,0.02787666258987693,0.07960862722626019,0.08109019749684043,0
KURAMOTO,50,30.0,50,9.238888888888889,,0.0,94.0,88.0,1.0,100.0,1.0,100.0,0.018985722476508857,0.06342130875001936,0.09678989535638306,0
KURAMOTO,50,50.0,50,7.488888888888889,144.5,4.0,59.5,100.0,1.0,100.0,1.0,100.0,0.012315578477861916,0.04894869736808137,0.10724235002470257,0
KURAMOTO,50,70.0,50,6.022222222222222,144.0,24.0,43.5,100.0,1.0,100.0,1.0,100.0,0.010808087914782293,0.04674313437080428,0.10382578766600103,0
KURAMOTO,50,100.0,50,3.8388888888888886,134.0,80.0,33.5,100.0,1.0,100.0,1.0,100.0,0.010549940963951572,0.04321993377575619,0.1009182193663618,0
KURAMOTO,50,150.0,50,2.361111111111111,72.0,100.0,28.5,100.0,1.0,100.0,1.0,100.0,0.012073402878111402,0.05291699192519983,0.09771275638862753,0
KURAMOTO,50,200.0,50,1.3777777777777778,43.5,100.0,28.5,100.0,1.0,100.0,1.0,100.0,0.01431869505297771,0.0599498434365877,0.09171603013231899,0
KURAMOTO,50,300.0,50,0.7777777777777778,26.5,100.0,53.0,100.0,1.0,100.0,1.0,100.0,0.02005323932635887,0.07646417843480086,0.0804900633964003,0
KURAMOTO,50,500.0,50,0.4666666666666667,19.0,100.0,,8.0,1.0,100.0,1.0,100.0,0.03162818545368269,0.1042702853901265,0.05458963283829443,0
KURAMOTO,50,700.0,50,3.2944444444444443,105.0,46.0,,0.0,1.0,100.0,1.0,100.0,0.043807609111168114,0.15001859214856192,0.03800710641466032,0
KURAMOTO,50,1000.0,50,11.649999999999999,,0.0,,0.0,1.0,100.0,1.0,100.0,0.05579236976068146,0.21253898559864787,0.03611212180319401,0
KURAMOTO,50,1500.0,50,13.8,,0.0,,0.0,1.0,100.0,1.0,100.0,0.0636486666043431,0.2646671450031053,0.03507050114428989,0
KURAMOTO,50,2000.0,50,14.233333333333333,,0.0,,0.0,1.0,100.0,1.0,100.0,0.06889576297703984,0.30660743776686394,0.034859286532776285,0
LINEAR,5,1.0,50,0.0,10.0,100.0,,42.0,1.0,100.0,1.0,96.0,0.7166567817720326,1.3585828374393283,0.3671226026192289,0
LINEAR,5,2.0,50,0.0,10.0,100.0,,48.0,1.0,100.0,1.0,96.0,0.627374708665487,1.2737391297386502,0.5400777934039028,0
LINEAR,5,3.0,50,0.0,10.0,100.0,169.0,52.0,1.0,100.0,1.0,96.0,0.5759028542852426,1.2307974190233026,0.6887059574405794,0
LINEAR,5,5.0,50,0.0,10.0,100.0,102.0,54.0,1.0,100.0,1.0,100.0,0.5550643495745258,1.1726138694406005,0.8114678454661035,0
LINEAR,5,7.0,50,0.0,10.0,100.0,73.0,60.0,1.0,100.0,1.0,100.0,0.5498769749671756,1.1284600811694534,0.8119637696781163,0
