time,oscillator_id,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end
100.0,24,send_clear,95.0,100.0,,,
440.0,8,send_clear,435.0,440.0,,,
511.8632,26,send_clear,506.8632,511.8632,,,
821.0,28,send_clear,816.0,821.0,,,
908.2632,46,send_clear,903.2632,908.2632,,,
964.5164,41,send_clear,959.5164,964.5164,,,
971.54216,15,skip_busy,966.54216,971.54216,41,964.5164,985.0604
1034.997632,23,send_clear,1029.997632,1034.997632,,,
1112.4624896,6,send_clear,1107.4624896,1112.4624896,,,
1115.9624896,35,skip_busy,1110.9624896,1115.9624896,6,1112.4624896,1133.0064896000001
1163.8156896,47,send_clear,1158.8156896,1163.8156896,,,
1228.319269696,32,send_clear,1223.319269696,1228.319269696,,,
1308.3589809088,29,send_clear,1303.3589809088,1308.3589809088,,,
1313.9589809088,39,skip_busy,1308.9589809088,1313.9589809088,29,1308.3589809088,1328.9029809088001
1370.0021809088,25,send_clear,1365.0021809088,1370.0021809088,,,
1370.4921809088,13,skip_busy,1365.4921809088,1370.4921809088,25,1370.0021809088,1390.5461809088001
1431.7634802634882,3,send_clear,1426.7634802634882,1431.7634802634882,,,
1434.703480263488,12,skip_busy,1429.703480263488,1434.703480263488,3,1431.7634802634882,1452.3074802634883
1446.953480263488,4,skip_busy,1441.953480263488,1446.953480263488,3,1431.7634802634882,1452.3074802634883
1500.4769420698944,14,send_clear,1495.4769420698944,1500.4769420698944,,,
1732.0,27,send_clear,1727.0,1732.0,,,
1976.0,9,send_clear,1971.0,1976.0,,,
2075.1632,42,send_clear,2070.1632,2075.1632,,,
2144.81216,5,send_clear,2139.81216,2144.81216,,,
2150.41216,20,skip_busy,2145.41216,2150.41216,5,2144.81216,2165.35616
2285.0,48,send_clear,2280.0,2285.0,,,
2396.0632,33,send_clear,2391.0632,2396.0632,,,
2500.08216,18,send_clear,2495.08216,2500.08216,,,
2514.7821599999997,21,skip_busy,2509.7821599999997,2514.7821599999997,18,2500.08216,2520.62616
2572.587848,49,send_clear,2567.587848,2572.587848,,,
2768.0,1,send_clear,2763.0,2768.0,,,
2788.0,0,skip_busy,2783.0,2788.0,1,2768.0,2788.544
2888.1632,40,send_clear,2883.1632,2888.1632,,,
2961.31216,44,send_clear,2956.31216,2961.31216,,,
3048.356848,16,send_clear,3043.356848,3048.356848,,,
3158.4702544,45,send_clear,3153.4702544,3158.4702544,,,
3291.0,17,send_clear,3286.0,3291.0,,,
3493.0,30,send_clear,3488.0,3493.0,,,
3545.9632,38,send_clear,3540.9632,3545.9632,,,
3612.0164,11,send_clear,3607.0164,3612.0164,,,
3808.0,10,send_clear,3803.0,3808.0,,,
3858.8632,22,send_clear,3853.8632,3858.8632,,,
3935.6964,37,send_clear,3930.6964,3935.6964,,,
4059.0,2,send_clear,4054.0,4059.0,,,
4119.6632,34,send_clear,4114.6632,4119.6632,,,
4188.1664,36,send_clear,4183.1664,4188.1664,,,
4332.0,7,send_clear,4327.0,4332.0,,,
4583.0,31,send_clear,4578.0,4583.0,,,
4934.0,19,send_clear,4929.0,4934.0,,,
5087.0,43,send_clear,5082.0,5087.0,,,
5100.0,24,skip_busy,5095.0,5100.0,43,5087.0,5107.544
5440.0,8,send_clear,5435.0,5440.0,,,
5526.467439999999,26,send_clear,5521.467439999999,5526.467439999999,,,
5821.0,28,send_clear,5816.0,5821.0,,,
5918.24744,46,send_clear,5913.24744,5918.24744,,,
5986.798912,41,send_clear,5981.798912,5986.798912,,,
6041.1047344,15,send_clear,6036.1047344,6041.1047344,,,
6057.49791568,23,skip_busy,6052.49791568,6057.49791568,15,6041.1047344,6061.6487344
6127.21836304,6,send_clear,6122.21836304,6127.21836304,,,
6179.79656304,35,send_clear,6174.79656304,6179.79656304,,,
6188.999691632,47,skip_busy,6183.999691632,6188.999691632,35,6179.79656304,6200.34056304
6254.00870730144,32,send_clear,6249.00870730144,6254.00870730144,,,
6328.2170988265925,29,send_clear,6323.2170988265925,6328.2170988265925,,,
6381.824298826592,39,send_clear,6376.824298826592,6381.824298826592,,,
6394.585466826593,25,skip_busy,6389.585466826593,6394.585466826593,39,6381.824298826592,6402.368298826592
6441.191489046873,13,send_clear,6436.191489046873,6441.191489046873,,,
6456.514425730671,3,skip_busy,6451.514425730671,6456.514425730671,13,6441.191489046873,6461.735489046873
6501.722694796756,12,send_clear,6496.722694796756,6501.722694796756,,,
6507.725194796755,4,skip_busy,6502.725194796755,6507.725194796755,12,6501.722694796756,6522.2666947967555
6519.251691081895,14,skip_busy,6514.251691081895,6519.251691081895,12,6501.722694796756,6522.2666947967555
6732.0,27,send_clear,6727.0,6732.0,,,
6976.0,9,send_clear,6971.0,6976.0,,,
7081.57744,42,send_clear,7076.57744,7081.57744,,,
7162.004943999999,5,send_clear,7157.004943999999,7162.004943999999,,,
7215.612144,20,send_clear,7210.612144,7215.612144,,,
7300.3468432,48,send_clear,7295.3468432,7300.3468432,,,
7403.51149296,33,send_clear,7398.51149296,7403.51149296,,,
7507.274159888,18,send_clear,7502.274159888,7507.274159888,,,
7569.6929599664,21,send_clear,7564.6929599664,7569.6929599664,,,
7589.1569415664,49,skip_busy,7584.1569415664,7589.1569415664,21,7569.6929599664,7590.2369599664
7768.0,1,send_clear,7763.0,7768.0,,,
7839.1632,0,send_clear,7834.1632,7839.1632,,,
7909.706368,40,send_clear,7904.706368,7909.706368,,,
7981.993622399999,44,send_clear,7976.993622399999,7981.993622399999,,,
8064.611080319999,16,send_clear,8059.611080319999,8064.611080319999,,,
8166.475702176,45,send_clear,8161.475702176,8166.475702176,,,
8291.0,17,send_clear,8286.0,8291.0,,,
8493.0,30,send_clear,8488.0,8493.0,,,
8566.23744,38,send_clear,8561.23744,8566.23744,,,
8634.766708,11,send_clear,8629.766708,8634.766708,,,
8808.0,10,send_clear,8803.0,8808.0,,,
8879.76744,22,send_clear,8874.76744,8879.76744,,,
8955.080912000001,37,send_clear,8950.080912000001,8955.080912000001,,,
9063.9874736,2,send_clear,9058.9874736,9063.9874736,,,
9139.123682079999,34,send_clear,9134.123682079999,9139.123682079999,,,
9209.616784623999,36,send_clear,9204.616784623999,9209.616784623999,,,
9332.0,7,send_clear,9327.0,9332.0,,,
9583.0,31,send_clear,9578.0,9583.0,,,
9934.0,19,send_clear,9929.0,9934.0,,,
10087.0,43,send_clear,10082.0,10087.0,,,
10153.2632,24,send_clear,10148.2632,10153.2632,,,
10440.0,8,send_clear,10435.0,10440.0,,,
10536.690408,26,send_clear,10531.690408,10536.690408,,,
10821.0,28,send_clear,10816.0,10821.0,,,
10925.236407999999,46,send_clear,10920.236407999999,10925.236407999999,,,
11004.4933608,41,send_clear,10999.4933608,11004.4933608,,,
11067.266413776,15,send_clear,11062.266413776,11067.266413776,,,
11125.474948584,23,send_clear,11120.474948584,11125.474948584,,,
11145.3959782608,6,skip_busy,11140.3959782608,11145.3959782608,23,11125.474948584,11146.018948584
11201.34618735776,35,send_clear,11196.34618735776,11201.34618735776,,,
11255.540884309648,47,send_clear,11250.540884309648,11255.540884309648,,,
11274.373151318336,32,skip_busy,11269.373151318336,11274.373151318336,47,11255.540884309648,11276.084884309648
11342.57743447151,29,send_clear,11337.57743447151,11342.57743447151,,,
11406.213439520066,39,send_clear,11401.213439520066,11406.213439520066,,,
11463.329611840069,25,send_clear,11458.329611840069,11463.329611840069,,,
11471.466562728005,13,skip_busy,11466.466562728005,11471.466562728005,25,11463.329611840069,11483.873611840068
11524.173214459262,3,send_clear,11519.173214459262,11524.173214459262,,,
11531.625266301646,12,skip_busy,11526.625266301646,11531.625266301646,3,11524.173214459262,11544.717214459262
11579.513968274605,4,send_clear,11574.513968274605,11579.513968274605,,,
11585.161951454322,14,skip_busy,11580.161951454322,11585.161951454322,4,11579.513968274605,11600.057968274605
11732.0,27,send_clear,11727.0,11732.0,,,
11976.0,9,send_clear,11971.0,11976.0,,,
12086.067408,42,send_clear,12081.067408,12086.067408,,,
12175.3868832,5,send_clear,12170.3868832,12175.3868832,,,
12239.707765759998,20,send_clear,12234.707765759998,12239.707765759998,,,
12318.318319968,48,send_clear,12313.318319968,12318.318319968,,,
12414.1167410624,33,send_clear,12409.1167410624,12414.1167410624,,,
12515.490134240321,18,send_clear,12510.490134240321,12515.490134240321,,,
12589.595312248577,21,send_clear,12584.595312248577,12589.595312248577,,,
12649.995863232576,49,send_clear,12644.995863232576,12649.995863232576,,,
12768.761958969773,1,send_clear,12763.761958969773,12768.761958969773,,,
12854.20602769093,0,send_clear,12849.20602769093,12854.20602769093,,,
12929.21946590728,40,send_clear,12924.21946590728,12929.21946590728,,,
13002.324575452183,44,send_clear,12997.324575452183,13002.324575452183,,,
13082.088328859654,16,send_clear,13077.088328859654,13082.088328859654,,,
13177.322690181096,45,send_clear,13172.322690181096,13177.322690181096,,,
13293.06000705433,17,send_clear,13288.06000705433,13293.06000705433,,,
13493.0,30,send_clear,13488.0,13493.0,,,
13580.429408,38,send_clear,13575.429408,13580.429408,,,
13654.628718,11,send_clear,13649.628718,13654.628718,,,
13808.0,10,send_clear,13803.0,13808.0,,,
13894.400408,22,send_clear,13889.400408,13894.400408,,,
13973.0399608,37,send_clear,13968.0399608,13973.0399608,,,
14072.866419760001,2,send_clear,14067.866419760001,14072.866419760001,,,
14155.409703383999,34,send_clear,14150.409703383999,14155.409703383999,,,
14229.517860251999,36,send_clear,14224.517860251999,14229.517860251999,,,
14337.4185580756,7,send_clear,14332.4185580756,14337.4185580756,,,
14583.0,31,send_clear,14578.0,14583.0,,,
14934.0,19,send_clear,14929.0,14934.0,,,
15087.0,43,send_clear,15082.0,15087.0,,,
15169.54744,24,send_clear,15164.54744,15169.54744,,,
15440.0,8,send_clear,15435.0,15440.0,,,
15543.846485600001,26,send_clear,15538.846485600001,15543.846485600001,,,
15821.0,28,send_clear,15816.0,15821.0,,,
15930.128685599999,46,send_clear,15925.128685599999,15930.128685599999,,,
16018.34715824,41,send_clear,16013.34715824,16018.34715824,,,
16088.7538371152,15,send_clear,16083.7538371152,16088.7538371152,,,
16153.43921917112,23,send_clear,16148.43921917112,16153.43921917112,,,
16212.09154089332,6,send_clear,16207.09154089332,16212.09154089332,,,
16224.80714335083,35,skip_busy,16219.80714335083,16224.80714335083,6,16212.09154089332,16232.63554089332
16282.542171605659,47,send_clear,16277.542171605659,16282.542171605659,,,
16339.922159215279,32,send_clear,16334.922159215279,16339.922159215279,,,
16390.650886692812,29,send_clear,16385.650886692812,16390.650886692812,,,
16449.100944807884,39,send_clear,16444.100944807884,16449.100944807884,,,
16505.27591944949,25,send_clear,16500.27591944949,16505.27591944949,,,
16523.96302538458,13,skip_busy,16518.96302538458,16523.96302538458,25,16505.27591944949,16525.819919449492
16564.216289329543,3,send_clear,16559.216289329543,16564.216289329543,,,
16582.56779473231,12,skip_busy,16577.56779473231,16582.56779473231,3,16564.216289329543,16584.760289329544
16620.812114337812,4,send_clear,16615.812114337812,16620.812114337812,,,
16638.279626095875,14,skip_busy,16633.279626095875,16638.279626095875,4,16620.812114337812,16641.356114337814
16734.806834301344,27,send_clear,16729.806834301344,16734.806834301344,,,
16976.0,9,send_clear,16971.0,16976.0,,,
17089.210385600003,42,send_clear,17084.210385600003,17089.210385600003,,,
17185.697133920003,5,send_clear,17180.697133920003,17185.697133920003,,,
17259.667776208,20,send_clear,17254.667776208,17259.667776208,,,
17336.88635684,48,send_clear,17331.88635684,17336.88635684,,,
17427.11082579568,33,send_clear,17422.11082579568,17427.11082579568,,,
17525.13954170693,18,send_clear,17520.13954170693,17525.13954170693,,,
17606.421781086083,21,send_clear,17601.421781086083,17606.421781086083,,,
17673.086838588628,49,send_clear,17668.086838588628,17673.086838588628,,,
17776.22262285543,1,send_clear,17771.22262285543,17776.22262285543,,,
17866.97420624028,0,send_clear,17861.97420624028,17866.97420624028,,,
