time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1313.0,47,1,1333.544,20.544
1789.3632,24,1,1809.9072,20.544
2188.6564,18,1,2209.2003999999997,20.544
2604.8055999999997,14,1,2625.3495999999996,20.544
3001.3352,37,1,3021.8792,20.544
3402.6668,46,1,3423.2108,20.544
3799.12437,28,1,3819.66837,20.544
4200.4643735,20,1,4221.0083735,20.544
4605.03266556,11,1,4625.57666556,20.544
5003.019676324768,35,1,5023.563676324768,20.544
5405.698718577367,21,1,5426.242718577367,20.544
5806.343480159005,43,1,5826.887480159005,20.544
6202.886887904717,45,1,6223.430887904717,20.544
6600.747040764599,31,1,6621.291040764599,20.544
7008.384326097446,9,1,7028.928326097446,20.544
7408.686635959313,16,1,7429.230635959313,20.544
7805.783601108629,1,1,7826.327601108629,20.544
8204.957595948039,8,1,8225.501595948039,20.544
8629.124730051717,24,2,8649.668730051717,20.544
9036.067783784825,18,2,9056.611783784825,20.544
9444.46693876361,14,2,9465.01093876361,20.544
9851.702189820582,37,2,9872.246189820582,20.544
10259.058476531092,46,2,10279.602476531092,20.544
10666.038795853421,28,2,10686.582795853421,20.544
11071.429972957529,29,1,11091.973972957529,20.544
11480.498766244327,11,2,11501.042766244327,20.544
11887.15854387116,35,2,11907.70254387116,20.544
12291.83690344482,30,1,12312.38090344482,20.544
12698.242091989872,40,1,12718.786091989872,20.544
13103.79320157169,3,1,13124.33720157169,20.544
13509.082381023978,0,1,13529.626381023978,20.544
13914.194606877549,49,1,13934.738606877549,20.544
14319.883704665524,38,1,14340.427704665524,20.544
14725.273768592684,6,1,14745.817768592684,20.544
15130.462126499277,10,1,15151.006126499276,20.544
15535.113421105183,15,1,15555.657421105183,20.544
15943.777455615073,18,3,15964.321455615072,20.544
16350.21669980997,14,3,16370.760699809969,20.544
16756.636927469368,37,3,16777.18092746937,20.544
17163.11957501164,46,3,17183.66357501164,20.544
17569.61245007584,28,3,17590.156450075843,20.544
17976.01374175603,29,2,17996.55774175603,20.544
18380.079885757412,20,2,18400.623885757414,20.544
18788.549921325597,35,3,18809.0939213256,20.544
19194.957142578645,30,2,19215.501142578647,20.544
19598.951914200974,2,1,19619.495914200976,20.544
20004.761803555408,43,2,20025.30580355541,20.544
20410.338702146524,44,1,20430.882702146526,20.544
20815.956580961632,13,1,20836.500580961634,20.544
21221.51802257831,48,1,21242.062022578313,20.544
21627.206694214994,7,1,21647.750694214996,20.544
22032.72860603283,23,1,22053.27260603283,20.544
22438.238725537896,22,1,22458.782725537898,20.544
22843.744778471122,32,1,22864.288778471124,20.544
23252.11970057344,14,4,23272.66370057344,20.544
23658.583823781304,37,4,23679.127823781306,20.544
24065.072910598155,46,4,24085.616910598157,20.544
24471.585599276164,28,4,24492.129599276166,20.544
24878.110614551788,29,3,24898.65461455179,20.544
25284.465046588826,20,3,25305.009046588828,20.544
25688.607745969333,11,3,25709.151745969335,20.544
26096.96964527204,30,3,26117.513645272044,20.544
26503.30713863594,2,2,26523.851138635942,20.544
26907.20414510441,21,2,26927.74814510441,20.544
27313.042539972055,3,2,27333.586539972057,20.544
27718.520136340485,33,1,27739.064136340487,20.544
28124.112104107324,17,1,28144.656104107326,20.544
28529.68063084813,27,1,28550.22463084813,20.544
28935.293593053815,34,1,28955.837593053817,20.544
29340.82968348827,12,1,29361.373683488273,20.544
29746.341638932623,5,1,29766.885638932625,20.544
30151.894462656295,42,1,30172.438462656297,20.544
30560.26621012767,37,5,30580.81021012767,20.544
30966.740591888734,46,5,30987.284591888736,20.544
31373.23908184797,28,5,31393.78308184797,20.544
31779.761913694143,29,4,31800.305913694145,20.544
32186.293230724754,20,4,32206.837230724755,20.544
32592.662620245603,11,4,32613.206620245604,20.544
32996.80722981238,35,4,33017.35122981238,20.544
33405.16983663485,2,3,33425.71383663485,20.544
33811.504306014496,21,3,33832.0483060145,20.544
34215.41164756087,40,2,34235.95564756087,20.544
34621.243887390745,44,2,34641.78788739075,20.544
35026.716389089335,45,2,35047.26038908934,20.544
35432.30584741206,31,2,35452.849847412064,20.544
35837.87398658457,36,1,35858.41798658457,20.544
36243.481337433965,16,2,36264.025337433966,20.544
36649.01380972727,39,1,36669.557809727274,20.544
37054.524537789956,26,1,37075.06853778996,20.544
37460.07849063618,25,1,37480.62249063618,20.544
37868.44974609003,46,6,37888.99374609003,20.544
38274.923926721305,28,6,38295.46792672131,20.544
38681.422570810864,29,5,38701.966570810866,20.544
39087.94550060591,20,5,39108.48950060591,20.544
39494.47792275066,11,5,39515.02192275066,20.544
39900.847801819364,35,5,39921.391801819365,20.544
40304.99279504866,30,4,40325.53679504866,20.544
40713.35561122101,21,4,40733.899611221015,20.544
41119.69126852049,40,3,41140.23526852049,20.544
41523.59867101142,43,3,41544.142671011425,20.544
41929.431114540355,33,2,41949.97511454036,20.544
42334.90462235695,0,2,42355.448622356955,20.544
42740.494310141934,49,2,42761.038310141936,20.544
43146.06172361873,9,2,43166.60572361873,20.544
43551.669645437556,6,2,43572.21364543756,20.544
43957.201149935674,4,1,43977.745149935676,20.544
44362.71197052562,8,2,44383.25597052562,20.544
44768.26589493764,41,1,44788.80989493764,20.544
45176.63701138555,28,7,45197.18101138555,20.544
