coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-2.574360646691636,-2.574360646691636,-0.5372996083468241
KURAMOTO,-2.565634000431664,-2.565634000431664,-0.5446390350150273
KURAMOTO,-2.5569073541716927,-2.5569073541716927,-0.5519369853120583
KURAMOTO,-2.548180707911721,-2.548180707911721,-0.5591929034707469
KURAMOTO,-2.5394540616517496,-2.5394540616517496,-0.5664062369248328
KURAMOTO,-2.5307274153917776,-2.5307274153917776,-0.5735764363510464
KURAMOTO,-2.522000769131806,-2.522000769131806,-0.5807029557109399
KURAMOTO,-2.5132741228718345,-2.5132741228718345,-0.5877852522924732
KURAMOTO,-2.504547476611863,-2.504547476611863,-0.5948227867513413
KURAMOTO,-2.4958208303518914,-2.4958208303518914,-0.6018150231520482
KURAMOTO,-2.4870941840919194,-2.4870941840919194,-0.6087614290087209
KURAMOTO,-2.478367537831948,-2.478367537831948,-0.6156614753256584
KURAMOTO,-2.4696408915719763,-2.4696408915719763,-0.6225146366376196
KURAMOTO,-2.4609142453120048,-2.4609142453120048,-0.6293203910498374
KURAMOTO,-2.452187599052033,-2.452187599052033,-0.6360782202777638
KURAMOTO,-2.443460952792061,-2.443460952792061,-0.6427876096865395
KURAMOTO,-2.4347343065320897,-2.4347343065320897,-0.6494480483301838
KURAMOTO,-2.426007660272118,-2.426007660272118,-0.6560590289905073
KURAMOTO,-2.417281014012146,-2.417281014012146,-0.6626200482157377
KURAMOTO,-2.4085543677521746,-2.4085543677521746,-0.6691306063588583
KURAMOTO,-2.399827721492203,-2.399827721492203,-0.6755902076156604
KURAMOTO,-2.3911010752322315,-2.3911010752322315,-0.6819983600624985
KURAMOTO,-2.38237442897226,-2.38237442897226,-0.6883545756937539
KURAMOTO,-2.373647782712288,-2.373647782712288,-0.6946583704589975
KURAMOTO,-2.3649211364523164,-2.3649211364523164,-0.700909264299851
KURAMOTO,-2.356194490192345,-2.356194490192345,-0.7071067811865476
KURAMOTO,-2.3474678439323733,-2.3474678439323733,-0.7132504491541816
KURAMOTO,-2.3387411976724017,-2.3387411976724017,-0.7193398003386511
KURAMOTO,-2.3300145514124297,-2.3300145514124297,-0.7253743710122877
