coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k
KURAMOTO,50,1.0,1000,18.0,165.0,0.1,,0.0,,0.1,1.0,93.5,0.0788566832905098,0.3881660096031922,3.218661967779868e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,2.0,1000,16.55,86.0,0.1,,0.0,,0.1,1.0,97.8,0.0731430447532215,0.3601789802700795,3.550380635475303e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,3.0,1000,15.494444444444444,108.0,0.2,,0.0,,0.2,1.0,99.4,0.0681638718438035,0.3329847786346768,3.962002162444245e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,5.0,1000,14.1,67.5,0.2,,0.3,,0.2,1.0,99.9,0.0587454956084548,0.2797114760327467,4.4795569119959744e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,7.0,1000,13.166666666666666,94.5,0.2,,1.4,,0.2,1.0,100.0,0.050978948339897,0.2325525862650196,4.484897857648384e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,10.0,1000,12.194444444444445,82.0,0.4,,11.5,,0.4,1.0,100.0,0.0424570329078815,0.1757145999883222,2.256825920832206e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,15.0,1000,10.855555555555556,152.5,1.0,,41.2,,1.0,1.0,100.0,0.0326268017166544,0.1132954114323726,2.7956727481681654e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,20.0,1000,9.844444444444443,140.0,1.7999999999999998,142.0,69.6,,1.6,1.0,100.0,0.0258590766657308,0.0862322893403749,8.056290528157817e-05,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,30.0,1000,8.422222222222222,137.0,4.0,96.0,94.4,,3.8,1.0,100.0,0.01747771641104,0.0621959637995994,0.0007856204119966,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,50.0,1000,6.727777777777778,121.0,10.5,60.0,99.7,,10.2,1.0,100.0,0.0121984236126987,0.0499744621437627,0.002553199605046,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,70.0,1000,5.411111111111111,130.0,26.0,46.0,100.0,,25.4,1.0,100.0,0.0107569513274857,0.0448781953683878,0.0076907269396355,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,100.0,1000,3.827777777777778,120.0,70.89999999999999,35.0,100.0,138.0,68.8,1.0,100.0,0.0105392264358068,0.0449203671816587,0.0983901854376816,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,150.0,1000,2.1,73.0,99.0,28.0,100.0,68.0,98.9,1.0,100.0,0.011874232334662,0.0475046805427862,0.0975756722192027,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,200.0,1000,1.3,46.0,100.0,28.0,100.0,40.0,100.0,1.0,100.0,0.0143350014880272,0.0570968381990549,0.0924232968626872,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,300.0,1000,0.7111111111111111,26.0,100.0,44.0,99.0,21.0,100.0,1.0,100.0,0.0201456829322293,0.0736648465123133,0.0795803261508232,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,500.0,1000,0.4444444444444444,18.0,100.0,,11.2,15.0,100.0,1.0,100.0,0.0315554599456865,0.106654706025289,0.054519416239617,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,700.0,1000,3.2111111111111112,112.0,35.5,,0.0,,0.1,1.0,100.0,0.0437591642620087,0.1481349451729395,0.0250146125641125,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,1000.0,1000,11.633333333333333,,0.0,,0.0,,0.0,1.0,100.0,0.0565143654491701,0.2145906372645876,0.0037144263574299,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,1500.0,1000,13.855555555555556,,0.0,,0.0,,0.0,1.0,100.0,0.064302816906991,0.269605582745804,0.0031419542279834,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
KURAMOTO,50,2000.0,1000,14.261111111111113,,0.0,,0.0,,0.0,1.0,100.0,0.0684431850437062,0.3097519620373331,0.0028840057864811,0,50.0,300.0,50;70;100;150;200;300,6,150.0,500.0,150;200;300;500,4,500.0
LINEAR,50,1.0,1000,8.38888888888889,138.0,14.7,,6.6000000000000005,,13.5,1.0,100.0,0.0380950232930067,0.2114290968481473,0.0158105326152815,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,2.0,1000,5.127777777777778,119.0,53.7,159.0,58.5,164.0,52.8,1.0,100.0,0.0221800021394211,0.0882208863126886,0.0607384908531061,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,3.0,1000,3.6,101.0,80.9,107.0,90.2,108.0,80.10000000000001,1.0,100.0,0.0134927416719528,0.0485424445420791,0.0980712304870494,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,5.0,1000,2.1666666666666665,68.5,99.0,65.5,99.5,64.0,98.8,1.0,100.0,0.0126839529115009,0.0399509764403202,0.0978001986418925,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,7.0,1000,1.5555555555555556,50.0,100.0,48.0,99.3,45.0,100.0,1.0,100.0,0.0151204925303341,0.0473364788306263,0.0914875553303433,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,10.0,1000,1.0888888888888888,37.0,99.9,35.0,98.2,31.0,99.9,1.0,100.0,0.0178968389596793,0.056422268526274,0.0835187290017871,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,15.0,1000,0.7666666666666667,26.0,98.8,25.0,96.0,21.0,98.8,1.0,100.0,0.0217745291428818,0.0674988227398716,0.0739860999831395,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,20.0,1000,0.6,22.0,96.0,20.0,89.2,17.0,96.0,1.0,100.0,0.0244727593811883,0.0758769013513846,0.0669575751905384,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,30.0,1000,0.4777777777777778,18.0,94.5,20.0,73.9,13.0,94.4,1.0,100.0,0.0286310588247412,0.0877002054582744,0.0571828984020405,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,50.0,1000,1.3666666666666667,54.0,82.1,,40.8,102.0,70.8,1.0,100.0,0.0345332697143505,0.1033643016198307,0.0527013643650144,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,70.0,1000,3.8666666666666663,129.0,35.6,,31.6,,17.5,1.0,100.0,0.0420470463240132,0.1102139284168643,0.0198443662756071,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,100.0,1000,9.677777777777775,180.0,0.5,,0.0,,0.0,1.0,100.0,0.0539263423597566,0.1317660334645011,0.0063608008780995,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,150.0,1000,20.23333333333333,,0.0,,0.0,,0.0,1.0,100.0,0.0823867253982602,0.2246801270635159,0.0032825980228191,262,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,200.0,1000,29.03333333333333,,0.0,,0.0,,0.0,,0.2,0.1109408509631303,0.2888950253741776,0.0019171281025723,594,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,300.0,1000,39.333333333333336,,0.0,,0.0,,0.0,,0.0,0.1653417454178941,0.3764002399269782,0.000911773964929,582,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,500.0,1000,49.91111111111111,,0.0,,0.0,,0.0,,0.0,0.2541126871415415,0.6435629917779762,0.0002733655084622,5092,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,700.0,1000,44.21111111111111,,0.0,,0.0,,0.0,,0.0,0.1927462390194368,0.7894687831708908,0.0005030273674085,814,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,1000.0,1000,42.54444444444445,,0.0,,0.0,,0.0,,0.0,0.2206311296387229,0.6067884214806376,7.444920722027293e-05,9266,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,1500.0,1000,35.7,,0.0,,0.0,,0.0,,0.0,0.1568502564523636,0.6097819117819837,0.0006690987419077,7498,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
LINEAR,50,2000.0,1000,75.13333333333333,,0.0,,0.0,,0.0,,0.0,0.8003648478426403,2.4063133960240224,0.0,140602,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0
