coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k
LINEAR,20,70.0,1000,0.0833333333333333,12.0,100.0,9.0,97.5,4.0,100.0,1.0,100.0,0.0521295877847091,0.146443738530611,0.203182111741822,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,100.0,1000,0.1111111111111111,12.0,100.0,7.0,97.4,4.0,100.0,1.0,100.0,0.0637197389787282,0.1716503982353335,0.1836095629918979,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,150.0,1000,0.1388888888888889,13.0,100.0,7.0,96.1,5.0,100.0,1.0,100.0,0.0864888362569893,0.1998903367849279,0.1627622443021315,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,200.0,1000,0.25,16.0,99.0,22.0,92.9,9.0,98.8,1.0,100.0,0.1140422801842554,0.2289690090843994,0.1451968081496373,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,300.0,1000,0.6944444444444444,30.0,99.5,64.0,76.6,25.0,99.3,1.0,100.0,0.1763347483698897,0.3077305626243952,0.1118010935237738,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,500.0,1000,5.388888888888889,108.0,66.8,,0.0,,44.8,1.5,95.6,0.2800622553244134,0.5246047257398883,0.0270305196283469,988,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,700.0,1000,19.01388888888889,29.0,14.499999999999998,,0.0,,11.2,,16.8,0.3405531651029832,0.7590909689760004,0.0111905510563703,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,1000.0,1000,19.166666666666668,19.0,3.5000000000000004,,0.0,,1.9,,18.3,0.4008087802776038,1.1576203750758345,0.009306229581053,938,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,1500.0,1000,20.52777777777778,62.0,34.7,,0.0,,28.5,,38.1,0.4298955339556274,1.4003339418256264,0.0034222809468744,1014,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
LINEAR,20,2000.0,1000,68.55555555555556,,0.0,,0.0,,0.0,,0.6,0.932005812476749,0.9424778373215792,1.9793278127622216e-10,1399,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0
