time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1590.0,8,1,1610.544,20.544
2798.8896,6,1,2819.4336,20.544
3945.4092,3,1,3965.9532,20.544
5091.866904,9,1,5112.410904,20.544
6247.6956016,2,1,6268.2396016,20.544
7393.8526228,7,1,7414.3966228,20.544
8540.498524663999,8,2,8561.042524663999,20.544
9687.7228642496,6,2,9708.2668642496,20.544
10834.888097044399,3,2,10855.432097044399,20.544
11981.840097122422,4,1,12002.384097122422,20.544
13128.817945184175,5,1,13149.361945184175,20.544
14276.078845634776,7,2,14296.622845634776,20.544
15423.308121384514,8,3,15443.852121384514,20.544
16570.54019399569,6,3,16591.08419399569,20.544
17717.771346491172,3,3,17738.315346491174,20.544
18864.999790272894,4,2,18885.543790272895,20.544
20012.008308171437,9,2,20032.55230817144,20.544
21159.034842930698,1,1,21179.5788429307,20.544
22306.283747586906,8,4,22326.827747586907,20.544
23453.512470631937,6,4,23474.05647063194,20.544
24600.743034316478,3,4,24621.28703431648,20.544
25747.973411144434,4,3,25768.517411144436,20.544
26895.20158620019,9,3,26915.74558620019,20.544
28042.20985430199,5,2,28062.75385430199,20.544
29189.235920259118,0,1,29209.77992025912,20.544
30336.484899826704,6,5,30357.028899826706,20.544
31483.71363301052,3,5,31504.257633010522,20.544
32630.944204805317,4,4,32651.48820480532,20.544
33778.17458715774,9,4,33798.71858715774,20.544
34925.402765417464,5,3,34945.946765417466,20.544
36072.411041150044,1,2,36092.955041150046,20.544
37219.43710535229,2,2,37239.98110535229,20.544
38366.68608485068,3,6,38387.23008485068,20.544
39513.91481789537,4,5,39534.45881789537,20.544
40661.14538961397,9,5,40681.68938961397,20.544
41808.37577191734,5,4,41828.91977191734,20.544
42955.60395020236,1,3,42976.147950202365,20.544
44102.612225863915,0,2,44123.15622586392,20.544
45249.638290068935,7,3,45270.18229006894,20.544
46396.887269568746,4,6,46417.43126956875,20.544
47544.11600261422,9,6,47564.66000261422,20.544
48691.346574333154,5,5,48711.890574333156,20.544
49838.576956637145,1,4,49859.12095663715,20.544
50985.805134922055,0,3,51006.34913492206,20.544
52132.81341058428,2,3,52153.35741058428,20.544
53279.83947478979,8,5,53300.38347478979,20.544
54427.088454289544,9,7,54447.632454289545,20.544
55574.31718733501,5,6,55594.86118733501,20.544
56721.54775905394,1,5,56742.09175905394,20.544
57868.778141357914,0,4,57889.322141357916,20.544
59016.006319642824,2,4,59036.550319642825,20.544
60163.01459530504,7,4,60183.55859530504,20.544
61310.04065951055,6,6,61330.584659510554,20.544
62457.289639010305,5,7,62477.83363901031,20.544
63604.51837205577,1,6,63625.06237205577,20.544
64751.7489437747,0,5,64772.2929437747,20.544
65898.97932607868,2,5,65919.52332607868,20.544
67046.20750436359,7,5,67066.75150436358,20.544
68193.21578002578,8,6,68213.75978002578,20.544
69340.24184423129,3,7,69360.78584423129,20.544
70487.49082373103,1,7,70508.03482373102,20.544
71634.71955677649,0,6,71655.26355677648,20.544
72781.95012849542,2,6,72802.49412849541,20.544
73929.18051079939,7,6,73949.72451079938,20.544
75076.40868908429,8,7,75096.95268908428,20.544
76223.41696474649,6,7,76243.96096474648,20.544
77370.443028952,4,7,77390.98702895199,20.544
78517.69200845173,0,7,78538.23600845173,20.544
79664.92074149719,2,7,79685.46474149718,20.544
80812.15131321612,7,7,80832.69531321611,20.544
81959.38169552009,8,8,81979.92569552008,20.544
83106.60987380499,6,8,83127.15387380499,20.544
84253.61814946719,3,8,84274.16214946719,20.544
85400.6442136727,9,8,85421.18821367269,20.544
86547.89319317244,2,8,86568.43719317243,20.544
87695.1219262179,7,8,87715.66592621789,20.544
88842.35249793682,8,9,88862.89649793682,20.544
89989.58288024079,6,9,90010.12688024079,20.544
91136.8110585257,3,9,91157.35505852569,20.544
92283.8193341879,4,8,92304.36333418789,20.544
93430.8453983934,5,8,93451.3893983934,20.544
94578.09437789314,7,9,94598.63837789313,20.544
95725.3231109386,8,10,95745.86711093859,20.544
96872.55368265753,6,10,96893.09768265752,20.544
98019.7840649615,3,10,98040.32806496149,20.544
99167.0122432464,4,9,99187.55624324639,20.544
100314.0205189086,9,9,100334.56451890859,20.544
101461.0465831141,1,8,101481.5905831141,20.544
102608.29556261384,8,11,102628.83956261384,20.544
103755.5242956593,6,11,103776.0682956593,20.544
104902.75486737823,3,11,104923.29886737822,20.544
106049.9852496822,4,10,106070.5292496822,20.544
107197.2134279671,9,10,107217.7574279671,20.544
108344.2217036293,5,9,108364.7657036293,20.544
109491.24776783481,0,8,109511.7917678348,20.544
110638.49674733455,6,12,110659.04074733454,20.544
111785.72548038,3,12,111806.26948038,20.544
112932.95605209893,4,11,112953.50005209893,20.544
114080.1864344029,9,11,114100.7304344029,20.544
115227.4146126878,5,10,115247.9586126878,20.544
116374.42288835,1,9,116394.96688835,20.544
117521.44895255551,2,9,117541.9929525555,20.544
118668.69793205525,3,13,118689.24193205524,20.544
119815.9266651007,4,12,119836.4706651007,20.544
120963.15723681964,9,12,120983.70123681963,20.544
122110.3876191236,5,11,122130.9316191236,20.544
123257.6157974085,1,10,123278.1597974085,20.544
124404.6240730707,0,9,124425.1680730707,20.544
125551.65013727621,7,10,125572.19413727621,20.544
126698.89911677595,4,13,126719.44311677595,20.544
127846.12784982141,9,13,127866.6718498214,20.544
128993.35842154034,5,12,129013.90242154033,20.544
130140.58880384431,1,11,130161.1328038443,20.544
131287.8169821292,0,10,131308.3609821292,20.544
132434.8252577914,2,10,132455.3692577914,20.544
133581.85132199692,8,12,133602.3953219969,20.544
134729.10030149666,9,14,134749.64430149665,20.544
135876.3290345421,5,13,135896.8730345421,20.544
137023.55960626103,1,12,137044.10360626102,20.544
138170.789988565,0,11,138191.333988565,20.544
139318.0181668499,2,11,139338.5621668499,20.544
140465.0264425121,7,11,140485.5704425121,20.544
141612.05250671762,6,13,141632.59650671761,20.544
142759.30148621736,5,14,142779.84548621735,20.544
143906.53021926282,1,13,143927.0742192628,20.544
145053.76079098173,0,12,145074.30479098173,20.544
146200.9911732857,2,12,146221.5351732857,20.544
147348.2193515706,7,12,147368.76335157058,20.544
148495.2276272328,8,13,148515.77162723278,20.544
149642.2536914383,3,14,149662.7976914383,20.544
150789.50267093803,1,14,150810.04667093803,20.544
151936.7314039835,0,13,151957.27540398348,20.544
153083.9619757024,2,13,153104.5059757024,20.544
154231.19235800637,7,13,154251.73635800637,20.544
155378.42053629126,8,14,155398.96453629126,20.544
156525.42881195346,6,14,156545.97281195346,20.544
157672.45487615897,4,14,157692.99887615896,20.544
158819.7038556587,0,14,158840.2478556587,20.544
159966.93258870416,2,14,159987.47658870416,20.544
161114.16316042308,7,14,161134.70716042307,20.544
162261.39354272705,8,15,162281.93754272704,20.544
163408.62172101194,6,15,163429.16572101193,20.544
164555.62999667414,3,15,164576.17399667413,20.544
165702.65606087964,9,15,165723.20006087964,20.544
166849.90504037938,2,15,166870.44904037938,20.544
167997.13377342484,7,15,168017.67777342483,20.544
169144.36434514375,8,16,169164.90834514375,20.544
170291.59472744772,6,16,170312.13872744772,20.544
171438.8229057326,3,16,171459.3669057326,20.544
172585.8311813948,4,15,172606.3751813948,20.544
173732.85724560032,5,15,173753.4012456003,20.544
174880.10622510005,7,16,174900.65022510005,20.544
176027.3349581455,8,17,176047.8789581455,20.544
177174.56552986443,6,17,177195.10952986442,20.544
178321.7959121684,3,17,178342.3399121684,20.544
179469.02409045328,4,16,179489.56809045328,20.544
180616.03236611548,9,16,180636.57636611548,20.544
181763.058430321,1,15,181783.60243032099,20.544
182910.30740982073,8,18,182930.85140982072,20.544
184057.53614286619,6,18,184078.08014286618,20.544
185204.7667145851,3,18,185225.3107145851,20.544
186351.99709688907,4,17,186372.54109688906,20.544
187499.22527517396,9,17,187519.76927517395,20.544
188646.23355083616,5,16,188666.77755083615,20.544
189793.25961504166,0,15,189813.80361504166,20.544
190940.5085945414,6,19,190961.0525945414,20.544
192087.73732758686,3,19,192108.28132758685,20.544
193234.96789930578,4,18,193255.51189930577,20.544
194382.19828160974,9,18,194402.74228160974,20.544
