time,oscillator_id,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end
1260.0,8,send_clear,1255.0,1260.0,,,
2248.3808,3,send_clear,2243.3808,2248.3808,,,
3151.3516,0,send_clear,3146.3516,3151.3516,,,
4053.3684,9,send_clear,4048.3684,4053.3684,,,
4958.9470184,6,send_clear,4953.9470184,4958.9470184,,,
5860.11473968,7,send_clear,5855.11473968,5860.11473968,,,
5870.91473968,5,skip_busy,5865.91473968,5870.91473968,7,5860.11473968,5880.65873968
6762.68971284,1,send_clear,6757.68971284,6762.68971284,,,
7663.84686848,2,send_clear,7658.84686848,7663.84686848,,,
7664.14386848,4,skip_busy,7659.14386848,7664.14386848,2,7663.84686848,7684.39086848
7684.1019343208,8,skip_busy,7679.1019343208,7684.1019343208,2,7663.84686848,7684.39086848
8593.4069596324,3,send_clear,8588.4069596324,8593.4069596324,,,
9514.60939812348,0,send_clear,9509.60939812348,9514.60939812348,,,
10435.84023620924,9,send_clear,10430.84023620924,10435.84023620924,,,
11355.656410608399,6,send_clear,11350.656410608399,11355.656410608399,,,
12274.091303601019,7,send_clear,12269.091303601019,12274.091303601019,,,
13189.879125319676,5,send_clear,13184.879125319676,13189.879125319676,,,
13191.388872904077,1,skip_busy,13186.388872904077,13191.388872904077,5,13189.879125319676,13210.423125319676
14106.415819643187,2,send_clear,14101.415819643187,14106.415819643187,,,
15019.429638643187,4,send_clear,15014.429638643187,15019.429638643187,,,
15020.879904156234,8,skip_busy,15015.879904156234,15020.879904156234,4,15019.429638643187,15039.973638643187
15023.96735643428,3,skip_busy,15018.96735643428,15023.96735643428,4,15019.429638643187,15039.973638643187
15938.457955006414,0,send_clear,15933.457955006414,15938.457955006414,,,
16856.42145387839,9,send_clear,16851.42145387839,16856.42145387839,,,
17774.775305220977,6,send_clear,17769.775305220977,17774.775305220977,,,
18693.05447629324,7,send_clear,18688.05447629324,18693.05447629324,,,
19611.125108780445,5,send_clear,19606.125108780445,19611.125108780445,,,
20525.499054729262,1,send_clear,20520.499054729262,20525.499054729262,,,
20529.10147993578,2,skip_busy,20524.10147993578,20529.10147993578,1,20525.499054729262,20546.043054729264
21444.129318632265,4,send_clear,21439.129318632265,21444.129318632265,,,
22358.069555909795,8,send_clear,22353.069555909795,22358.069555909795,,,
22358.34742661482,3,skip_busy,22353.34742661482,22358.34742661482,8,22358.069555909795,22378.613555909797
22361.90158048631,0,skip_busy,22356.90158048631,22361.90158048631,8,22358.069555909795,22378.613555909797
23277.188816898688,9,send_clear,23272.188816898688,23277.188816898688,,,
24195.15159604003,6,send_clear,24190.15159604003,24195.15159604003,,,
25113.38571164314,7,send_clear,25108.38571164314,25113.38571164314,,,
26031.548133108845,5,send_clear,26026.548133108845,26031.548133108845,,,
26949.384647546885,1,send_clear,26944.384647546885,26949.384647546885,,,
27863.7585344299,2,send_clear,27858.7585344299,27863.7585344299,,,
27867.361039912583,4,skip_busy,27862.361039912583,27867.361039912583,2,27863.7585344299,27884.302534429902
28782.42305011766,8,send_clear,28777.42305011766,28782.42305011766,,,
29696.281735707977,3,send_clear,29691.281735707977,29696.281735707977,,,
29696.601609556412,0,skip_busy,29691.601609556412,29696.601609556412,3,29696.281735707977,29716.82573570798
29700.227460833525,9,skip_busy,29695.227460833525,29700.227460833525,3,29696.281735707977,29716.82573570798
30615.464739163897,6,send_clear,30610.464739163897,30615.464739163897,,,
31533.444235961288,7,send_clear,31528.444235961288,31533.444235961288,,,
32451.69293237712,5,send_clear,32446.69293237712,32451.69293237712,,,
33369.848000495076,1,send_clear,33364.848000495076,33369.848000495076,,,
34287.68242424444,2,send_clear,34282.68242424444,34287.68242424444,,,
35202.05331066721,4,send_clear,35197.05331066721,35202.05331066721,,,
35205.65889158566,8,skip_busy,35200.65889158566,35205.65889158566,4,35202.05331066721,35222.59731066721
36120.7110227721,3,send_clear,36115.7110227721,36120.7110227721,,,
37034.56809604066,0,send_clear,37029.56809604066,37034.56809604066,,,
37034.894422655605,9,skip_busy,37029.894422655605,37034.894422655605,0,37034.56809604066,37055.11209604066
37038.51577770533,6,skip_busy,37033.51577770533,37038.51577770533,0,37034.56809604066,37055.11209604066
37953.75200324712,7,send_clear,37948.75200324712,37953.75200324712,,,
38871.73310635547,5,send_clear,38866.73310635547,38871.73310635547,,,
39789.98245517528,1,send_clear,39784.98245517528,39789.98245517528,,,
40708.13812913935,2,send_clear,40703.13812913935,40708.13812913935,,,
41625.9728439444,4,send_clear,41620.9728439444,41625.9728439444,,,
42540.34433812305,8,send_clear,42535.34433812305,42540.34433812305,,,
42543.949029929834,3,skip_busy,42538.949029929834,42543.949029929834,8,42540.34433812305,42560.888338123055
43459.00150255812,0,send_clear,43454.00150255812,43459.00150255812,,,
44372.858900835534,9,send_clear,44367.858900835534,44372.858900835534,,,
44373.18482279001,6,skip_busy,44368.18482279001,44373.18482279001,9,44372.858900835534,44393.402900835536
44376.80608308877,7,skip_busy,44371.80608308877,44376.80608308877,9,44372.858900835534,44393.402900835536
45292.04256569407,5,send_clear,45287.04256569407,45292.04256569407,,,
46210.02362612709,1,send_clear,46205.02362612709,46210.02362612709,,,
47128.272948707265,2,send_clear,47123.272948707265,47128.272948707265,,,
48046.428621536776,4,send_clear,48041.428621536776,48046.428621536776,,,
48964.26338473534,8,send_clear,48959.26338473534,48964.26338473534,,,
49878.63483253115,3,send_clear,49873.63483253115,49878.63483253115,,,
49882.239555067696,0,skip_busy,49877.239555067696,49882.239555067696,3,49878.63483253115,49899.17883253115
50797.292034641425,9,send_clear,50792.292034641425,50797.292034641425,,,
51711.14941313164,6,send_clear,51706.14941313164,51711.14941313164,,,
51711.47532655853,7,skip_busy,51706.47532655853,51711.47532655853,6,51711.14941313164,51731.693413131645
51715.09660999301,5,skip_busy,51710.09660999301,51715.09660999301,6,51711.14941313164,51731.693413131645
52630.33308281829,1,send_clear,52625.33308281829,52630.33308281829,,,
53548.314140114104,2,send_clear,53543.314140114104,53548.314140114104,,,
54466.56346141003,4,send_clear,54461.56346141003,54466.56346141003,,,
55384.719137037166,8,send_clear,55379.719137037166,55384.719137037166,,,
56302.55389774992,3,send_clear,56297.55389774992,56302.55389774992,,,
