run_id,final_10_cycle_adjacent_phase_gap_std_mean_rad,final_10_observed_cycle_count,coupling_function,device_count,k
019f6613-3726-7e46-9aa1-d907b3963bac_0000,0.039206735738402256,10,KURAMOTO,10,50
019f6613-3727-7d74-aa65-f50b1d23a8ca_0001,0.03739944740316653,10,KURAMOTO,10,50
019f6613-3728-7ead-a872-44f0fd05b34c_0002,0.03669426067118599,10,KURAMOTO,10,50
019f6613-3729-74c4-9cad-615c00b298a2_0003,0.019828513117963537,10,KURAMOTO,10,50
019f6613-372a-72e0-8537-90556b82d5b2_0004,0.0384547047336603,10,KURAMOTO,10,50
019f6613-372b-7c03-921e-42c791f3ec86_0005,0.020026844034683654,10,KURAMOTO,10,50
019f6613-372c-76bd-8d17-d038c1c805ca_0006,0.037700861563046875,10,KURAMOTO,10,50
019f6613-372d-7b40-9b61-104dea0b3470_0007,0.039261824241267076,10,KURAMOTO,10,50
019f6613-372e-7c63-a739-7e6243f40cf4_0008,0.03700958035889047,10,KURAMOTO,10,50
019f6613-372f-7874-ae69-f3992422416b_0009,0.03734682135177059,10,KURAMOTO,10,50
019f6613-3730-7d61-905c-f2ba67da687b_0010,0.04035418406095693,10,KURAMOTO,10,50
019f6613-3731-7dc0-aefe-8617d3250cc2_0011,0.020567770565025158,10,KURAMOTO,10,50
019f6613-3732-7260-bc75-eeca0d8ee5cb_0012,0.03751627439331777,10,KURAMOTO,10,50
019f6613-3733-7c82-9270-794afa36654a_0013,0.0364749443175924,10,KURAMOTO,10,50
019f6613-3734-76ec-92d4-1d9cd30f472b_0014,0.03624615708810679,10,KURAMOTO,10,50
019f6613-3735-7027-be5b-60a0d5ead561_0015,0.03894313562537976,10,KURAMOTO,10,50
019f6613-3736-710e-a28f-569b4dc100fc_0016,0.03708659776209362,10,KURAMOTO,10,50
019f6613-3737-7c2d-91a7-874c2d830633_0017,0.03638679114066136,10,KURAMOTO,10,50
019f6613-3738-7194-abd7-4c7daf26e2c1_0018,0.03820395477975832,10,KURAMOTO,10,50
019f6613-3739-74fd-88e3-1a40803b4474_0019,0.03793831913914308,10,KURAMOTO,10,50
019f6613-373a-71c5-82e6-e472d6fc6f91_0020,0.039056589989047305,10,KURAMOTO,10,50
019f6613-373b-74c0-922e-5aadb42b23e0_0021,0.03951517661569016,10,KURAMOTO,10,50
019f6613-373c-79ab-a079-9edfb5ddee5c_0022,0.03805675640143903,10,KURAMOTO,10,50
019f6613-373d-7e74-a100-43a966c4dec6_0023,0.03604620275794004,10,KURAMOTO,10,50
019f6613-373e-70d4-b345-811ca7eb2fed_0024,0.039808133199789354,10,KURAMOTO,10,50
019f6613-373f-7805-ae3d-47f0b3fe504d_0025,0.035488891550613334,10,KURAMOTO,10,50
019f6613-3740-77b5-ace6-a9328dc6717d_0026,0.0370751946228917,10,KURAMOTO,10,50
