run_id,final_10_cycle_adjacent_phase_gap_std_mean_rad,final_10_observed_cycle_count,coupling_function,device_count,k
019f6683-dab1-760e-bd5a-23e9b119bb6e_0002,0.6855524920100442,10,LINEAR,10,1500
019f6683-dab2-7a9a-bb94-e1c25dd91d11_0003,0.6803554802924376,10,LINEAR,10,1500
019f6683-dab4-7bfb-9a67-0e9ec6940c3e_0005,0.6919785374388661,10,LINEAR,10,1500
019f6683-dab6-76a5-a4c5-8ed926551988_0007,0.6686171208114647,8,LINEAR,10,1500
019f6683-dab9-7613-825b-f11cae249a92_0010,0.6896077352902528,10,LINEAR,10,1500
019f6683-daba-7a32-aa36-a00a7fa7a3c9_0011,0.6806479653451266,10,LINEAR,10,1500
019f6683-dabb-7d0c-a3ef-89a631ee427c_0012,0.6881884897915626,10,LINEAR,10,1500
019f6683-dabd-767c-af37-598f022de288_0014,0.6801633637086959,8,LINEAR,10,1500
019f6683-dabe-72e3-9c8b-e3602751f8ed_0015,0.7054175596573644,8,LINEAR,10,1500
019f6683-dabf-7128-8a7d-a3898d6ace93_0016,0.6824614230751052,10,LINEAR,10,1500
019f6683-dac1-7c75-9256-e0ae05aefc1a_0018,0.6726542155396162,7,LINEAR,10,1500
019f6683-dac2-72dc-a30b-41a8d4ba3adf_0019,0.7065302979743218,8,LINEAR,10,1500
019f6683-dac4-75dc-a522-71dcddfd2e60_0021,0.6924664166674412,10,LINEAR,10,1500
019f6683-dac7-7e0a-86e2-147521cc1390_0024,0.6671095913792942,10,LINEAR,10,1500
019f6683-dac8-700a-bfcc-b72c724967c6_0025,0.8362738944808246,7,LINEAR,10,1500
019f6683-dac9-77cd-8393-e3ca60fc49e0_0026,0.789990225336862,6,LINEAR,10,1500
019f6683-daca-7bac-98df-824474b4cb20_0027,0.7385506433116594,7,LINEAR,10,1500
019f6683-dace-7dea-b0f1-1294f3d38fde_0031,0.6973621023240794,10,LINEAR,10,1500
019f6683-dacf-7d55-af51-b51e7ec357cc_0032,0.6802855029079136,10,LINEAR,10,1500
019f6683-dad2-7a01-a37a-3fc2040985b4_0035,0.6863674233763732,10,LINEAR,10,1500
019f6683-dad3-7649-ae48-e8eaec147ac1_0036,0.6794425317586368,10,LINEAR,10,1500
019f6683-dad4-758d-b4f7-af4da30098f6_0037,0.8973614955242631,2,LINEAR,10,1500
019f6683-dad5-763c-860c-41da6529b5be_0038,0.6881884897918447,10,LINEAR,10,1500
019f6683-dad6-7b4c-ab22-2d86d144161b_0039,0.6682648531507582,9,LINEAR,10,1500
019f6683-dad8-74a3-886f-9b3480fedf57_0041,0.6873444705959444,10,LINEAR,10,1500
019f6683-dad9-7af1-a6b3-68ef977d5139_0042,0.6245190757949423,9,LINEAR,10,1500
019f6683-dada-7f0c-b3de-b9deb4ca12d0_0043,0.6694449693451476,8,LINEAR,10,1500
019f6683-dadc-7580-ad89-3360d7a5a480_0045,0.7622569758907722,5,LINEAR,10,1500
