time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1260.0,8,1,1280.544,20.544
1684.0544,3,1,1704.5984,20.544
1933.4188000000001,0,1,1953.9628000000002,20.544
2107.8582,17,1,2128.4022,20.544
2335.9519999999998,14,1,2356.4959999999996,20.544
2605.9049800000003,12,1,2626.44898,20.544
3210.05640432,6,1,3230.60040432,20.544
3528.694445012,11,1,3549.238445012,20.544
3917.06924827,13,1,3937.61324827,20.544
4095.95554827,7,1,4116.49954827,20.544
4247.22003827,15,1,4267.76403827,20.544
4584.75761144998,5,1,4605.30161144998,20.544
4920.810018175289,18,1,4941.354018175289,20.544
5089.848257175288,10,1,5110.392257175288,20.544
5244.165580475288,1,1,5264.709580475288,20.544
5493.556922744282,19,1,5514.100922744282,20.544
5908.966464000614,2,1,5929.510464000614,20.544
6217.047288146105,16,1,6237.5912881461045,20.544
6531.502309726871,8,2,6552.046309726871,20.544
6914.139243597944,3,2,6934.683243597944,20.544
7199.549774080693,0,2,7220.093774080693,20.544
7429.608895386692,17,2,7450.152895386692,20.544
7687.11940881172,14,2,7707.66340881172,20.544
7964.624195646181,12,2,7985.168195646181,20.544
8160.30539481881,9,1,8180.84939481881,20.544
8537.741017981827,6,2,8558.285017981827,20.544
8837.593047983048,11,2,8858.137047983048,20.544
9183.854435522688,13,2,9204.398435522688,20.544
9414.14236222386,7,2,9434.68636222386,20.544
9622.296563309044,15,2,9642.840563309044,20.544
9937.82039502124,5,2,9958.364395021239,20.544
10250.11131084017,18,2,10270.65531084017,20.544
10466.999561612567,10,2,10487.543561612567,20.544
10675.092572896876,1,2,10695.636572896876,20.544
10923.511121351727,19,2,10944.055121351726,20.544
11262.125999631824,2,2,11282.669999631824,20.544
11459.062441188815,4,1,11479.606441188815,20.544
11671.038551466274,16,2,11691.582551466274,20.544
11949.072267471322,8,3,11969.616267471321,20.544
12268.525745350358,3,3,12289.069745350358,20.544
12545.90955961164,0,3,12566.45355961164,20.544
12795.226809097623,17,3,12815.770809097623,20.544
13053.655764232619,14,3,13074.199764232619,20.544
13327.29023660254,12,3,13347.834236602539,20.544
13558.33764877204,9,2,13578.88164877204,20.544
13882.824790834084,6,3,13903.368790834083,20.544
14170.410505138661,11,3,14190.954505138661,20.544
14488.455123250886,13,3,14508.999123250886,20.544
14743.204989773669,7,3,14763.748989773669,20.544
14982.325542482275,15,3,15002.869542482274,20.544
15283.494967158504,5,3,15304.038967158504,20.544
15582.22611281607,18,3,15602.77011281607,20.544
15826.081756234533,10,3,15846.625756234533,20.544
16063.725314244479,1,3,16084.269314244479,20.544
16318.340377951203,19,3,16338.884377951203,20.544
16621.099581714276,2,3,16641.643581714277,20.544
16852.814081151762,4,2,16873.358081151764,20.544
17087.473835179946,16,3,17108.017835179948,20.544
17352.62879097785,8,4,17373.172790977853,20.544
17641.612269353183,3,4,17662.156269353185,20.544
17912.58591818835,0,4,17933.12991818835,20.544
18169.85386852911,17,4,18190.39786852911,20.544
18429.124028269387,14,4,18449.66802826939,20.544
18697.89473899955,12,4,18718.43873899955,20.544
18946.104216198764,9,3,18966.648216198766,20.544
19242.158782182458,6,4,19262.70278218246,20.544
