function,label,delta_rad,coupling_value
NewSIN,1-sin based,-2.2602013813326565,-0.22837541661228
NewSIN,1-sin based,-2.251474735072685,-0.22285403854302943
NewSIN,1-sin based,-2.2427480888127134,-0.2173918431475862
NewSIN,1-sin based,-2.234021442552742,-0.21198924639327787
NewSIN,1-sin based,-2.2252947962927703,-0.20664665970876506
NewSIN,1-sin based,-2.2165681500327983,-0.20136448995270717
NewSIN,1-sin based,-2.2078415037728267,-0.19614313938278238
NewSIN,1-sin based,-2.199114857512855,-0.19098300562505266
NewSIN,1-sin based,-2.1903882112528836,-0.1858844816436812
NewSIN,1-sin based,-2.181661564992912,-0.18084795571100842
NewSIN,1-sin based,-2.17293491873294,-0.1758738113779843
NewSIN,1-sin based,-2.1642082724729685,-0.1709624274449586
NewSIN,1-sin based,-2.155481626212997,-0.1661141779328319
NewSIN,1-sin based,-2.146754979953025,-0.16132943205457584
NewSIN,1-sin based,-2.138028333693054,-0.1566085541871145
NewSIN,1-sin based,-2.129301687433082,-0.15195190384357404
NewSIN,1-sin based,-2.1205750411731104,-0.1473598356459076
NewSIN,1-sin based,-2.111848394913139,-0.1428326992978879
NewSIN,1-sin based,-2.103121748653167,-0.13837083955847418
NewSIN,1-sin based,-2.0943951023931957,-0.13397459621556151
NewSIN,1-sin based,-2.0856684561332237,-0.1296443040601004
NewSIN,1-sin based,-2.076941809873252,-0.12538029286060448
NewSIN,1-sin based,-2.0682151636132806,-0.12118288733803473
NewSIN,1-sin based,-2.0594885173533086,-0.11705240714107301
NewSIN,1-sin based,-2.050761871093337,-0.11298916682177851
NewSIN,1-sin based,-2.0420352248333655,-0.10899347581163221
NewSIN,1-sin based,-2.0333085785733935,-0.10506563839797489
NewSIN,1-sin based,-2.0245819323134224,-0.10120595370083318
NewSIN,1-sin based,-2.0158552860534504,-0.09741471565013937
NewSIN,1-sin based,-2.007128639793479,-0.09369221296334984
NewSIN,1-sin based,-1.9984019935335073,-0.0900387291234569
NewSIN,1-sin based,-1.9896753472735356,-0.08645454235739902
NewSIN,1-sin based,-1.980948701013564,-0.08293992561487618
NewSIN,1-sin based,-1.9722220547535922,-0.07949514654755974
NewSIN,1-sin based,-1.9634954084936207,-0.07612046748871348
NewSIN,1-sin based,-1.954768762233649,-0.07281614543321269
NewSIN,1-sin based,-1.9460421159736774,-0.06958243201797543
NewSIN,1-sin based,-1.9373154697137058,-0.06641957350279837
NewSIN,1-sin based,-1.928588823453734,-0.06332781075160243
NewSIN,1-sin based,-1.9198621771937625,-0.06030737921409157
NewSIN,1-sin based,-1.9111355309337907,-0.05735850890782168
NewSIN,1-sin based,-1.9024088846738192,-0.054481424400683154
NewSIN,1-sin based,-1.8936822384138474,-0.051676344793800566
NewSIN,1-sin based,-1.8849555921538759,-0.04894348370484647
NewSIN,1-sin based,-1.876228945893904,-0.04628304925177307
NewSIN,1-sin based,-1.8675022996339325,-0.043695244036964676
NewSIN,1-sin based,-1.858775653373961,-0.04118026513180695
NewSIN,1-sin based,-1.8500490071139892,-0.03873830406168133
NewSIN,1-sin based,-1.8413223608540177,-0.03636954679137705
NewSIN,1-sin based,-1.832595714594046,-0.03407417371093169
NewSIN,1-sin based,-1.8238690683340744,-0.03185235962189237
NewSIN,1-sin based,-1.8151424220741026,-0.029704273724003527
NewSIN,1-sin based,-1.806415775814131,-0.027630079602323332
NewSIN,1-sin based,-1.7976891295541593,-0.025629935214764865
NewSIN,1-sin based,-1.7889624832941877,-0.023703992880066638
NewSIN,1-sin based,-1.7802358370342162,-0.021852399266194422
NewSIN,1-sin based,-1.7715091907742444,-0.02007529537917041
NewSIN,1-sin based,-1.7627825445142729,-0.018372816552336135
