function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
KURAMOTO,Kuramoto based,residual_median,30,831.0,0.0502865388055508,500
KURAMOTO,Kuramoto based,residual_median,30,841.0,0.0506296551258777,500
KURAMOTO,Kuramoto based,residual_median,30,851.0,0.0509662587107371,500
KURAMOTO,Kuramoto based,residual_median,30,861.0,0.0515205139084212,500
KURAMOTO,Kuramoto based,residual_median,30,871.0,0.0516994086830194,500
KURAMOTO,Kuramoto based,residual_median,30,881.0,0.0523255738378163,500
KURAMOTO,Kuramoto based,residual_median,30,891.0,0.052602070782702,500
KURAMOTO,Kuramoto based,residual_median,30,901.0,0.0531360509690975,500
KURAMOTO,Kuramoto based,residual_median,30,911.0,0.0536847510886408,500
KURAMOTO,Kuramoto based,residual_median,30,921.0,0.0539846658628913,500
KURAMOTO,Kuramoto based,residual_median,30,931.0,0.0542784942121263,500
KURAMOTO,Kuramoto based,residual_median,30,941.0,0.0548180222090965,500
KURAMOTO,Kuramoto based,residual_median,30,951.0,0.0550088076294876,500
KURAMOTO,Kuramoto based,residual_median,30,961.0,0.05547412708803,500
KURAMOTO,Kuramoto based,residual_median,30,971.0,0.055710074202,500
KURAMOTO,Kuramoto based,residual_median,30,981.0,0.0562671829372235,500
KURAMOTO,Kuramoto based,residual_median,30,991.0,0.056634845035529,500
KURAMOTO,Kuramoto based,residual_median,30,1001.0,0.0569277404228267,500
KURAMOTO,Kuramoto based,residual_median,30,1011.0,0.0572078710977267,500
KURAMOTO,Kuramoto based,residual_median,30,1021.0,0.0575351962294281,500
KURAMOTO,Kuramoto based,residual_median,30,1031.0,0.0577858147730283,500
KURAMOTO,Kuramoto based,residual_median,30,1041.0,0.0582574911428447,500
KURAMOTO,Kuramoto based,residual_median,30,1051.0,0.0588801067798281,500
KURAMOTO,Kuramoto based,residual_median,30,1061.0,0.0586311400884951,500
KURAMOTO,Kuramoto based,residual_median,30,1071.0,0.0591403985110082,500
KURAMOTO,Kuramoto based,residual_median,30,1081.0,0.0592913425554749,500
KURAMOTO,Kuramoto based,residual_median,30,1091.0,0.0597085721442577,500
KURAMOTO,Kuramoto based,residual_median,30,1101.0,0.0600983257863352,500
KURAMOTO,Kuramoto based,residual_median,30,1111.0,0.0602947065073257,500
KURAMOTO,Kuramoto based,residual_median,30,1121.0,0.0604517638934351,500
KURAMOTO,Kuramoto based,residual_median,30,1131.0,0.0608029263132327,500
KURAMOTO,Kuramoto based,residual_median,30,1141.0,0.0611808212426993,500
KURAMOTO,Kuramoto based,residual_median,30,1151.0,0.0614126741213473,500
KURAMOTO,Kuramoto based,residual_median,30,1161.0,0.0615175404480228,500
KURAMOTO,Kuramoto based,residual_median,30,1171.0,0.0618865045139875,500
KURAMOTO,Kuramoto based,residual_median,30,1181.0,0.0618638051644481,500
KURAMOTO,Kuramoto based,residual_median,30,1191.0,0.062352772478268,500
KURAMOTO,Kuramoto based,residual_median,30,1201.0,0.0624686251772061,500
KURAMOTO,Kuramoto based,residual_median,30,1211.0,0.0626993991879034,500
