function,label,k,overall_per_mean,residual_median,residual_3min_median
KURAMOTO,Kuramoto based,681.0,0.2799333333333336,0.0422571359270052,0.0494930201308957
KURAMOTO,Kuramoto based,691.0,0.3276000000000004,0.0430345803619127,0.0500153129120996
KURAMOTO,Kuramoto based,701.0,0.3832222222222224,0.0435861312337313,0.0502690462166835
KURAMOTO,Kuramoto based,711.0,0.4663777777777778,0.0441359030425098,0.0510300295733852
KURAMOTO,Kuramoto based,721.0,0.5489333333333338,0.0446336756366006,0.0512935229191248
KURAMOTO,Kuramoto based,731.0,0.6578222222222224,0.0453365282692299,0.0519480404170094
KURAMOTO,Kuramoto based,741.0,0.774888888888889,0.0458516472140712,0.0522825961531215
KURAMOTO,Kuramoto based,751.0,0.9146666666666664,0.0464631734323292,0.0525127282730343
KURAMOTO,Kuramoto based,761.0,1.0724444444444443,0.0470564732170031,0.0530508204424122
KURAMOTO,Kuramoto based,771.0,1.235444444444444,0.0474738778893993,0.0533178516290984
KURAMOTO,Kuramoto based,781.0,1.3924444444444444,0.0479551513542194,0.053555719675837
KURAMOTO,Kuramoto based,791.0,1.572466666666667,0.0484556829021133,0.0540460697839196
KURAMOTO,Kuramoto based,801.0,1.7734666666666672,0.0487712424967986,0.054331534287079
KURAMOTO,Kuramoto based,811.0,1.969755555555556,0.0494129606917588,0.0549921487447233
KURAMOTO,Kuramoto based,821.0,2.1693777777777776,0.0498182727812553,0.0553643323436373
KURAMOTO,Kuramoto based,831.0,2.378577777777778,0.0502865388055508,0.0555404596185354
KURAMOTO,Kuramoto based,841.0,2.5748,0.0506296551258777,0.055935822443788
KURAMOTO,Kuramoto based,851.0,2.8049111111111107,0.0509662587107371,0.0561051786075383
KURAMOTO,Kuramoto based,861.0,3.020311111111111,0.0515205139084212,0.056491866890994
KURAMOTO,Kuramoto based,871.0,3.242022222222222,0.0516994086830194,0.0570776576235762
KURAMOTO,Kuramoto based,881.0,3.467133333333334,0.0523255738378163,0.0571420113162552
KURAMOTO,Kuramoto based,891.0,3.689644444444444,0.052602070782702,0.0574567799600244
KURAMOTO,Kuramoto based,901.0,3.926133333333333,0.0531360509690975,0.0579131316617867
KURAMOTO,Kuramoto based,911.0,4.15471111111111,0.0536847510886408,0.0579977596683011
KURAMOTO,Kuramoto based,921.0,4.375733333333334,0.0539846658628913,0.0584427385715864
KURAMOTO,Kuramoto based,931.0,4.5648888888888886,0.0542784942121263,0.0586681615388834
KURAMOTO,Kuramoto based,941.0,4.780511111111111,0.0548180222090965,0.0593242568946188
KURAMOTO,Kuramoto based,951.0,4.962777777777778,0.0550088076294876,0.0595252418330364
KURAMOTO,Kuramoto based,961.0,5.148311111111111,0.05547412708803,0.0598313174021856
KURAMOTO,Kuramoto based,971.0,5.299022222222222,0.055710074202,0.0603442205322214
KURAMOTO,Kuramoto based,981.0,5.438866666666667,0.0562671829372235,0.0602674605483408
KURAMOTO,Kuramoto based,991.0,5.607111111111111,0.056634845035529,0.0608970402921507
KURAMOTO,Kuramoto based,1001.0,5.715577777777777,0.0569277404228267,0.060839624003837
KURAMOTO,Kuramoto based,1011.0,5.851466666666666,0.0572078710977267,0.0612719823788741
KURAMOTO,Kuramoto based,1021.0,5.960733333333334,0.0575351962294281,0.0614200437777476
KURAMOTO,Kuramoto based,1031.0,6.062333333333333,0.0577858147730283,0.0620476749908423
KURAMOTO,Kuramoto based,1041.0,6.148488888888889,0.0582574911428447,0.0619667680020345
KURAMOTO,Kuramoto based,1051.0,6.251755555555556,0.0588801067798281,0.0623461088357189
KURAMOTO,Kuramoto based,1061.0,6.311555555555555,0.0586311400884951,0.0626003551355859
KURAMOTO,Kuramoto based,1071.0,6.406977777777778,0.0591403985110082,0.062837486783125
KURAMOTO,Kuramoto based,1081.0,6.509622222222222,0.0592913425554749,0.0630819682158192
KURAMOTO,Kuramoto based,1091.0,6.549111111111111,0.0597085721442577,0.0632580055490233
