condition,function,label,reference_device_id,reference_initial_event_time_ms,cycle_index,device_id,device_event_time_ms,phase_diff_rad,reference_phase_diff_rad,phase_diff_rebased_rad
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,0,1250.0,0.0,0.0157079632679489,-0.015707963267948877
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,1,1251.0,0.0006283185307179,0.0157079632679489,-0.01507964473723078
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,2,1252.0,0.0012566370614359,0.0157079632679489,-0.014451326206513126
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,3,1253.0,0.0018849555921538,0.0157079632679489,-0.01382300767579503
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,4,1254.0,0.0025132741228718,0.0157079632679489,-0.013194689145076932
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,5,1255.0,0.0031415926535897,0.0157079632679489,-0.012566370614359279
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,6,1256.0,0.0037699111843077,0.0157079632679489,-0.011938052083641182
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,7,1257.0,0.0043982297150257,0.0157079632679489,-0.011309733552923085
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,8,1258.0,0.0050265482457436,0.0157079632679489,-0.010681415022205432
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,9,1259.0,0.0056548667764616,0.0157079632679489,-0.010053096491487334
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,10,1260.0,0.0062831853071795,0.0157079632679489,-0.009424777960769237
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,11,1261.0,0.0069115038378975,0.0157079632679489,-0.008796459430051584
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,12,1262.0,0.0075398223686155,0.0157079632679489,-0.008168140899333487
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,13,1263.0,0.0081681408993334,0.0157079632679489,-0.00753982236861539
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,14,1264.0,0.0087964594300514,0.0157079632679489,-0.006911503837897293
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,15,1265.0,0.0094247779607693,0.0157079632679489,-0.0062831853071796395
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,16,1266.0,0.0100530964914873,0.0157079632679489,-0.005654866776461542
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,17,1267.0,0.0106814150222052,0.0157079632679489,-0.005026548245743889
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,18,1268.0,0.0113097335529232,0.0157079632679489,-0.004398229715025792
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,19,1269.0,0.0119380520836412,0.0157079632679489,-0.003769911184307695
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,20,1270.0,0.0125663706143591,0.0157079632679489,-0.0031415926535895977
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,21,1271.0,0.0131946891450771,0.0157079632679489,-0.0025132741228719446
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,22,1272.0,0.013823007675795,0.0157079632679489,-0.0018849555921538474
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,23,1273.0,0.014451326206513,0.0157079632679489,-0.0012566370614357503
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,24,1274.0,0.015079644737231,0.0157079632679489,-0.0006283185307180972
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,25,1275.0,0.0157079632679489,0.0157079632679489,0.0
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,26,1276.0,0.0163362817986669,0.0157079632679489,0.0006283185307180972
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,27,1277.0,0.0169646003293848,0.0157079632679489,0.0012566370614357503
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,28,1278.0,0.0175929188601028,0.0157079632679489,0.0018849555921538474
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,29,1279.0,0.0182212373908208,0.0157079632679489,0.0025132741228719446
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,30,1280.0,0.0188495559215387,0.0157079632679489,0.0031415926535895977
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,31,1281.0,0.0194778744522567,0.0157079632679489,0.003769911184307695
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,32,1282.0,0.0201061929829746,0.0157079632679489,0.004398229715025792
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,33,1283.0,0.0207345115136926,0.0157079632679489,0.005026548245743889
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,34,1284.0,0.0213628300444105,0.0157079632679489,0.005654866776461542
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,35,1285.0,0.0219911485751285,0.0157079632679489,0.0062831853071796395
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,36,1286.0,0.0226194671058465,0.0157079632679489,0.006911503837897737
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,37,1287.0,0.0232477856365644,0.0157079632679489,0.00753982236861539
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,38,1288.0,0.0238761041672824,0.0157079632679489,0.008168140899333487
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,39,1289.0,0.0245044226980003,0.0157079632679489,0.008796459430051584
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,40,1290.0,0.0251327412287183,0.0157079632679489,0.009424777960769237
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,41,1291.0,0.0257610597594363,0.0157079632679489,0.010053096491487334
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,42,1292.0,0.0263893782901542,0.0157079632679489,0.010681415022205432
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,43,1293.0,0.0270176968208722,0.0157079632679489,0.011309733552923085
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,44,1294.0,0.0276460153515901,0.0157079632679489,0.011938052083641182
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,45,1295.0,0.0282743338823081,0.0157079632679489,0.012566370614359279
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,46,1296.0,0.028902652413026,0.0157079632679489,0.013194689145076932
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,47,1297.0,0.029530970943744,0.0157079632679489,0.01382300767579503
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,48,1298.0,0.030159289474462,0.0157079632679489,0.014451326206513126
uniform_1ms,NewSIN,1-sin based,25,1275.0,1,49,1299.0,0.0307876080051799,0.0157079632679489,0.01507964473723078
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,0,11226.45236255317,0.0,0.015471109516388,-0.015471109516388193
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,1,11274.984920356255,0.0304939054108194,0.015471109516388,0.01502279589443134
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,2,11275.969840718462,0.0311127491256755,0.015471109516388,0.015641639609287328
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,3,11276.954761092578,0.0317315928480143,0.015471109516388,0.01626048333162622
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,4,11277.939681484551,0.0323504365815729,0.015471109516388,0.016879327065185024
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,5,11278.92460190034,0.0329692803300944,0.015471109516388,0.017498170813706526
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,6,11279.909522345892,0.0335881240973185,0.015471109516388,0.018117014580930402
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,7,11280.894442827164,0.0342069678869857,0.015471109516388,0.018735858370597658
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,8,11281.879363350108,0.0348258117028358,0.015471109516388,0.01935470218644797
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,9,11282.86428392068,0.0354446555486105,0.015471109516388,0.019973546032222345
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,10,11283.849204544827,0.0360634994280495,0.015471109516388,0.020592389911661346
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,11,11284.834125228506,0.0366823433448923,0.015471109516388,0.021211233828504206
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,12,11285.81904597767,0.0373011873028809,0.015471109516388,0.02183007778649282
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,13,11286.803966798274,0.0379200313057558,0.015471109516388,0.02244892178936775
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,14,11287.788887696268,0.0385388753572569,0.015471109516388,0.023067765840869114
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,15,11288.773808677604,0.0391577194611235,0.015471109516388,0.023686609944735704
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,16,11242.211112303732,0.0099015144892256,0.015471109516388,-0.005569595027162588
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,17,11243.196033201726,0.0105203585407266,0.015471109516388,-0.004950750975661222
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,18,11244.18095402233,0.0111392025436016,0.015471109516388,-0.0043319069727862924
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,19,11245.165874771494,0.0117580465015901,0.015471109516388,-0.0037130630147976795
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,20,11246.150795455173,0.012376890418433,0.015471109516388,-0.00309421909795482
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,21,11247.13571607932,0.012995734297872,0.015471109516388,-0.0024753752185158184
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,22,11248.120636649892,0.0136145781436467,0.015471109516388,-0.0018565313727414434
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,23,11249.105557172836,0.0142334219594968,0.015471109516388,-0.0012376875568911316
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,24,11250.090477654108,0.014852265749164,0.015471109516388,-0.0006188437672238756
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,25,11251.07539809966,0.015471109516388,0.015471109516388,0.0
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,26,11252.060318515449,0.0160899532649096,0.015471109516388,0.0006188437485215026
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,27,11253.045238907422,0.0167087969984682,0.015471109516388,0.0012376874820803074
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,28,11254.030159281538,0.0173276407208069,0.015471109516388,0.0018565312044187543
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,29,11255.015079643745,0.017946484435663,0.015471109516388,0.002475374919275186
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,30,11303.54763744683,0.0484403898464825,0.015471109516388,0.03296928033009472
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,31,11304.984920356255,0.0493434613323582,0.015471109516388,0.03387235181597026
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,32,11305.969840718462,0.0499623050472143,0.015471109516388,0.034491195530826246
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,33,11306.954761092578,0.050581148769553,0.015471109516388,0.03511003925316514
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,34,11307.939681484551,0.0511999925031117,0.015471109516388,0.0357288829867235
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,35,11308.92460190034,0.0518188362516332,0.015471109516388,0.036347726735245
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,36,11309.909522345892,0.0524376800188572,0.015471109516388,0.03696657050246932
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,37,11310.894442827164,0.0530565238085245,0.015471109516388,0.037585414292136576
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,38,11311.879363350108,0.0536753676243745,0.015471109516388,0.038204258107986444
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,39,11312.86428392068,0.0542942114701492,0.015471109516388,0.03882310195376126
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,40,11313.849204544827,0.0549130553495882,0.015471109516388,0.039441945833200265
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,41,11314.834125228506,0.0555318992664311,0.015471109516388,0.040060789750043124
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,42,11315.81904597767,0.0561507432244196,0.015471109516388,0.04067963370803174
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,43,11316.803966798274,0.0567695872272946,0.015471109516388,0.04129847771090667
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,44,11317.788887696268,0.0573884312787956,0.015471109516388,0.04191732176240759
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,45,11318.773808677604,0.0580072753826622,0.015471109516388,0.04253616586627418
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,46,11319.75872974824,0.0586261195426363,0.015471109516388,0.04315501002624833
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,47,11320.743650914124,0.0592449637624575,0.015471109516388,0.04377385424606928
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,48,11321.728572181208,0.0598638080458653,0.015471109516388,0.04439269852947714
uniform_1ms,NewSIN,1-sin based,25,1275.0,2,49,11322.71349355545,0.0604826523966017,0.015471109516388,0.045011542880213806
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,0,21203.184102865824,0.0,0.0152378734223857,-0.015237873422385917
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,1,21251.437282909425,0.0303183671874644,0.0152378734223857,0.015080493765078806
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,2,21299.954988470254,0.0608029406592511,0.0152378734223857,0.045565067236865264
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,3,21300.92505660167,0.0614124524422794,0.0152378734223857,0.046174579019893525
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,4,21301.89512476205,0.062021964243505,0.0152378734223857,0.04678409082111923
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,5,21302.86519296295,0.06263147607019,0.0152378734223857,0.04739360264780412
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,6,21303.835261215914,0.0632409879295894,0.0152378734223857,0.04800311450720374
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,7,21304.8053295325,0.0638504998289632,0.0152378734223857,0.0486126264065776
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,8,21305.77539792426,0.0644600117755685,0.0152378734223857,0.04922213835318301
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,9,21306.745466402743,0.0650695237766653,0.0152378734223857,0.0498316503542795
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,10,21307.7155349795,0.0656790358395087,0.0152378734223857,0.05044116241712304
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,11,21308.68560366608,0.0662885479713538,0.0152378734223857,0.05105067454896828
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,12,21309.65567247403,0.0668980601794626,0.0152378734223857,0.051660186757076954
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,13,21310.625741414915,0.067507572471095,0.0152378734223857,0.052269699048709484
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,14,21311.59581050028,0.068117084853506,0.0152378734223857,0.05287921143112051
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,15,21312.56587974167,0.0687265973339507,0.0152378734223857,0.05348872391156512
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,16,21265.97347983895,0.0394517290844513,0.0152378734223857,0.024213855662065686
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,17,21266.94354925421,0.0400612416741417,0.0152378734223857,0.024823368251755795
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,18,21267.913618689938,0.0406707542766922,0.0152378734223857,0.025432880854306283
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,19,21268.88368815769,0.0412802668993646,0.0152378734223857,0.026042393476978898
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,20,21269.853757669007,0.0418897795494095,0.0152378734223857,0.02665190612702384
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,21,21270.82382723545,0.0424992922340914,0.0152378734223857,0.027261418811705518
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,22,21271.793896868567,0.0431088049606652,0.0152378734223857,0.027870931538279464
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,23,21272.763966579903,0.0437183177363863,0.0152378734223857,0.028480444314000763
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,24,21273.73403638101,0.0443278305685143,0.0152378734223857,0.029089957146128498
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,25,21227.43593163964,0.0152378734223857,0.0152378734223857,0.0
uniform_1ms,NewSIN,1-sin based,25,1275.0,3,26,21228.4060014133,0.0158473862372672,0.0152378734223857,0.0006095128148815299
